Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2019-07-26 00:00:00+01:00,2019-08-02 00:00:00+01:00,0,0,0,0.0,
2,2019-08-02 00:00:00+01:00,2019-08-09 00:00:00+01:00,0,0,0,0.0,
3,2019-08-09 00:00:00+01:00,2019-08-16 00:00:00+01:00,0,0,0,0.0,
4,2019-08-16 00:00:00+01:00,2019-08-23 00:00:00+01:00,0,0,0,0.0,
5,2019-08-23 00:00:00+01:00,2019-08-30 00:00:00+01:00,0,0,0,0.0,
6,2019-08-30 00:00:00+01:00,2019-09-06 00:00:00+01:00,0,0,0,0.0,
7,2019-09-06 00:00:00+01:00,2019-09-13 00:00:00+01:00,0,0,0,0.0,
8,2019-09-13 00:00:00+01:00,2019-09-20 00:00:00+01:00,0,0,0,0.0,
9,2019-09-20 00:00:00+01:00,2019-09-27 00:00:00+01:00,0,0,0,0.0,
10,2019-09-27 00:00:00+01:00,2019-10-04 00:00:00+01:00,0,0,0,0.0,
11,2019-10-04 00:00:00+01:00,2019-10-11 00:00:00+01:00,0,0,0,0.0,
12,2019-10-11 00:00:00+01:00,2019-10-18 00:00:00+01:00,0,0,0,0.0,
13,2019-10-18 00:00:00+01:00,2019-10-25 00:00:00+01:00,0,0,0,0.0,
14,2019-10-25 00:00:00+01:00,2019-11-01 00:00:00+01:00,0,0,0,0.0,
15,2019-11-01 00:00:00+01:00,2019-11-08 00:00:00+01:00,0,0,0,0.0,
16,2019-11-08 00:00:00+01:00,2019-11-15 00:00:00+01:00,0,0,0,0.0,
17,2019-11-15 00:00:00+01:00,2019-11-22 00:00:00+01:00,0,0,0,0.0,
18,2019-11-22 00:00:00+01:00,2019-11-29 00:00:00+01:00,0,0,0,0.0,
19,2019-11-29 00:00:00+01:00,2019-12-06 00:00:00+01:00,0,0,0,0.0,
20,2019-12-06 00:00:00+01:00,2019-12-13 00:00:00+01:00,0,0,0,0.0,
21,2019-12-13 00:00:00+01:00,2019-12-20 00:00:00+01:00,0,0,0,0.0,
22,2019-12-20 00:00:00+01:00,2019-12-27 00:00:00+01:00,0,0,0,0.0,
23,2019-12-27 00:00:00+01:00,2020-01-03 00:00:00+01:00,1,0,0,0.0,0.0
24,2020-01-03 00:00:00+01:00,2020-01-10 00:00:00+01:00,0,0,0,0.0,
25,2020-01-10 00:00:00+01:00,2020-01-17 00:00:00+01:00,0,0,0,0.0,
26,2020-01-17 00:00:00+01:00,2020-01-24 00:00:00+01:00,0,0,0,0.0,
27,2020-01-24 00:00:00+01:00,2020-01-31 00:00:00+01:00,0,0,0,0.0,
28,2020-01-31 00:00:00+01:00,2020-02-07 00:00:00+01:00,0,0,0,0.0,
29,2020-02-07 00:00:00+01:00,2020-02-14 00:00:00+01:00,0,0,0,0.0,
30,2020-02-14 00:00:00+01:00,2020-02-21 00:00:00+01:00,0,0,0,0.0,
31,2020-02-21 00:00:00+01:00,2020-02-28 00:00:00+01:00,0,0,0,0.0,
32,2020-02-28 00:00:00+01:00,2020-03-06 00:00:00+01:00,0,0,0,0.0,
33,2020-03-06 00:00:00+01:00,2020-03-13 00:00:00+01:00,0,0,0,0.0,
34,2020-03-13 00:00:00+01:00,2020-03-20 00:00:00+01:00,0,0,0,0.0,
35,2020-03-20 00:00:00+01:00,2020-03-27 00:00:00+01:00,0,0,0,0.0,
36,2020-03-27 00:00:00+01:00,2020-04-03 00:00:00+01:00,0,0,0,0.0,
37,2020-04-03 00:00:00+01:00,2020-04-10 00:00:00+01:00,0,0,0,0.0,
38,2020-04-10 00:00:00+01:00,2020-04-17 00:00:00+01:00,0,0,0,0.0,
39,2020-04-17 00:00:00+01:00,2020-04-24 00:00:00+01:00,0,0,0,0.0,
40,2020-04-24 00:00:00+01:00,2020-05-01 00:00:00+01:00,0,0,0,0.0,
41,2020-05-01 00:00:00+01:00,2020-05-08 00:00:00+01:00,0,0,0,0.0,
42,2020-05-08 00:00:00+01:00,2020-05-15 00:00:00+01:00,0,0,0,0.0,
43,2020-05-15 00:00:00+01:00,2020-05-22 00:00:00+01:00,0,0,0,0.0,
44,2020-05-22 00:00:00+01:00,2020-05-29 00:00:00+01:00,0,0,0,0.0,
45,2020-05-29 00:00:00+01:00,2020-06-05 00:00:00+01:00,0,0,0,0.0,
46,2020-06-05 00:00:00+01:00,2020-06-12 00:00:00+01:00,0,0,0,0.0,
