Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2022-01-03 01:00:00+00:00,2022-01-10 00:55:00+00:00,9,5,4,0.011849999999999986
2,2022-01-10 01:00:00+00:00,2022-01-17 00:55:00+00:00,9,2,7,-0.007780000000000049
3,2022-01-17 01:00:00+00:00,2022-01-24 00:55:00+00:00,11,3,8,-0.005650000000000492
4,2022-01-24 01:00:00+00:00,2022-01-31 00:55:00+00:00,8,4,4,0.0092100000000001
5,2022-01-31 01:00:00+00:00,2022-02-07 00:55:00+00:00,17,6,11,-0.0011499999999997502
6,2022-02-07 01:00:00+00:00,2022-02-14 00:55:00+00:00,15,6,9,0.007400000000000039
7,2022-02-14 01:00:00+00:00,2022-02-21 00:55:00+00:00,13,3,10,-0.01518999999999988
8,2022-02-21 01:00:00+00:00,2022-02-28 00:55:00+00:00,22,10,12,0.025790000000000205
9,2022-02-28 01:00:00+00:00,2022-03-07 00:55:00+00:00,25,8,17,-0.002960000000000334
10,2022-03-07 01:00:00+00:00,2022-03-14 00:55:00+00:00,36,12,23,0.0070199999999993115
11,2022-03-14 01:00:00+00:00,2022-03-21 00:55:00+00:00,23,11,12,0.022139999999999972
12,2022-03-21 01:00:00+00:00,2022-03-28 00:55:00+00:00,15,4,11,-0.00720000000000056
13,2022-03-28 01:00:00+00:00,2022-04-04 00:55:00+00:00,17,6,11,-0.0031300000000005004
14,2022-04-04 01:00:00+00:00,2022-04-11 00:55:00+00:00,15,3,12,-0.014589999999999902
15,2022-04-11 01:00:00+00:00,2022-04-18 00:55:00+00:00,10,5,5,0.011699999999999808
16,2022-04-18 01:00:00+00:00,2022-04-25 00:55:00+00:00,10,6,4,0.017359999999999584
17,2022-04-25 01:00:00+00:00,2022-05-02 00:55:00+00:00,29,9,19,-0.0032899999999992102
18,2022-05-02 01:00:00+00:00,2022-05-09 00:55:00+00:00,25,7,18,-0.012529999999999743
19,2022-05-09 01:00:00+00:00,2022-05-16 00:55:00+00:00,22,9,13,0.006910000000000652
20,2022-05-16 01:00:00+00:00,2022-05-23 00:55:00+00:00,21,7,14,-0.0018700000000001563
21,2022-05-23 01:00:00+00:00,2022-05-30 00:55:00+00:00,12,2,10,-0.013789999999999497
22,2022-05-30 01:00:00+00:00,2022-06-06 00:55:00+00:00,19,4,15,-0.016849999999999307
23,2022-06-06 01:00:00+00:00,2022-06-13 00:55:00+00:00,20,7,13,-0.00013999999999985205
24,2022-06-13 01:00:00+00:00,2022-06-20 00:55:00+00:00,33,11,22,-0.004630000000000018
25,2022-06-20 01:00:00+00:00,2022-06-27 00:55:00+00:00,19,4,15,-0.01879999999999988
26,2022-06-27 01:00:00+00:00,2022-07-04 00:55:00+00:00,18,6,12,-0.0038299999999996254
27,2022-07-04 01:00:00+00:00,2022-07-11 00:55:00+00:00,17,7,10,0.0075399999999998905
28,2022-07-11 01:00:00+00:00,2022-07-18 00:55:00+00:00,26,11,15,0.007960000000000597
29,2022-07-18 01:00:00+00:00,2022-07-25 00:55:00+00:00,36,12,24,-0.003969999999999754
30,2022-07-25 01:00:00+00:00,2022-08-01 00:55:00+00:00,26,7,19,-0.01302999999999956
31,2022-08-01 01:00:00+00:00,2022-08-08 00:55:00+00:00,19,6,13,-0.0006799999999992853
32,2022-08-08 01:00:00+00:00,2022-08-15 00:55:00+00:00,17,2,15,-0.030709999999999994
33,2022-08-15 01:00:00+00:00,2022-08-22 00:55:00+00:00,12,7,5,0.017970000000000513
34,2022-08-22 01:00:00+00:00,2022-08-29 00:55:00+00:00,22,5,17,-0.022350000000000224
35,2022-08-29 01:00:00+00:00,2022-09-05 00:55:00+00:00,26,9,17,-0.0014600000000002666
36,2022-09-05 01:00:00+00:00,2022-09-12 00:55:00+00:00,29,9,20,-0.012030000000000124
37,2022-09-12 01:00:00+00:00,2022-09-19 00:55:00+00:00,19,7,12,0.0006000000000000033
38,2022-09-19 01:00:00+00:00,2022-09-26 00:55:00+00:00,22,8,14,0.008060000000000005
39,2022-09-26 01:00:00+00:00,2022-10-03 00:55:00+00:00,35,16,19,0.030630000000000317
40,2022-10-03 01:00:00+00:00,2022-10-10 00:55:00+00:00,26,12,14,0.01644999999999984
41,2022-10-10 01:00:00+00:00,2022-10-17 00:55:00+00:00,26,4,22,-0.046000000000000055
42,2022-10-17 01:00:00+00:00,2022-10-24 00:55:00+00:00,20,7,13,-0.0021000000000001504
43,2022-10-24 01:00:00+00:00,2022-10-31 00:55:00+00:00,27,9,17,-0.0020400000000003193
44,2022-10-31 01:00:00+00:00,2022-11-07 00:55:00+00:00,22,10,12,0.01657000000000007
45,2022-11-07 01:00:00+00:00,2022-11-14 00:55:00+00:00,26,14,12,0.04532000000000023
46,2022-11-14 01:00:00+00:00,2022-11-21 00:55:00+00:00,28,10,18,-0.0015900000000000835
47,2022-11-21 01:00:00+00:00,2022-11-25 23:45:00+00:00,18,4,14,-0.014099999999999413
