Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2022-01-03 01:00:00+00:00,2022-01-10 00:55:00+00:00,7,5,2,0.02302999999999994,71.0
2,2022-01-10 01:00:00+00:00,2022-01-17 00:55:00+00:00,18,2,16,-0.00874000000000012,11.0
3,2022-01-17 01:00:00+00:00,2022-01-24 00:55:00+00:00,17,1,16,-0.014040000000000259,6.0
4,2022-01-24 01:00:00+00:00,2022-01-31 00:55:00+00:00,14,4,10,0.008709999999999888,28.999999999999996
5,2022-01-31 01:00:00+00:00,2022-02-07 00:55:00+00:00,21,7,14,0.01808000000000006,33.0
6,2022-02-07 01:00:00+00:00,2022-02-14 00:55:00+00:00,21,3,18,-0.008810000000000463,14.000000000000002
7,2022-02-14 01:00:00+00:00,2022-02-21 00:55:00+00:00,28,1,26,-0.03235999999999975,4.0
8,2022-02-21 01:00:00+00:00,2022-02-28 00:55:00+00:00,38,7,31,0.006329999999999484,18.0
9,2022-02-28 01:00:00+00:00,2022-03-07 00:55:00+00:00,45,6,39,-0.021289999999999726,13.0
10,2022-03-07 01:00:00+00:00,2022-03-14 00:55:00+00:00,47,12,35,0.02364999999999988,26.0
11,2022-03-14 01:00:00+00:00,2022-03-21 00:55:00+00:00,36,10,26,0.02074000000000009,28.000000000000004
12,2022-03-21 01:00:00+00:00,2022-03-28 00:55:00+00:00,31,0,31,-0.04219000000000048,0.0
13,2022-03-28 01:00:00+00:00,2022-04-04 00:55:00+00:00,21,3,18,-0.008580000000000046,14.000000000000002
14,2022-04-04 01:00:00+00:00,2022-04-11 00:55:00+00:00,18,5,13,0.00898999999999947,28.000000000000004
15,2022-04-11 01:00:00+00:00,2022-04-18 00:55:00+00:00,23,3,20,-0.00967999999999962,13.0
16,2022-04-18 01:00:00+00:00,2022-04-25 00:55:00+00:00,19,4,15,0.0001699999999996843,21.0
17,2022-04-25 01:00:00+00:00,2022-05-02 00:55:00+00:00,32,6,25,-0.00018000000000011063,19.0
18,2022-05-02 01:00:00+00:00,2022-05-09 00:55:00+00:00,47,5,42,-0.03296000000000014,11.0
19,2022-05-09 01:00:00+00:00,2022-05-16 00:55:00+00:00,27,7,20,0.011160000000000517,26.0
20,2022-05-16 01:00:00+00:00,2022-05-23 00:55:00+00:00,22,6,16,0.010389999999999483,27.0
21,2022-05-23 01:00:00+00:00,2022-05-30 00:55:00+00:00,33,4,29,-0.018919999999999784,12.0
22,2022-05-30 01:00:00+00:00,2022-06-06 00:55:00+00:00,26,2,24,-0.01773000000000005,8.0
23,2022-06-06 01:00:00+00:00,2022-06-13 00:55:00+00:00,34,5,29,-0.01300000000000004,15.0
24,2022-06-13 01:00:00+00:00,2022-06-20 00:55:00+00:00,48,11,36,0.01285999999999983,23.0
25,2022-06-20 01:00:00+00:00,2022-06-27 00:55:00+00:00,42,5,36,-0.020409999999999442,12.0
26,2022-06-27 01:00:00+00:00,2022-07-04 00:55:00+00:00,23,5,18,0.0019400000000001222,22.0
27,2022-07-04 01:00:00+00:00,2022-07-11 00:55:00+00:00,26,4,22,-0.010039999999999855,15.0
28,2022-07-11 01:00:00+00:00,2022-07-18 00:55:00+00:00,43,6,37,-0.025689999999999533,14.000000000000002
29,2022-07-18 01:00:00+00:00,2022-07-25 00:55:00+00:00,45,8,37,-0.010130000000000056,18.0
30,2022-07-25 01:00:00+00:00,2022-08-01 00:55:00+00:00,46,7,39,-0.015180000000000471,15.0
31,2022-08-01 01:00:00+00:00,2022-08-08 00:55:00+00:00,28,5,23,-0.0063800000000008295,18.0
32,2022-08-08 01:00:00+00:00,2022-08-15 00:55:00+00:00,30,2,28,-0.021040000000000225,7.000000000000001
33,2022-08-15 01:00:00+00:00,2022-08-22 00:55:00+00:00,20,4,16,-0.0004599999999997939,20.0
34,2022-08-22 01:00:00+00:00,2022-08-29 00:55:00+00:00,33,7,26,0.0032399999999999374,21.0
35,2022-08-29 01:00:00+00:00,2022-09-05 00:55:00+00:00,35,7,28,-0.0012000000000004507,20.0
36,2022-09-05 01:00:00+00:00,2022-09-12 00:55:00+00:00,41,5,36,-0.026780000000000553,12.0
37,2022-09-12 01:00:00+00:00,2022-09-19 00:55:00+00:00,20,5,15,0.003689999999999527,25.0
38,2022-09-19 01:00:00+00:00,2022-09-26 00:55:00+00:00,36,7,29,-0.0014700000000006375,19.0
39,2022-09-26 01:00:00+00:00,2022-10-03 00:55:00+00:00,62,10,52,-0.013880000000000614,16.0
40,2022-10-03 01:00:00+00:00,2022-10-10 00:55:00+00:00,28,7,21,0.006109999999999727,25.0
41,2022-10-10 01:00:00+00:00,2022-10-17 00:55:00+00:00,36,3,33,-0.037509999999999544,8.0
42,2022-10-17 01:00:00+00:00,2022-10-24 00:55:00+00:00,31,7,24,0.006090000000000428,23.0
43,2022-10-24 01:00:00+00:00,2022-10-31 00:55:00+00:00,35,6,29,-0.011619999999999464,17.0
44,2022-10-31 01:00:00+00:00,2022-11-07 00:55:00+00:00,37,5,32,-0.025449999999999362,14.000000000000002
45,2022-11-07 01:00:00+00:00,2022-11-14 00:55:00+00:00,40,8,32,0.012750000000000483,20.0
46,2022-11-14 01:00:00+00:00,2022-11-21 00:55:00+00:00,38,7,31,-0.005259999999999931,18.0
47,2022-11-21 01:00:00+00:00,2022-11-25 23:45:00+00:00,29,7,21,0.008719999999999617,24.0
