Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2022-01-03 01:00:00+00:00,1.13782,2022-01-03 07:25:00+00:00,1.13366,0.0041400000000001635
buy,2022-01-03 07:35:00+00:00,1.13377,2022-01-03 16:45:00+00:00,1.13168,-0.0021099999999999253
short,2022-01-03 16:50:00+00:00,1.13089,2022-01-05 16:00:00+00:00,1.13301,-0.002140000000000122
short,2022-01-05 16:10:00+00:00,1.13259,2022-01-05 19:20:00+00:00,1.13465,-0.002079999999999951
short,2022-01-05 19:55:00+00:00,1.13414,2022-01-06 08:20:00+00:00,1.13012,0.0039999999999999125
buy,2022-01-06 08:40:00+00:00,1.13055,2022-01-06 09:45:00+00:00,1.12848,-0.0020900000000000163
buy,2022-01-06 09:55:00+00:00,1.12898,2022-01-06 16:35:00+00:00,1.13314,0.0041399999999999415
short,2022-01-06 16:55:00+00:00,1.13263,2022-01-06 22:00:00+00:00,1.12862,0.003990000000000069
buy,2022-01-06 22:05:00+00:00,1.12898,2022-01-07 16:30:00+00:00,1.133,0.003999999999999913
short,2022-01-07 17:35:00+00:00,1.13397,2022-01-07 20:20:00+00:00,1.13599,-0.002040000000000132
short,2022-01-07 20:25:00+00:00,1.13574,2022-01-10 14:30:00+00:00,1.13171,0.004009999999999979
short,2022-01-10 14:40:00+00:00,1.13146,2022-01-10 19:45:00+00:00,1.13349,-0.0020500000000001975
short,2022-01-10 19:50:00+00:00,1.13312,2022-01-11 10:50:00+00:00,1.13518,-0.002080000000000172
short,2022-01-11 11:00:00+00:00,1.13474,2022-01-11 18:40:00+00:00,1.13686,-0.0021399999999999
short,2022-01-11 18:45:00+00:00,1.13641,2022-01-12 15:35:00+00:00,1.13981,-0.0034200000000000697
short,2022-01-12 16:00:00+00:00,1.1405,2022-01-12 17:20:00+00:00,1.14251,-0.0020299999999998453
short,2022-01-12 17:30:00+00:00,1.14122,2022-01-12 19:00:00+00:00,1.14328,-0.002080000000000173
short,2022-01-12 19:25:00+00:00,1.14374,2022-01-13 09:30:00+00:00,1.14641,-0.0026899999999999502
short,2022-01-13 10:35:00+00:00,1.14703,2022-01-14 16:25:00+00:00,1.14302,0.003990000000000069
buy,2022-01-14 16:30:00+00:00,1.14397,2022-01-14 18:30:00+00:00,1.14155,-0.0024399999999998668
short,2022-01-14 18:45:00+00:00,1.1412,2022-01-17 10:35:00+00:00,1.14339,-0.0022099999999999143
short,2022-01-17 10:45:00+00:00,1.14278,2022-01-18 05:50:00+00:00,1.13851,0.004249999999999996
buy,2022-01-18 06:00:00+00:00,1.13975,2022-01-18 15:05:00+00:00,1.13722,-0.0025500000000001433
short,2022-01-18 15:10:00+00:00,1.1367,2022-01-18 18:25:00+00:00,1.13267,0.004009999999999978
