Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2022-01-03 01:00:00+00:00,2022-01-10 00:55:00+00:00,10,5,5,0.009809999999999854
2,2022-01-10 01:00:00+00:00,2022-01-17 00:55:00+00:00,10,2,8,-0.010930000000000127
3,2022-01-17 01:00:00+00:00,2022-01-24 00:55:00+00:00,10,3,7,-0.0030300000000003328
4,2022-01-24 01:00:00+00:00,2022-01-31 00:55:00+00:00,9,4,5,0.005440000000000624
5,2022-01-31 01:00:00+00:00,2022-02-07 00:55:00+00:00,13,3,10,-0.00953000000000011
6,2022-02-07 01:00:00+00:00,2022-02-14 00:55:00+00:00,12,5,7,0.00607000000000026
7,2022-02-14 01:00:00+00:00,2022-02-21 00:55:00+00:00,13,5,8,0.00040000000000010427
8,2022-02-21 01:00:00+00:00,2022-02-28 00:55:00+00:00,30,10,20,0.0020800000000002414
9,2022-02-28 01:00:00+00:00,2022-03-07 00:55:00+00:00,22,11,11,0.02267999999999937
10,2022-03-07 01:00:00+00:00,2022-03-14 00:55:00+00:00,38,14,24,-0.004440000000000104
11,2022-03-14 01:00:00+00:00,2022-03-21 00:55:00+00:00,27,11,16,0.007379999999999727
12,2022-03-21 01:00:00+00:00,2022-03-28 00:55:00+00:00,11,5,6,0.007819999999999612
13,2022-03-28 01:00:00+00:00,2022-04-04 00:55:00+00:00,20,7,13,-0.0031999999999996753
14,2022-04-04 01:00:00+00:00,2022-04-11 00:55:00+00:00,19,7,12,-0.0010400000000007556
15,2022-04-11 01:00:00+00:00,2022-04-18 00:55:00+00:00,13,4,9,-0.0021200000000001842
16,2022-04-18 01:00:00+00:00,2022-04-25 00:55:00+00:00,14,5,9,-0.0007900000000004431
17,2022-04-25 01:00:00+00:00,2022-05-02 00:55:00+00:00,24,8,16,-0.0017299999999997318
18,2022-05-02 01:00:00+00:00,2022-05-09 00:55:00+00:00,26,9,17,-0.002569999999999864
19,2022-05-09 01:00:00+00:00,2022-05-16 00:55:00+00:00,20,9,11,0.011980000000000962
20,2022-05-16 01:00:00+00:00,2022-05-23 00:55:00+00:00,24,4,20,-0.031119999999999766
21,2022-05-23 01:00:00+00:00,2022-05-30 00:55:00+00:00,14,3,11,-0.014999999999999618
22,2022-05-30 01:00:00+00:00,2022-06-06 00:55:00+00:00,21,6,15,-0.00823999999999971
23,2022-06-06 01:00:00+00:00,2022-06-13 00:55:00+00:00,19,8,11,0.009669999999999464
24,2022-06-13 01:00:00+00:00,2022-06-20 00:55:00+00:00,35,11,24,-0.013060000000000356
25,2022-06-20 01:00:00+00:00,2022-06-27 00:55:00+00:00,16,5,11,-0.005890000000000284
26,2022-06-27 01:00:00+00:00,2022-07-04 00:55:00+00:00,21,7,14,-0.003059999999999962
27,2022-07-04 01:00:00+00:00,2022-07-11 00:55:00+00:00,19,11,8,0.030869999999999793
28,2022-07-11 01:00:00+00:00,2022-07-18 00:55:00+00:00,29,13,16,0.0172100000000011
29,2022-07-18 01:00:00+00:00,2022-07-25 00:55:00+00:00,32,11,21,-0.001989999999999943
30,2022-07-25 01:00:00+00:00,2022-08-01 00:55:00+00:00,25,9,16,-0.0013200000000006956
31,2022-08-01 01:00:00+00:00,2022-08-08 00:55:00+00:00,18,6,12,0.002480000000000187
32,2022-08-08 01:00:00+00:00,2022-08-15 00:55:00+00:00,15,3,12,-0.0190400000000002
33,2022-08-15 01:00:00+00:00,2022-08-22 00:55:00+00:00,12,8,4,0.024030000000000235
34,2022-08-22 01:00:00+00:00,2022-08-29 00:55:00+00:00,19,7,12,-0.0016299999999999613
35,2022-08-29 01:00:00+00:00,2022-09-05 00:55:00+00:00,28,9,19,-0.005950000000000431
36,2022-09-05 01:00:00+00:00,2022-09-12 00:55:00+00:00,24,8,16,-0.007789999999999925
37,2022-09-12 01:00:00+00:00,2022-09-19 00:55:00+00:00,17,8,9,0.023379999999999974
38,2022-09-19 01:00:00+00:00,2022-09-26 00:55:00+00:00,26,13,13,0.03293000000000021
39,2022-09-26 01:00:00+00:00,2022-10-03 00:55:00+00:00,41,12,29,-0.01334999999999982
40,2022-10-03 01:00:00+00:00,2022-10-10 00:55:00+00:00,32,11,21,-0.005680000000000129
41,2022-10-10 01:00:00+00:00,2022-10-17 00:55:00+00:00,25,8,17,-0.005780000000000153
42,2022-10-17 01:00:00+00:00,2022-10-24 00:55:00+00:00,27,8,19,-0.010490000000000325
43,2022-10-24 01:00:00+00:00,2022-10-31 00:55:00+00:00,24,11,13,0.015590000000000048
44,2022-10-31 01:00:00+00:00,2022-11-07 00:55:00+00:00,23,13,10,0.03334000000000003
45,2022-11-07 01:00:00+00:00,2022-11-14 00:55:00+00:00,33,10,23,-0.001019999999999105
46,2022-11-14 01:00:00+00:00,2022-11-21 00:55:00+00:00,37,11,26,-0.02543000000000012
47,2022-11-21 01:00:00+00:00,2022-11-25 23:45:00+00:00,16,2,14,-0.024969999999999604
