Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,1999-06-21 00:00:00+01:00,1999-06-28 00:00:00+01:00,0,0,0,0.0,
2,1999-06-28 00:00:00+01:00,1999-07-05 00:00:00+01:00,0,0,0,0.0,
3,1999-07-05 00:00:00+01:00,1999-07-12 00:00:00+01:00,0,0,0,0.0,
4,1999-07-12 00:00:00+01:00,1999-07-19 00:00:00+01:00,0,0,0,0.0,
5,1999-07-19 00:00:00+01:00,1999-07-26 00:00:00+01:00,0,0,0,0.0,
6,1999-07-26 00:00:00+01:00,1999-08-02 00:00:00+01:00,0,0,0,0.0,
7,1999-08-02 00:00:00+01:00,1999-08-09 00:00:00+01:00,0,0,0,0.0,
8,1999-08-09 00:00:00+01:00,1999-08-16 00:00:00+01:00,0,0,0,0.0,
9,1999-08-16 00:00:00+01:00,1999-08-23 00:00:00+01:00,0,0,0,0.0,
10,1999-08-23 00:00:00+01:00,1999-08-30 00:00:00+01:00,0,0,0,0.0,
11,1999-08-30 00:00:00+01:00,1999-09-06 00:00:00+01:00,0,0,0,0.0,
12,1999-09-06 00:00:00+01:00,1999-09-13 00:00:00+01:00,0,0,0,0.0,
13,1999-09-13 00:00:00+01:00,1999-09-20 00:00:00+01:00,0,0,0,0.0,
14,1999-09-20 00:00:00+01:00,1999-09-27 00:00:00+01:00,0,0,0,0.0,
15,1999-09-27 00:00:00+01:00,1999-10-04 00:00:00+01:00,0,0,0,0.0,
16,1999-10-04 00:00:00+01:00,1999-10-11 00:00:00+01:00,0,0,0,0.0,
17,1999-10-11 00:00:00+01:00,1999-10-18 00:00:00+01:00,0,0,0,0.0,
18,1999-10-18 00:00:00+01:00,1999-10-25 00:00:00+01:00,0,0,0,0.0,
19,1999-10-25 00:00:00+01:00,1999-11-01 00:00:00+01:00,0,0,0,0.0,
20,1999-11-01 00:00:00+01:00,1999-11-08 00:00:00+01:00,0,0,0,0.0,
21,1999-11-08 00:00:00+01:00,1999-11-15 00:00:00+01:00,0,0,0,0.0,
22,1999-11-15 00:00:00+01:00,1999-11-22 00:00:00+01:00,0,0,0,0.0,
23,1999-11-22 00:00:00+01:00,1999-11-29 00:00:00+01:00,1,0,1,-19.023511311554458,0.0
24,1999-11-29 00:00:00+01:00,1999-12-06 00:00:00+01:00,0,0,0,0.0,
25,1999-12-06 00:00:00+01:00,1999-12-13 00:00:00+01:00,0,0,0,0.0,
26,1999-12-13 00:00:00+01:00,1999-12-20 00:00:00+01:00,0,0,0,0.0,
27,1999-12-20 00:00:00+01:00,1999-12-27 00:00:00+01:00,0,0,0,0.0,
28,1999-12-27 00:00:00+01:00,2000-01-03 00:00:00+01:00,0,0,0,0.0,
29,2000-01-03 00:00:00+01:00,2000-01-10 00:00:00+01:00,0,0,0,0.0,
30,2000-01-10 00:00:00+01:00,2000-01-17 00:00:00+01:00,1,0,1,-18.789180286509236,0.0
31,2000-01-17 00:00:00+01:00,2000-01-24 00:00:00+01:00,0,0,0,0.0,
32,2000-01-24 00:00:00+01:00,2000-01-31 00:00:00+01:00,0,0,0,0.0,
33,2000-01-31 00:00:00+01:00,2000-02-07 00:00:00+01:00,0,0,0,0.0,
34,2000-02-07 00:00:00+01:00,2000-02-14 00:00:00+01:00,0,0,0,0.0,
