Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,1997-01-02 00:00:00+00:00,1997-01-09 00:00:00+00:00,0,0,0,0.0,
2,1997-01-09 00:00:00+00:00,1997-01-16 00:00:00+00:00,0,0,0,0.0,
3,1997-01-16 00:00:00+00:00,1997-01-23 00:00:00+00:00,0,0,0,0.0,
4,1997-01-23 00:00:00+00:00,1997-01-30 00:00:00+00:00,0,0,0,0.0,
5,1997-01-30 00:00:00+00:00,1997-02-06 00:00:00+00:00,0,0,0,0.0,
6,1997-02-06 00:00:00+00:00,1997-02-13 00:00:00+00:00,0,0,0,0.0,
7,1997-02-13 00:00:00+00:00,1997-02-20 00:00:00+00:00,0,0,0,0.0,
8,1997-02-20 00:00:00+00:00,1997-02-27 00:00:00+00:00,0,0,0,0.0,
9,1997-02-27 00:00:00+00:00,1997-03-06 00:00:00+00:00,0,0,0,0.0,
10,1997-03-06 00:00:00+00:00,1997-03-13 00:00:00+00:00,0,0,0,0.0,
11,1997-03-13 00:00:00+00:00,1997-03-20 00:00:00+00:00,0,0,0,0.0,
12,1997-03-20 00:00:00+00:00,1997-03-27 00:00:00+00:00,1,1,0,3.707089500427246,100.0
13,1997-03-27 00:00:00+00:00,1997-04-03 00:00:00+00:00,0,0,0,0.0,
14,1997-04-03 00:00:00+00:00,1997-04-10 00:00:00+00:00,0,0,0,0.0,
15,1997-04-10 00:00:00+00:00,1997-04-17 00:00:00+00:00,0,0,0,0.0,
16,1997-04-17 00:00:00+00:00,1997-04-24 00:00:00+00:00,0,0,0,0.0,
17,1997-04-24 00:00:00+00:00,1997-05-01 00:00:00+00:00,0,0,0,0.0,
18,1997-05-01 00:00:00+00:00,1997-05-08 00:00:00+00:00,0,0,0,0.0,
19,1997-05-08 00:00:00+00:00,1997-05-15 00:00:00+00:00,0,0,0,0.0,
20,1997-05-15 00:00:00+00:00,1997-05-22 00:00:00+00:00,0,0,0,0.0,
21,1997-05-22 00:00:00+00:00,1997-05-29 00:00:00+00:00,0,0,0,0.0,
22,1997-05-29 00:00:00+00:00,1997-06-05 00:00:00+00:00,0,0,0,0.0,
23,1997-06-05 00:00:00+00:00,1997-06-12 00:00:00+00:00,0,0,0,0.0,
24,1997-06-12 00:00:00+00:00,1997-06-19 00:00:00+00:00,0,0,0,0.0,
25,1997-06-19 00:00:00+00:00,1997-06-26 00:00:00+00:00,0,0,0,0.0,
26,1997-06-26 00:00:00+00:00,1997-07-03 00:00:00+00:00,0,0,0,0.0,
27,1997-07-03 00:00:00+00:00,1997-07-10 00:00:00+00:00,0,0,0,0.0,
28,1997-07-10 00:00:00+00:00,1997-07-17 00:00:00+00:00,0,0,0,0.0,
29,1997-07-17 00:00:00+00:00,1997-07-24 00:00:00+00:00,0,0,0,0.0,
30,1997-07-24 00:00:00+00:00,1997-07-31 00:00:00+00:00,0,0,0,0.0,
31,1997-07-31 00:00:00+00:00,1997-08-07 00:00:00+00:00,0,0,0,0.0,
32,1997-08-07 00:00:00+00:00,1997-08-14 00:00:00+00:00,0,0,0,0.0,
33,1997-08-14 00:00:00+00:00,1997-08-21 00:00:00+00:00,0,0,0,0.0,
34,1997-08-21 00:00:00+00:00,1997-08-28 00:00:00+00:00,0,0,0,0.0,
35,1997-08-28 00:00:00+00:00,1997-09-04 00:00:00+00:00,0,0,0,0.0,
36,1997-09-04 00:00:00+00:00,1997-09-11 00:00:00+00:00,0,0,0,0.0,
37,1997-09-11 00:00:00+00:00,1997-09-18 00:00:00+00:00,0,0,0,0.0,
38,1997-09-18 00:00:00+00:00,1997-09-25 00:00:00+00:00,0,0,0,0.0,
39,1997-09-25 00:00:00+00:00,1997-10-02 00:00:00+00:00,0,0,0,0.0,
40,1997-10-02 00:00:00+00:00,1997-10-09 00:00:00+00:00,0,0,0,0.0,
41,1997-10-09 00:00:00+00:00,1997-10-16 00:00:00+00:00,0,0,0,0.0,
42,1997-10-16 00:00:00+00:00,1997-10-23 00:00:00+00:00,0,0,0,0.0,
43,1997-10-23 00:00:00+00:00,1997-10-30 00:00:00+00:00,0,0,0,0.0,
44,1997-10-30 00:00:00+00:00,1997-11-06 00:00:00+00:00,0,0,0,0.0,
45,1997-11-06 00:00:00+00:00,1997-11-13 00:00:00+00:00,0,0,0,0.0,
46,1997-11-13 00:00:00+00:00,1997-11-20 00:00:00+00:00,0,0,0,0.0,
47,1997-11-20 00:00:00+00:00,1997-11-27 00:00:00+00:00,0,0,0,0.0,
48,1997-11-27 00:00:00+00:00,1997-12-04 00:00:00+00:00,0,0,0,0.0,
49,1997-12-04 00:00:00+00:00,1997-12-11 00:00:00+00:00,0,0,0,0.0,
50,1997-12-11 00:00:00+00:00,1997-12-18 00:00:00+00:00,0,0,0,0.0,
51,1997-12-18 00:00:00+00:00,1997-12-25 00:00:00+00:00,0,0,0,0.0,
52,1997-12-25 00:00:00+00:00,1998-01-01 00:00:00+00:00,0,0,0,0.0,
53,1998-01-01 00:00:00+00:00,1998-01-08 00:00:00+00:00,0,0,0,0.0,
54,1998-01-08 00:00:00+00:00,1998-01-15 00:00:00+00:00,0,0,0,0.0,
55,1998-01-15 00:00:00+00:00,1998-01-22 00:00:00+00:00,0,0,0,0.0,
56,1998-01-22 00:00:00+00:00,1998-01-29 00:00:00+00:00,0,0,0,0.0,
57,1998-01-29 00:00:00+00:00,1998-02-05 00:00:00+00:00,0,0,0,0.0,
58,1998-02-05 00:00:00+00:00,1998-02-12 00:00:00+00:00,0,0,0,0.0,
59,1998-02-12 00:00:00+00:00,1998-02-19 00:00:00+00:00,0,0,0,0.0,
60,1998-02-19 00:00:00+00:00,1998-02-26 00:00:00+00:00,0,0,0,0.0,
61,1998-02-26 00:00:00+00:00,1998-03-05 00:00:00+00:00,0,0,0,0.0,
62,1998-03-05 00:00:00+00:00,1998-03-12 00:00:00+00:00,0,0,0,0.0,
63,1998-03-12 00:00:00+00:00,1998-03-19 00:00:00+00:00,0,0,0,0.0,
64,1998-03-19 00:00:00+00:00,1998-03-26 00:00:00+00:00,0,0,0,0.0,
65,1998-03-26 00:00:00+00:00,1998-04-02 00:00:00+00:00,1,0,1,-2.5622361755371093,0.0
66,1998-04-02 00:00:00+00:00,1998-04-09 00:00:00+00:00,0,0,0,0.0,
67,1998-04-09 00:00:00+00:00,1998-04-16 00:00:00+00:00,0,0,0,0.0,
68,1998-04-16 00:00:00+00:00,1998-04-23 00:00:00+00:00,0,0,0,0.0,
69,1998-04-23 00:00:00+00:00,1998-04-30 00:00:00+00:00,0,0,0,0.0,
70,1998-04-30 00:00:00+00:00,1998-05-07 00:00:00+00:00,0,0,0,0.0,
71,1998-05-07 00:00:00+00:00,1998-05-14 00:00:00+00:00,0,0,0,0.0,
72,1998-05-14 00:00:00+00:00,1998-05-21 00:00:00+00:00,0,0,0,0.0,
73,1998-05-21 00:00:00+00:00,1998-05-28 00:00:00+00:00,0,0,0,0.0,
74,1998-05-28 00:00:00+00:00,1998-06-04 00:00:00+00:00,0,0,0,0.0,
75,1998-06-04 00:00:00+00:00,1998-06-11 00:00:00+00:00,0,0,0,0.0,
76,1998-06-11 00:00:00+00:00,1998-06-18 00:00:00+00:00,0,0,0,0.0,
77,1998-06-18 00:00:00+00:00,1998-06-25 00:00:00+00:00,0,0,0,0.0,
78,1998-06-25 00:00:00+00:00,1998-07-02 00:00:00+00:00,0,0,0,0.0,
79,1998-07-02 00:00:00+00:00,1998-07-09 00:00:00+00:00,0,0,0,0.0,
80,1998-07-09 00:00:00+00:00,1998-07-16 00:00:00+00:00,0,0,0,0.0,
81,1998-07-16 00:00:00+00:00,1998-07-23 00:00:00+00:00,0,0,0,0.0,
82,1998-07-23 00:00:00+00:00,1998-07-30 00:00:00+00:00,0,0,0,0.0,
83,1998-07-30 00:00:00+00:00,1998-08-06 00:00:00+00:00,0,0,0,0.0,
84,1998-08-06 00:00:00+00:00,1998-08-13 00:00:00+00:00,0,0,0,0.0,
85,1998-08-13 00:00:00+00:00,1998-08-20 00:00:00+00:00,0,0,0,0.0,
86,1998-08-20 00:00:00+00:00,1998-08-27 00:00:00+00:00,0,0,0,0.0,
87,1998-08-27 00:00:00+00:00,1998-09-03 00:00:00+00:00,0,0,0,0.0,
88,1998-09-03 00:00:00+00:00,1998-09-10 00:00:00+00:00,0,0,0,0.0,
89,1998-09-10 00:00:00+00:00,1998-09-17 00:00:00+00:00,0,0,0,0.0,
90,1998-09-17 00:00:00+00:00,1998-09-24 00:00:00+00:00,0,0,0,0.0,
91,1998-09-24 00:00:00+00:00,1998-10-01 00:00:00+00:00,0,0,0,0.0,
92,1998-10-01 00:00:00+00:00,1998-10-08 00:00:00+00:00,0,0,0,0.0,
93,1998-10-08 00:00:00+00:00,1998-10-15 00:00:00+00:00,0,0,0,0.0,
94,1998-10-15 00:00:00+00:00,1998-10-22 00:00:00+00:00,0,0,0,0.0,
95,1998-10-22 00:00:00+00:00,1998-10-29 00:00:00+00:00,0,0,0,0.0,
96,1998-10-29 00:00:00+00:00,1998-11-05 00:00:00+00:00,0,0,0,0.0,
97,1998-11-05 00:00:00+00:00,1998-11-12 00:00:00+00:00,0,0,0,0.0,
98,1998-11-12 00:00:00+00:00,1998-11-19 00:00:00+00:00,0,0,0,0.0,
99,1998-11-19 00:00:00+00:00,1998-11-26 00:00:00+00:00,0,0,0,0.0,
100,1998-11-26 00:00:00+00:00,1998-12-03 00:00:00+00:00,0,0,0,0.0,
101,1998-12-03 00:00:00+00:00,1998-12-10 00:00:00+00:00,0,0,0,0.0,
102,1998-12-10 00:00:00+00:00,1998-12-17 00:00:00+00:00,0,0,0,0.0,
103,1998-12-17 00:00:00+00:00,1998-12-24 00:00:00+00:00,0,0,0,0.0,
104,1998-12-24 00:00:00+00:00,1998-12-31 00:00:00+00:00,0,0,0,0.0,
105,1998-12-31 00:00:00+00:00,1999-01-07 00:00:00+00:00,0,0,0,0.0,
106,1999-01-07 00:00:00+00:00,1999-01-14 00:00:00+00:00,0,0,0,0.0,
107,1999-01-14 00:00:00+00:00,1999-01-21 00:00:00+00:00,0,0,0,0.0,
108,1999-01-21 00:00:00+00:00,1999-01-28 00:00:00+00:00,0,0,0,0.0,
109,1999-01-28 00:00:00+00:00,1999-02-04 00:00:00+00:00,0,0,0,0.0,
110,1999-02-04 00:00:00+00:00,1999-02-11 00:00:00+00:00,0,0,0,0.0,
111,1999-02-11 00:00:00+00:00,1999-02-18 00:00:00+00:00,0,0,0,0.0,
112,1999-02-18 00:00:00+00:00,1999-02-25 00:00:00+00:00,0,0,0,0.0,
113,1999-02-25 00:00:00+00:00,1999-03-04 00:00:00+00:00,0,0,0,0.0,
114,1999-03-04 00:00:00+00:00,1999-03-11 00:00:00+00:00,0,0,0,0.0,
115,1999-03-11 00:00:00+00:00,1999-03-18 00:00:00+00:00,0,0,0,0.0,
116,1999-03-18 00:00:00+00:00,1999-03-25 00:00:00+00:00,0,0,0,0.0,
117,1999-03-25 00:00:00+00:00,1999-04-01 00:00:00+00:00,0,0,0,0.0,
118,1999-04-01 00:00:00+00:00,1999-04-08 00:00:00+00:00,0,0,0,0.0,
119,1999-04-08 00:00:00+00:00,1999-04-15 00:00:00+00:00,0,0,0,0.0,
120,1999-04-15 00:00:00+00:00,1999-04-22 00:00:00+00:00,0,0,0,0.0,
121,1999-04-22 00:00:00+00:00,1999-04-29 00:00:00+00:00,0,0,0,0.0,
122,1999-04-29 00:00:00+00:00,1999-05-06 00:00:00+00:00,0,0,0,0.0,
123,1999-05-06 00:00:00+00:00,1999-05-13 00:00:00+00:00,0,0,0,0.0,
124,1999-05-13 00:00:00+00:00,1999-05-20 00:00:00+00:00,0,0,0,0.0,
125,1999-05-20 00:00:00+00:00,1999-05-27 00:00:00+00:00,0,0,0,0.0,
126,1999-05-27 00:00:00+00:00,1999-06-03 00:00:00+00:00,0,0,0,0.0,
127,1999-06-03 00:00:00+00:00,1999-06-10 00:00:00+00:00,0,0,0,0.0,
128,1999-06-10 00:00:00+00:00,1999-06-17 00:00:00+00:00,0,0,0,0.0,
129,1999-06-17 00:00:00+00:00,1999-06-24 00:00:00+00:00,0,0,0,0.0,
130,1999-06-24 00:00:00+00:00,1999-07-01 00:00:00+00:00,0,0,0,0.0,
131,1999-07-01 00:00:00+00:00,1999-07-08 00:00:00+00:00,0,0,0,0.0,
132,1999-07-08 00:00:00+00:00,1999-07-15 00:00:00+00:00,0,0,0,0.0,
133,1999-07-15 00:00:00+00:00,1999-07-22 00:00:00+00:00,0,0,0,0.0,
134,1999-07-22 00:00:00+00:00,1999-07-29 00:00:00+00:00,0,0,0,0.0,
135,1999-07-29 00:00:00+00:00,1999-08-05 00:00:00+00:00,0,0,0,0.0,
136,1999-08-05 00:00:00+00:00,1999-08-12 00:00:00+00:00,0,0,0,0.0,
137,1999-08-12 00:00:00+00:00,1999-08-19 00:00:00+00:00,0,0,0,0.0,
138,1999-08-19 00:00:00+00:00,1999-08-26 00:00:00+00:00,1,0,1,-1.2870580978393555,0.0
139,1999-08-26 00:00:00+00:00,1999-09-02 00:00:00+00:00,0,0,0,0.0,
140,1999-09-02 00:00:00+00:00,1999-09-09 00:00:00+00:00,0,0,0,0.0,
141,1999-09-09 00:00:00+00:00,1999-09-16 00:00:00+00:00,0,0,0,0.0,
142,1999-09-16 00:00:00+00:00,1999-09-23 00:00:00+00:00,0,0,0,0.0,
143,1999-09-23 00:00:00+00:00,1999-09-30 00:00:00+00:00,0,0,0,0.0,
144,1999-09-30 00:00:00+00:00,1999-10-07 00:00:00+00:00,0,0,0,0.0,
145,1999-10-07 00:00:00+00:00,1999-10-14 00:00:00+00:00,0,0,0,0.0,
146,1999-10-14 00:00:00+00:00,1999-10-21 00:00:00+00:00,0,0,0,0.0,
147,1999-10-21 00:00:00+00:00,1999-10-28 00:00:00+00:00,0,0,0,0.0,
148,1999-10-28 00:00:00+00:00,1999-11-04 00:00:00+00:00,0,0,0,0.0,
149,1999-11-04 00:00:00+00:00,1999-11-11 00:00:00+00:00,0,0,0,0.0,
150,1999-11-11 00:00:00+00:00,1999-11-18 00:00:00+00:00,0,0,0,0.0,
151,1999-11-18 00:00:00+00:00,1999-11-25 00:00:00+00:00,0,0,0,0.0,
152,1999-11-25 00:00:00+00:00,1999-12-02 00:00:00+00:00,0,0,0,0.0,
153,1999-12-02 00:00:00+00:00,1999-12-09 00:00:00+00:00,0,0,0,0.0,
154,1999-12-09 00:00:00+00:00,1999-12-16 00:00:00+00:00,0,0,0,0.0,
155,1999-12-16 00:00:00+00:00,1999-12-23 00:00:00+00:00,0,0,0,0.0,
156,1999-12-23 00:00:00+00:00,1999-12-30 00:00:00+00:00,0,0,0,0.0,
157,1999-12-30 00:00:00+00:00,2000-01-06 00:00:00+00:00,0,0,0,0.0,
158,2000-01-06 00:00:00+00:00,2000-01-13 00:00:00+00:00,0,0,0,0.0,
159,2000-01-13 00:00:00+00:00,2000-01-20 00:00:00+00:00,0,0,0,0.0,
160,2000-01-20 00:00:00+00:00,2000-01-27 00:00:00+00:00,0,0,0,0.0,
161,2000-01-27 00:00:00+00:00,2000-02-03 00:00:00+00:00,0,0,0,0.0,
162,2000-02-03 00:00:00+00:00,2000-02-10 00:00:00+00:00,0,0,0,0.0,
163,2000-02-10 00:00:00+00:00,2000-02-17 00:00:00+00:00,0,0,0,0.0,
164,2000-02-17 00:00:00+00:00,2000-02-24 00:00:00+00:00,0,0,0,0.0,
165,2000-02-24 00:00:00+00:00,2000-03-02 00:00:00+00:00,0,0,0,0.0,
166,2000-03-02 00:00:00+00:00,2000-03-09 00:00:00+00:00,0,0,0,0.0,
167,2000-03-09 00:00:00+00:00,2000-03-16 00:00:00+00:00,0,0,0,0.0,
168,2000-03-16 00:00:00+00:00,2000-03-23 00:00:00+00:00,0,0,0,0.0,
169,2000-03-23 00:00:00+00:00,2000-03-30 00:00:00+00:00,0,0,0,0.0,
170,2000-03-30 00:00:00+00:00,2000-04-06 00:00:00+00:00,0,0,0,0.0,
171,2000-04-06 00:00:00+00:00,2000-04-13 00:00:00+00:00,0,0,0,0.0,
172,2000-04-13 00:00:00+00:00,2000-04-20 00:00:00+00:00,0,0,0,0.0,
173,2000-04-20 00:00:00+00:00,2000-04-27 00:00:00+00:00,0,0,0,0.0,
174,2000-04-27 00:00:00+00:00,2000-05-04 00:00:00+00:00,0,0,0,0.0,
175,2000-05-04 00:00:00+00:00,2000-05-11 00:00:00+00:00,0,0,0,0.0,
176,2000-05-11 00:00:00+00:00,2000-05-18 00:00:00+00:00,0,0,0,0.0,
177,2000-05-18 00:00:00+00:00,2000-05-25 00:00:00+00:00,0,0,0,0.0,
178,2000-05-25 00:00:00+00:00,2000-06-01 00:00:00+00:00,0,0,0,0.0,
179,2000-06-01 00:00:00+00:00,2000-06-08 00:00:00+00:00,0,0,0,0.0,
180,2000-06-08 00:00:00+00:00,2000-06-15 00:00:00+00:00,0,0,0,0.0,
181,2000-06-15 00:00:00+00:00,2000-06-22 00:00:00+00:00,0,0,0,0.0,
182,2000-06-22 00:00:00+00:00,2000-06-29 00:00:00+00:00,0,0,0,0.0,
183,2000-06-29 00:00:00+00:00,2000-07-06 00:00:00+00:00,0,0,0,0.0,
184,2000-07-06 00:00:00+00:00,2000-07-13 00:00:00+00:00,0,0,0,0.0,
185,2000-07-13 00:00:00+00:00,2000-07-20 00:00:00+00:00,0,0,0,0.0,
186,2000-07-20 00:00:00+00:00,2000-07-27 00:00:00+00:00,0,0,0,0.0,
187,2000-07-27 00:00:00+00:00,2000-08-03 00:00:00+00:00,0,0,0,0.0,
188,2000-08-03 00:00:00+00:00,2000-08-10 00:00:00+00:00,0,0,0,0.0,
189,2000-08-10 00:00:00+00:00,2000-08-17 00:00:00+00:00,0,0,0,0.0,
190,2000-08-17 00:00:00+00:00,2000-08-24 00:00:00+00:00,0,0,0,0.0,
191,2000-08-24 00:00:00+00:00,2000-08-31 00:00:00+00:00,1,0,1,-8.182937072753893,0.0
192,2000-08-31 00:00:00+00:00,2000-09-07 00:00:00+00:00,0,0,0,0.0,
193,2000-09-07 00:00:00+00:00,2000-09-14 00:00:00+00:00,0,0,0,0.0,
194,2000-09-14 00:00:00+00:00,2000-09-21 00:00:00+00:00,0,0,0,0.0,
195,2000-09-21 00:00:00+00:00,2000-09-28 00:00:00+00:00,0,0,0,0.0,
196,2000-09-28 00:00:00+00:00,2000-10-05 00:00:00+00:00,0,0,0,0.0,
197,2000-10-05 00:00:00+00:00,2000-10-12 00:00:00+00:00,0,0,0,0.0,
198,2000-10-12 00:00:00+00:00,2000-10-19 00:00:00+00:00,0,0,0,0.0,
199,2000-10-19 00:00:00+00:00,2000-10-26 00:00:00+00:00,0,0,0,0.0,
200,2000-10-26 00:00:00+00:00,2000-11-02 00:00:00+00:00,0,0,0,0.0,
201,2000-11-02 00:00:00+00:00,2000-11-09 00:00:00+00:00,0,0,0,0.0,
202,2000-11-09 00:00:00+00:00,2000-11-16 00:00:00+00:00,0,0,0,0.0,
203,2000-11-16 00:00:00+00:00,2000-11-23 00:00:00+00:00,0,0,0,0.0,
204,2000-11-23 00:00:00+00:00,2000-11-30 00:00:00+00:00,0,0,0,0.0,
205,2000-11-30 00:00:00+00:00,2000-12-07 00:00:00+00:00,0,0,0,0.0,
206,2000-12-07 00:00:00+00:00,2000-12-14 00:00:00+00:00,0,0,0,0.0,
207,2000-12-14 00:00:00+00:00,2000-12-21 00:00:00+00:00,0,0,0,0.0,
208,2000-12-21 00:00:00+00:00,2000-12-28 00:00:00+00:00,0,0,0,0.0,
209,2000-12-28 00:00:00+00:00,2001-01-04 00:00:00+00:00,0,0,0,0.0,
210,2001-01-04 00:00:00+00:00,2001-01-11 00:00:00+00:00,0,0,0,0.0,
211,2001-01-11 00:00:00+00:00,2001-01-18 00:00:00+00:00,0,0,0,0.0,
212,2001-01-18 00:00:00+00:00,2001-01-25 00:00:00+00:00,0,0,0,0.0,
213,2001-01-25 00:00:00+00:00,2001-02-01 00:00:00+00:00,0,0,0,0.0,
214,2001-02-01 00:00:00+00:00,2001-02-08 00:00:00+00:00,0,0,0,0.0,
215,2001-02-08 00:00:00+00:00,2001-02-15 00:00:00+00:00,0,0,0,0.0,
216,2001-02-15 00:00:00+00:00,2001-02-22 00:00:00+00:00,0,0,0,0.0,
217,2001-02-22 00:00:00+00:00,2001-03-01 00:00:00+00:00,0,0,0,0.0,
218,2001-03-01 00:00:00+00:00,2001-03-08 00:00:00+00:00,0,0,0,0.0,
219,2001-03-08 00:00:00+00:00,2001-03-15 00:00:00+00:00,0,0,0,0.0,
220,2001-03-15 00:00:00+00:00,2001-03-22 00:00:00+00:00,0,0,0,0.0,
221,2001-03-22 00:00:00+00:00,2001-03-29 00:00:00+00:00,0,0,0,0.0,
222,2001-03-29 00:00:00+00:00,2001-04-05 00:00:00+00:00,0,0,0,0.0,
223,2001-04-05 00:00:00+00:00,2001-04-12 00:00:00+00:00,0,0,0,0.0,
224,2001-04-12 00:00:00+00:00,2001-04-19 00:00:00+00:00,0,0,0,0.0,
