Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,1993-06-18 00:00:00+01:00,1993-06-25 00:00:00+01:00,0,0,0,0.0,
2,1993-06-25 00:00:00+01:00,1993-07-02 00:00:00+01:00,0,0,0,0.0,
3,1993-07-02 00:00:00+01:00,1993-07-09 00:00:00+01:00,0,0,0,0.0,
4,1993-07-09 00:00:00+01:00,1993-07-16 00:00:00+01:00,0,0,0,0.0,
5,1993-07-16 00:00:00+01:00,1993-07-23 00:00:00+01:00,0,0,0,0.0,
6,1993-07-23 00:00:00+01:00,1993-07-30 00:00:00+01:00,1,0,1,-8.592786163330107,0.0
7,1993-07-30 00:00:00+01:00,1993-08-06 00:00:00+01:00,0,0,0,0.0,
8,1993-08-06 00:00:00+01:00,1993-08-13 00:00:00+01:00,0,0,0,0.0,
9,1993-08-13 00:00:00+01:00,1993-08-20 00:00:00+01:00,0,0,0,0.0,
10,1993-08-20 00:00:00+01:00,1993-08-27 00:00:00+01:00,0,0,0,0.0,
11,1993-08-27 00:00:00+01:00,1993-09-03 00:00:00+01:00,0,0,0,0.0,
12,1993-09-03 00:00:00+01:00,1993-09-10 00:00:00+01:00,0,0,0,0.0,
13,1993-09-10 00:00:00+01:00,1993-09-17 00:00:00+01:00,0,0,0,0.0,
14,1993-09-17 00:00:00+01:00,1993-09-24 00:00:00+01:00,0,0,0,0.0,
15,1993-09-24 00:00:00+01:00,1993-10-01 00:00:00+01:00,0,0,0,0.0,
16,1993-10-01 00:00:00+01:00,1993-10-08 00:00:00+01:00,0,0,0,0.0,
17,1993-10-08 00:00:00+01:00,1993-10-15 00:00:00+01:00,0,0,0,0.0,
18,1993-10-15 00:00:00+01:00,1993-10-22 00:00:00+01:00,1,0,1,-8.545233703613281,0.0
19,1993-10-22 00:00:00+01:00,1993-10-29 00:00:00+01:00,0,0,0,0.0,
20,1993-10-29 00:00:00+01:00,1993-11-05 00:00:00+01:00,0,0,0,0.0,
21,1993-11-05 00:00:00+01:00,1993-11-12 00:00:00+01:00,1,1,0,18.501058959960936,100.0
22,1993-11-12 00:00:00+01:00,1993-11-19 00:00:00+01:00,0,0,0,0.0,
23,1993-11-19 00:00:00+01:00,1993-11-26 00:00:00+01:00,0,0,0,0.0,
24,1993-11-26 00:00:00+01:00,1993-12-03 00:00:00+01:00,0,0,0,0.0,
25,1993-12-03 00:00:00+01:00,1993-12-10 00:00:00+01:00,0,0,0,0.0,
26,1993-12-10 00:00:00+01:00,1993-12-17 00:00:00+01:00,0,0,0,0.0,
27,1993-12-17 00:00:00+01:00,1993-12-24 00:00:00+01:00,1,0,1,-7.860448547363282,0.0
28,1993-12-24 00:00:00+01:00,1993-12-31 00:00:00+01:00,0,0,0,0.0,
29,1993-12-31 00:00:00+01:00,1994-01-07 00:00:00+01:00,0,0,0,0.0,
30,1994-01-07 00:00:00+01:00,1994-01-14 00:00:00+01:00,1,0,0,0.0,0.0
31,1994-01-14 00:00:00+01:00,1994-01-21 00:00:00+01:00,0,0,0,0.0,
32,1994-01-21 00:00:00+01:00,1994-01-28 00:00:00+01:00,0,0,0,0.0,
33,1994-01-28 00:00:00+01:00,1994-02-04 00:00:00+01:00,0,0,0,0.0,
34,1994-02-04 00:00:00+01:00,1994-02-11 00:00:00+01:00,0,0,0,0.0,
35,1994-02-11 00:00:00+01:00,1994-02-18 00:00:00+01:00,0,0,0,0.0,
36,1994-02-18 00:00:00+01:00,1994-02-25 00:00:00+01:00,0,0,0,0.0,
37,1994-02-25 00:00:00+01:00,1994-03-04 00:00:00+01:00,0,0,0,0.0,
38,1994-03-04 00:00:00+01:00,1994-03-11 00:00:00+01:00,0,0,0,0.0,
39,1994-03-11 00:00:00+01:00,1994-03-18 00:00:00+01:00,0,0,0,0.0,
40,1994-03-18 00:00:00+01:00,1994-03-25 00:00:00+01:00,0,0,0,0.0,
41,1994-03-25 00:00:00+01:00,1994-04-01 00:00:00+01:00,0,0,0,0.0,
42,1994-04-01 00:00:00+01:00,1994-04-08 00:00:00+01:00,0,0,0,0.0,
43,1994-04-08 00:00:00+01:00,1994-04-15 00:00:00+01:00,0,0,0,0.0,
44,1994-04-15 00:00:00+01:00,1994-04-22 00:00:00+01:00,0,0,0,0.0,
45,1994-04-22 00:00:00+01:00,1994-04-29 00:00:00+01:00,0,0,0,0.0,
46,1994-04-29 00:00:00+01:00,1994-05-06 00:00:00+01:00,0,0,0,0.0,
47,1994-05-06 00:00:00+01:00,1994-05-13 00:00:00+01:00,0,0,0,0.0,
48,1994-05-13 00:00:00+01:00,1994-05-20 00:00:00+01:00,0,0,0,0.0,
49,1994-05-20 00:00:00+01:00,1994-05-27 00:00:00+01:00,0,0,0,0.0,
50,1994-05-27 00:00:00+01:00,1994-06-03 00:00:00+01:00,1,1,0,13.352802673339845,100.0
