Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,1995-01-31 00:00:00+00:00,1995-02-07 00:00:00+00:00,3,3,0,29.9026083984375,100.0
2,1995-02-07 00:00:00+00:00,1995-02-14 00:00:00+00:00,3,2,0,20.312563476562502,67.0
3,1995-02-14 00:00:00+00:00,1995-02-21 00:00:00+00:00,3,3,0,28.8442841796875,100.0
4,1995-02-21 00:00:00+00:00,1995-02-28 00:00:00+00:00,3,2,0,18.721778320312495,67.0
5,1995-02-28 00:00:00+00:00,1995-03-07 00:00:00+00:00,3,3,0,28.23285742187501,100.0
6,1995-03-07 00:00:00+00:00,1995-03-14 00:00:00+00:00,3,2,0,18.855559570312508,67.0
7,1995-03-14 00:00:00+00:00,1995-03-21 00:00:00+00:00,2,2,0,19.2892587890625,100.0
8,1995-03-21 00:00:00+00:00,1995-03-28 00:00:00+00:00,0,0,0,0.0,
9,1995-03-28 00:00:00+00:00,1995-04-04 00:00:00+00:00,0,0,0,0.0,
10,1995-04-04 00:00:00+00:00,1995-04-11 00:00:00+00:00,0,0,0,0.0,
11,1995-04-11 00:00:00+00:00,1995-04-18 00:00:00+00:00,0,0,0,0.0,
12,1995-04-18 00:00:00+00:00,1995-04-25 00:00:00+00:00,0,0,0,0.0,
13,1995-04-25 00:00:00+00:00,1995-05-02 00:00:00+00:00,0,0,0,0.0,
14,1995-05-02 00:00:00+00:00,1995-05-09 00:00:00+00:00,0,0,0,0.0,
15,1995-05-09 00:00:00+00:00,1995-05-16 00:00:00+00:00,1,0,1,-42.84410205078126,0.0
16,1995-05-16 00:00:00+00:00,1995-05-23 00:00:00+00:00,0,0,0,0.0,
17,1995-05-23 00:00:00+00:00,1995-05-30 00:00:00+00:00,0,0,0,0.0,
18,1995-05-30 00:00:00+00:00,1995-06-06 00:00:00+00:00,0,0,0,0.0,
19,1995-06-06 00:00:00+00:00,1995-06-13 00:00:00+00:00,1,0,1,-29.863654785156257,0.0
20,1995-06-13 00:00:00+00:00,1995-06-20 00:00:00+00:00,0,0,0,0.0,
21,1995-06-20 00:00:00+00:00,1995-06-27 00:00:00+00:00,0,0,0,0.0,
22,1995-06-27 00:00:00+00:00,1995-07-04 00:00:00+00:00,0,0,0,0.0,
23,1995-07-04 00:00:00+00:00,1995-07-11 00:00:00+00:00,0,0,0,0.0,
24,1995-07-11 00:00:00+00:00,1995-07-18 00:00:00+00:00,0,0,0,0.0,
