Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,1988-11-01 00:00:00+00:00,40.50845336914063,1988-11-10 00:00:00+00:00,41.53253173828125,-1.1881603393554616
short,1993-03-04 00:00:00+00:00,29.12965583801269,1993-03-19 00:00:00+00:00,30.72267532348633,-1.712724147796638
short,1993-08-03 00:00:00+01:00,35.56814956665039,1993-08-11 00:00:00+01:00,36.486026763916016,-1.0619855499267579
short,1993-09-10 00:00:00+01:00,37.86287307739258,1993-09-21 00:00:00+01:00,39.469200134277344,-1.7609912033081057
short,1995-07-11 00:00:00+01:00,46.6223030090332,1995-07-17 00:00:00+01:00,47.59865951538086,-1.164798431396484
short,1996-08-09 00:00:00+01:00,66.57011413574219,1996-08-16 00:00:00+01:00,67.90685272216797,-1.6056925201416021
short,1996-08-19 00:00:00+01:00,67.6395263671875,1996-08-21 00:00:00+01:00,69.51095581054688,-2.1457304077148436
short,1997-01-20 00:00:00+00:00,75.34949493408203,1997-01-22 00:00:00+00:00,77.94307708740234,-2.900167297363282
short,1997-10-02 00:00:00+01:00,75.11593627929688,1997-10-08 00:00:00+01:00,77.79862213134766,-2.988514968872071
short,1998-04-20 00:00:00+01:00,90.02264404296875,1998-04-23 00:00:00+01:00,92.1626205444336,-2.50434703063965
short,1998-04-24 00:00:00+01:00,91.1639404296875,1998-05-22 00:00:00+01:00,93.1612777709961,-2.365987777709961
short,1998-05-26 00:00:00+01:00,91.1639404296875,1998-06-02 00:00:00+01:00,94.58799743652344,-3.7955608825683598
short,1999-04-12 00:00:00+01:00,96.19286346435548,1999-04-14 00:00:00+01:00,98.88986206054688,-3.0871640472411954
short,2000-05-05 00:00:00+01:00,80.76564025878906,2000-05-10 00:00:00+01:00,75.60041809082031,4.85249005126953
short,2000-11-07 00:00:00+00:00,91.71580505371094,2000-11-17 00:00:00+00:00,95.26817321777344,-3.9263361206054697
short,2001-05-29 00:00:00+01:00,117.89596557617188,2001-05-31 00:00:00+01:00,83.23029327392578,34.263419784545896
short,2010-08-06 00:00:00+01:00,70.44549640813504,2010-08-11 00:00:00+01:00,65.03689623872678,5.137635384114535
short,2010-09-08 00:00:00+01:00,66.7729750184916,2010-09-09 00:00:00+01:00,68.51575007402414,-2.013352505717565
short,2010-12-13 00:00:00+00:00,57.6584682670628,2010-12-14 00:00:00+00:00,59.42795328834337,-2.0036578643913785
short,2011-03-30 00:00:00+01:00,74.58543386365872,2011-04-04 00:00:00+01:00,77.790540323629,-3.509858408344856
short,2011-07-06 00:00:00+01:00,76.92247936918245,2011-07-11 00:00:00+01:00,70.37873670953552,6.249140227489502
short,2011-11-21 00:00:00+00:00,63.43432813169555,2011-11-23 00:00:00+00:00,59.89536405874684,3.2923046885678247
short,2012-03-28 00:00:00+01:00,97.55536139096677,2012-03-29 00:00:00+01:00,92.01320010805306,5.163024159915672
short,2012-08-22 00:00:00+01:00,101.1610643005371,2012-09-03 00:00:00+01:00,106.50289207437746,-5.757155686590179
short,2012-10-09 00:00:00+01:00,117.32012597081132,2012-10-11 00:00:00+01:00,120.45844481741526,-3.613875988180391
short,2012-10-23 00:00:00+01:00,126.13415092721792,2012-11-01 00:00:00+00:00,129.3779913489118,-3.754864706246135
short,2012-12-05 00:00:00+00:00,130.60798135819613,2012-12-07 00:00:00+00:00,133.41243509537864,-3.332494570089662
short,2013-03-08 00:00:00+00:00,159.78772639364036,2013-03-20 00:00:00+00:00,174.89713372021978,-15.77877704680715
short,2013-04-04 00:00:00+01:00,180.15350164776515,2013-04-10 00:00:00+01:00,187.83240008379136,-8.414870239489314
short,2013-05-22 00:00:00+01:00,221.7531008528548,2013-06-03 00:00:00+01:00,209.299967017458,11.591027699656188
short,2013-08-08 00:00:00+01:00,235.0409217247596,2013-08-12 00:00:00+01:00,221.2856195936596,12.842649048463185
short,2013-09-20 00:00:00+01:00,218.01378291971443,2013-09-26 00:00:00+01:00,205.46048921061825,11.706345164835515
short,2013-11-28 00:00:00+00:00,221.8461354682825,2013-12-02 00:00:00+00:00,226.2857323590512,-5.335860626423351
short,2014-05-14 00:00:00+01:00,255.31496441988236,2014-05-15 00:00:00+01:00,241.06671986302263,13.255481188293919
short,2014-06-11 00:00:00+01:00,252.87246656072432,2014-06-13 00:00:00+01:00,233.53554960319596,18.364100925200518
short,2014-09-16 00:00:00+01:00,259.58944278588154,2014-09-17 00:00:00+01:00,268.20622563366874,-9.672374184626293
short,2014-09-22 00:00:00+01:00,269.02049851447686,2014-10-09 00:00:00+01:00,250.83697581793015,17.143807747881894
short,2014-10-23 00:00:00+01:00,274.9233234304088,2014-10-27 00:00:00+00:00,282.99733351922714,-9.189851402717615
short,2014-11-19 00:00:00+00:00,300.43025297495967,2014-11-20 00:00:00+00:00,306.5741577148437,-7.357913561263629
short,2014-12-08 00:00:00+00:00,319.276179244523,2014-12-12 00:00:00+00:00,301.60379530116035,16.430623994271293
short,2015-03-26 00:00:00+00:00,372.4313417690904,2015-04-10 00:00:00+01:00,385.6856298128603,-14.770521986933815
short,2015-06-15 00:00:00+01:00,413.7699882876589,2015-06-16 00:00:00+01:00,424.5670166015625,-12.473702323682026
short,2015-06-24 00:00:00+01:00,427.7016089654738,2015-06-25 00:00:00+01:00,443.0264223160282,-17.066269413117396
short,2015-08-11 00:00:00+01:00,443.3746838321053,2015-08-14 00:00:00+01:00,455.91319027209903,-14.337082188202148
short,2015-08-18 00:00:00+01:00,443.72296652793887,2015-08-24 00:00:00+01:00,401.23145855402544,40.8015991237495
short,2015-09-15 00:00:00+01:00,456.9581240167335,2015-09-28 00:00:00+01:00,469.1482471812855,-14.042335906948043
