Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,1997-08-19 00:00:00+01:00,1997-08-26 00:00:00+01:00,0,0,0,0.0,
2,1997-08-26 00:00:00+01:00,1997-09-02 00:00:00+01:00,0,0,0,0.0,
3,1997-09-02 00:00:00+01:00,1997-09-09 00:00:00+01:00,0,0,0,0.0,
4,1997-09-09 00:00:00+01:00,1997-09-16 00:00:00+01:00,1,0,1,-2.016101946352529,0.0
5,1997-09-16 00:00:00+01:00,1997-09-23 00:00:00+01:00,0,0,0,0.0,
6,1997-09-23 00:00:00+01:00,1997-09-30 00:00:00+01:00,0,0,0,0.0,
7,1997-09-30 00:00:00+01:00,1997-10-07 00:00:00+01:00,0,0,0,0.0,
8,1997-10-07 00:00:00+01:00,1997-10-14 00:00:00+01:00,0,0,0,0.0,
9,1997-10-14 00:00:00+01:00,1997-10-21 00:00:00+01:00,0,0,0,0.0,
10,1997-10-21 00:00:00+01:00,1997-10-28 00:00:00+01:00,0,0,0,0.0,
11,1997-10-28 00:00:00+01:00,1997-11-04 00:00:00+01:00,0,0,0,0.0,
12,1997-11-04 00:00:00+01:00,1997-11-11 00:00:00+01:00,0,0,0,0.0,
13,1997-11-11 00:00:00+01:00,1997-11-18 00:00:00+01:00,0,0,0,0.0,
14,1997-11-18 00:00:00+01:00,1997-11-25 00:00:00+01:00,0,0,0,0.0,
15,1997-11-25 00:00:00+01:00,1997-12-02 00:00:00+01:00,0,0,0,0.0,
16,1997-12-02 00:00:00+01:00,1997-12-09 00:00:00+01:00,0,0,0,0.0,
17,1997-12-09 00:00:00+01:00,1997-12-16 00:00:00+01:00,0,0,0,0.0,
18,1997-12-16 00:00:00+01:00,1997-12-23 00:00:00+01:00,0,0,0,0.0,
19,1997-12-23 00:00:00+01:00,1997-12-30 00:00:00+01:00,0,0,0,0.0,
20,1997-12-30 00:00:00+01:00,1998-01-06 00:00:00+01:00,0,0,0,0.0,
21,1998-01-06 00:00:00+01:00,1998-01-13 00:00:00+01:00,0,0,0,0.0,
22,1998-01-13 00:00:00+01:00,1998-01-20 00:00:00+01:00,0,0,0,0.0,
23,1998-01-20 00:00:00+01:00,1998-01-27 00:00:00+01:00,0,0,0,0.0,
24,1998-01-27 00:00:00+01:00,1998-02-03 00:00:00+01:00,0,0,0,0.0,
25,1998-02-03 00:00:00+01:00,1998-02-10 00:00:00+01:00,0,0,0,0.0,
26,1998-02-10 00:00:00+01:00,1998-02-17 00:00:00+01:00,0,0,0,0.0,
27,1998-02-17 00:00:00+01:00,1998-02-24 00:00:00+01:00,0,0,0,0.0,
28,1998-02-24 00:00:00+01:00,1998-03-03 00:00:00+01:00,0,0,0,0.0,
29,1998-03-03 00:00:00+01:00,1998-03-10 00:00:00+01:00,0,0,0,0.0,
30,1998-03-10 00:00:00+01:00,1998-03-17 00:00:00+01:00,0,0,0,0.0,
31,1998-03-17 00:00:00+01:00,1998-03-24 00:00:00+01:00,0,0,0,0.0,
32,1998-03-24 00:00:00+01:00,1998-03-31 00:00:00+01:00,0,0,0,0.0,
