Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2013-05-29 00:00:00+01:00,2013-06-05 00:00:00+01:00,0,0,0,0.0,
2,2013-06-05 00:00:00+01:00,2013-06-12 00:00:00+01:00,0,0,0,0.0,
3,2013-06-12 00:00:00+01:00,2013-06-19 00:00:00+01:00,0,0,0,0.0,
4,2013-06-19 00:00:00+01:00,2013-06-26 00:00:00+01:00,0,0,0,0.0,
5,2013-06-26 00:00:00+01:00,2013-07-03 00:00:00+01:00,0,0,0,0.0,
6,2013-07-03 00:00:00+01:00,2013-07-10 00:00:00+01:00,0,0,0,0.0,
7,2013-07-10 00:00:00+01:00,2013-07-17 00:00:00+01:00,0,0,0,0.0,
8,2013-07-17 00:00:00+01:00,2013-07-24 00:00:00+01:00,0,0,0,0.0,
9,2013-07-24 00:00:00+01:00,2013-07-31 00:00:00+01:00,0,0,0,0.0,
10,2013-07-31 00:00:00+01:00,2013-08-07 00:00:00+01:00,0,0,0,0.0,
11,2013-08-07 00:00:00+01:00,2013-08-14 00:00:00+01:00,0,0,0,0.0,
12,2013-08-14 00:00:00+01:00,2013-08-21 00:00:00+01:00,0,0,0,0.0,
13,2013-08-21 00:00:00+01:00,2013-08-28 00:00:00+01:00,0,0,0,0.0,
14,2013-08-28 00:00:00+01:00,2013-09-04 00:00:00+01:00,0,0,0,0.0,
15,2013-09-04 00:00:00+01:00,2013-09-11 00:00:00+01:00,0,0,0,0.0,
16,2013-09-11 00:00:00+01:00,2013-09-18 00:00:00+01:00,0,0,0,0.0,
17,2013-09-18 00:00:00+01:00,2013-09-25 00:00:00+01:00,0,0,0,0.0,
18,2013-09-25 00:00:00+01:00,2013-10-02 00:00:00+01:00,0,0,0,0.0,
19,2013-10-02 00:00:00+01:00,2013-10-09 00:00:00+01:00,0,0,0,0.0,
20,2013-10-09 00:00:00+01:00,2013-10-16 00:00:00+01:00,0,0,0,0.0,
21,2013-10-16 00:00:00+01:00,2013-10-23 00:00:00+01:00,0,0,0,0.0,
22,2013-10-23 00:00:00+01:00,2013-10-30 00:00:00+01:00,0,0,0,0.0,
23,2013-10-30 00:00:00+01:00,2013-11-06 00:00:00+01:00,1,0,1,-33.29556213556947,0.0
24,2013-11-06 00:00:00+01:00,2013-11-13 00:00:00+01:00,0,0,0,0.0,
25,2013-11-13 00:00:00+01:00,2013-11-20 00:00:00+01:00,0,0,0,0.0,
26,2013-11-20 00:00:00+01:00,2013-11-27 00:00:00+01:00,0,0,0,0.0,
27,2013-11-27 00:00:00+01:00,2013-12-04 00:00:00+01:00,0,0,0,0.0,
28,2013-12-04 00:00:00+01:00,2013-12-11 00:00:00+01:00,0,0,0,0.0,
29,2013-12-11 00:00:00+01:00,2013-12-18 00:00:00+01:00,1,1,0,76.25783024529679,100.0
30,2013-12-18 00:00:00+01:00,2013-12-25 00:00:00+01:00,0,0,0,0.0,
31,2013-12-25 00:00:00+01:00,2014-01-01 00:00:00+01:00,0,0,0,0.0,
32,2014-01-01 00:00:00+01:00,2014-01-08 00:00:00+01:00,1,0,1,-36.12425004078324,0.0
33,2014-01-08 00:00:00+01:00,2014-01-15 00:00:00+01:00,0,0,0,0.0,
34,2014-01-15 00:00:00+01:00,2014-01-22 00:00:00+01:00,0,0,0,0.0,
35,2014-01-22 00:00:00+01:00,2014-01-29 00:00:00+01:00,0,0,0,0.0,
36,2014-01-29 00:00:00+01:00,2014-02-05 00:00:00+01:00,0,0,0,0.0,
37,2014-02-05 00:00:00+01:00,2014-02-12 00:00:00+01:00,0,0,0,0.0,
38,2014-02-12 00:00:00+01:00,2014-02-19 00:00:00+01:00,0,0,0,0.0,
39,2014-02-19 00:00:00+01:00,2014-02-26 00:00:00+01:00,0,0,0,0.0,
40,2014-02-26 00:00:00+01:00,2014-03-05 00:00:00+01:00,0,0,0,0.0,
41,2014-03-05 00:00:00+01:00,2014-03-12 00:00:00+01:00,0,0,0,0.0,
42,2014-03-12 00:00:00+01:00,2014-03-19 00:00:00+01:00,0,0,0,0.0,
43,2014-03-19 00:00:00+01:00,2014-03-26 00:00:00+01:00,0,0,0,0.0,
44,2014-03-26 00:00:00+01:00,2014-04-02 00:00:00+01:00,0,0,0,0.0,
45,2014-04-02 00:00:00+01:00,2014-04-09 00:00:00+01:00,0,0,0,0.0,
46,2014-04-09 00:00:00+01:00,2014-04-16 00:00:00+01:00,0,0,0,0.0,
47,2014-04-16 00:00:00+01:00,2014-04-23 00:00:00+01:00,0,0,0,0.0,
48,2014-04-23 00:00:00+01:00,2014-04-30 00:00:00+01:00,1,0,1,-31.601404008664247,0.0
49,2014-04-30 00:00:00+01:00,2014-05-07 00:00:00+01:00,0,0,0,0.0,
50,2014-05-07 00:00:00+01:00,2014-05-14 00:00:00+01:00,0,0,0,0.0,
51,2014-05-14 00:00:00+01:00,2014-05-21 00:00:00+01:00,0,0,0,0.0,
52,2014-05-21 00:00:00+01:00,2014-05-28 00:00:00+01:00,0,0,0,0.0,
53,2014-05-28 00:00:00+01:00,2014-06-04 00:00:00+01:00,0,0,0,0.0,
54,2014-06-04 00:00:00+01:00,2014-06-11 00:00:00+01:00,0,0,0,0.0,
55,2014-06-11 00:00:00+01:00,2014-06-18 00:00:00+01:00,0,0,0,0.0,
56,2014-06-18 00:00:00+01:00,2014-06-25 00:00:00+01:00,0,0,0,0.0,
57,2014-06-25 00:00:00+01:00,2014-07-02 00:00:00+01:00,0,0,0,0.0,
58,2014-07-02 00:00:00+01:00,2014-07-09 00:00:00+01:00,1,1,0,50.165794393190744,100.0
59,2014-07-09 00:00:00+01:00,2014-07-16 00:00:00+01:00,0,0,0,0.0,
60,2014-07-16 00:00:00+01:00,2014-07-23 00:00:00+01:00,0,0,0,0.0,
61,2014-07-23 00:00:00+01:00,2014-07-30 00:00:00+01:00,1,0,1,-31.411691329814776,0.0
62,2014-07-30 00:00:00+01:00,2014-08-06 00:00:00+01:00,0,0,0,0.0,
63,2014-08-06 00:00:00+01:00,2014-08-13 00:00:00+01:00,0,0,0,0.0,
64,2014-08-13 00:00:00+01:00,2014-08-20 00:00:00+01:00,0,0,0,0.0,
65,2014-08-20 00:00:00+01:00,2014-08-27 00:00:00+01:00,0,0,0,0.0,
66,2014-08-27 00:00:00+01:00,2014-09-03 00:00:00+01:00,0,0,0,0.0,
67,2014-09-03 00:00:00+01:00,2014-09-10 00:00:00+01:00,0,0,0,0.0,
68,2014-09-10 00:00:00+01:00,2014-09-17 00:00:00+01:00,0,0,0,0.0,
69,2014-09-17 00:00:00+01:00,2014-09-24 00:00:00+01:00,1,1,0,51.45095691121402,100.0
70,2014-09-24 00:00:00+01:00,2014-10-01 00:00:00+01:00,0,0,0,0.0,
71,2014-10-01 00:00:00+01:00,2014-10-08 00:00:00+01:00,0,0,0,0.0,
72,2014-10-08 00:00:00+01:00,2014-10-15 00:00:00+01:00,0,0,0,0.0,
73,2014-10-15 00:00:00+01:00,2014-10-22 00:00:00+01:00,0,0,0,0.0,
74,2014-10-22 00:00:00+01:00,2014-10-29 00:00:00+01:00,0,0,0,0.0,
75,2014-10-29 00:00:00+01:00,2014-11-05 00:00:00+01:00,0,0,0,0.0,
76,2014-11-05 00:00:00+01:00,2014-11-12 00:00:00+01:00,1,0,0,0.0,0.0
