Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2000-11-20 00:00:00+00:00,2000-11-27 00:00:00+00:00,0,0,0,0.0,
2,2000-11-27 00:00:00+00:00,2000-12-04 00:00:00+00:00,0,0,0,0.0,
3,2000-12-04 00:00:00+00:00,2000-12-11 00:00:00+00:00,0,0,0,0.0,
4,2000-12-11 00:00:00+00:00,2000-12-18 00:00:00+00:00,0,0,0,0.0,
5,2000-12-18 00:00:00+00:00,2000-12-25 00:00:00+00:00,0,0,0,0.0,
6,2000-12-25 00:00:00+00:00,2001-01-01 00:00:00+00:00,0,0,0,0.0,
7,2001-01-01 00:00:00+00:00,2001-01-08 00:00:00+00:00,0,0,0,0.0,
8,2001-01-08 00:00:00+00:00,2001-01-15 00:00:00+00:00,0,0,0,0.0,
9,2001-01-15 00:00:00+00:00,2001-01-22 00:00:00+00:00,0,0,0,0.0,
10,2001-01-22 00:00:00+00:00,2001-01-29 00:00:00+00:00,0,0,0,0.0,
11,2001-01-29 00:00:00+00:00,2001-02-05 00:00:00+00:00,0,0,0,0.0,
12,2001-02-05 00:00:00+00:00,2001-02-12 00:00:00+00:00,0,0,0,0.0,
13,2001-02-12 00:00:00+00:00,2001-02-19 00:00:00+00:00,1,1,0,52.410669189453124,100.0
14,2001-02-19 00:00:00+00:00,2001-02-26 00:00:00+00:00,0,0,0,0.0,
15,2001-02-26 00:00:00+00:00,2001-03-05 00:00:00+00:00,0,0,0,0.0,
16,2001-03-05 00:00:00+00:00,2001-03-12 00:00:00+00:00,0,0,0,0.0,
17,2001-03-12 00:00:00+00:00,2001-03-19 00:00:00+00:00,0,0,0,0.0,
18,2001-03-19 00:00:00+00:00,2001-03-26 00:00:00+00:00,0,0,0,0.0,
19,2001-03-26 00:00:00+00:00,2001-04-02 00:00:00+00:00,0,0,0,0.0,
20,2001-04-02 00:00:00+00:00,2001-04-09 00:00:00+00:00,0,0,0,0.0,
21,2001-04-09 00:00:00+00:00,2001-04-16 00:00:00+00:00,0,0,0,0.0,
22,2001-04-16 00:00:00+00:00,2001-04-23 00:00:00+00:00,0,0,0,0.0,
23,2001-04-23 00:00:00+00:00,2001-04-30 00:00:00+00:00,0,0,0,0.0,
24,2001-04-30 00:00:00+00:00,2001-05-07 00:00:00+00:00,0,0,0,0.0,
25,2001-05-07 00:00:00+00:00,2001-05-14 00:00:00+00:00,0,0,0,0.0,
26,2001-05-14 00:00:00+00:00,2001-05-21 00:00:00+00:00,0,0,0,0.0,
27,2001-05-21 00:00:00+00:00,2001-05-28 00:00:00+00:00,0,0,0,0.0,
28,2001-05-28 00:00:00+00:00,2001-06-04 00:00:00+00:00,0,0,0,0.0,
