Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,1993-10-06 00:00:00+01:00,1993-10-13 00:00:00+01:00,0,0,0,0.0,
2,1993-10-13 00:00:00+01:00,1993-10-20 00:00:00+01:00,0,0,0,0.0,
3,1993-10-20 00:00:00+01:00,1993-10-27 00:00:00+01:00,0,0,0,0.0,
4,1993-10-27 00:00:00+01:00,1993-11-03 00:00:00+01:00,0,0,0,0.0,
5,1993-11-03 00:00:00+01:00,1993-11-10 00:00:00+01:00,0,0,0,0.0,
6,1993-11-10 00:00:00+01:00,1993-11-17 00:00:00+01:00,0,0,0,0.0,
7,1993-11-17 00:00:00+01:00,1993-11-24 00:00:00+01:00,0,0,0,0.0,
8,1993-11-24 00:00:00+01:00,1993-12-01 00:00:00+01:00,0,0,0,0.0,
9,1993-12-01 00:00:00+01:00,1993-12-08 00:00:00+01:00,0,0,0,0.0,
10,1993-12-08 00:00:00+01:00,1993-12-15 00:00:00+01:00,0,0,0,0.0,
11,1993-12-15 00:00:00+01:00,1993-12-22 00:00:00+01:00,0,0,0,0.0,
12,1993-12-22 00:00:00+01:00,1993-12-29 00:00:00+01:00,0,0,0,0.0,
13,1993-12-29 00:00:00+01:00,1994-01-05 00:00:00+01:00,0,0,0,0.0,
14,1994-01-05 00:00:00+01:00,1994-01-12 00:00:00+01:00,0,0,0,0.0,
15,1994-01-12 00:00:00+01:00,1994-01-19 00:00:00+01:00,0,0,0,0.0,
16,1994-01-19 00:00:00+01:00,1994-01-26 00:00:00+01:00,0,0,0,0.0,
17,1994-01-26 00:00:00+01:00,1994-02-02 00:00:00+01:00,0,0,0,0.0,
18,1994-02-02 00:00:00+01:00,1994-02-09 00:00:00+01:00,0,0,0,0.0,
19,1994-02-09 00:00:00+01:00,1994-02-16 00:00:00+01:00,0,0,0,0.0,
20,1994-02-16 00:00:00+01:00,1994-02-23 00:00:00+01:00,0,0,0,0.0,
21,1994-02-23 00:00:00+01:00,1994-03-02 00:00:00+01:00,0,0,0,0.0,
22,1994-03-02 00:00:00+01:00,1994-03-09 00:00:00+01:00,0,0,0,0.0,
23,1994-03-09 00:00:00+01:00,1994-03-16 00:00:00+01:00,0,0,0,0.0,
24,1994-03-16 00:00:00+01:00,1994-03-23 00:00:00+01:00,0,0,0,0.0,
25,1994-03-23 00:00:00+01:00,1994-03-30 00:00:00+01:00,0,0,0,0.0,
26,1994-03-30 00:00:00+01:00,1994-04-06 00:00:00+01:00,0,0,0,0.0,
27,1994-04-06 00:00:00+01:00,1994-04-13 00:00:00+01:00,0,0,0,0.0,
28,1994-04-13 00:00:00+01:00,1994-04-20 00:00:00+01:00,0,0,0,0.0,
29,1994-04-20 00:00:00+01:00,1994-04-27 00:00:00+01:00,0,0,0,0.0,
30,1994-04-27 00:00:00+01:00,1994-05-04 00:00:00+01:00,0,0,0,0.0,
31,1994-05-04 00:00:00+01:00,1994-05-11 00:00:00+01:00,0,0,0,0.0,
32,1994-05-11 00:00:00+01:00,1994-05-18 00:00:00+01:00,0,0,0,0.0,
33,1994-05-18 00:00:00+01:00,1994-05-25 00:00:00+01:00,0,0,0,0.0,
34,1994-05-25 00:00:00+01:00,1994-06-01 00:00:00+01:00,0,0,0,0.0,
35,1994-06-01 00:00:00+01:00,1994-06-08 00:00:00+01:00,0,0,0,0.0,
36,1994-06-08 00:00:00+01:00,1994-06-15 00:00:00+01:00,0,0,0,0.0,
37,1994-06-15 00:00:00+01:00,1994-06-22 00:00:00+01:00,0,0,0,0.0,
38,1994-06-22 00:00:00+01:00,1994-06-29 00:00:00+01:00,0,0,0,0.0,
39,1994-06-29 00:00:00+01:00,1994-07-06 00:00:00+01:00,0,0,0,0.0,
40,1994-07-06 00:00:00+01:00,1994-07-13 00:00:00+01:00,0,0,0,0.0,
41,1994-07-13 00:00:00+01:00,1994-07-20 00:00:00+01:00,0,0,0,0.0,
42,1994-07-20 00:00:00+01:00,1994-07-27 00:00:00+01:00,0,0,0,0.0,
43,1994-07-27 00:00:00+01:00,1994-08-03 00:00:00+01:00,0,0,0,0.0,
44,1994-08-03 00:00:00+01:00,1994-08-10 00:00:00+01:00,0,0,0,0.0,
45,1994-08-10 00:00:00+01:00,1994-08-17 00:00:00+01:00,0,0,0,0.0,
46,1994-08-17 00:00:00+01:00,1994-08-24 00:00:00+01:00,0,0,0,0.0,
