Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2000-02-01 00:00:00+00:00,2000-02-08 00:00:00+00:00,0,0,0,0.0,
2,2000-02-08 00:00:00+00:00,2000-02-15 00:00:00+00:00,0,0,0,0.0,
3,2000-02-15 00:00:00+00:00,2000-02-22 00:00:00+00:00,0,0,0,0.0,
4,2000-02-22 00:00:00+00:00,2000-02-29 00:00:00+00:00,0,0,0,0.0,
5,2000-02-29 00:00:00+00:00,2000-03-07 00:00:00+00:00,0,0,0,0.0,
6,2000-03-07 00:00:00+00:00,2000-03-14 00:00:00+00:00,0,0,0,0.0,
7,2000-03-14 00:00:00+00:00,2000-03-21 00:00:00+00:00,0,0,0,0.0,
8,2000-03-21 00:00:00+00:00,2000-03-28 00:00:00+00:00,0,0,0,0.0,
9,2000-03-28 00:00:00+00:00,2000-04-04 00:00:00+00:00,0,0,0,0.0,
10,2000-04-04 00:00:00+00:00,2000-04-11 00:00:00+00:00,0,0,0,0.0,
11,2000-04-11 00:00:00+00:00,2000-04-18 00:00:00+00:00,0,0,0,0.0,
12,2000-04-18 00:00:00+00:00,2000-04-25 00:00:00+00:00,0,0,0,0.0,
13,2000-04-25 00:00:00+00:00,2000-05-02 00:00:00+00:00,0,0,0,0.0,
14,2000-05-02 00:00:00+00:00,2000-05-09 00:00:00+00:00,0,0,0,0.0,
15,2000-05-09 00:00:00+00:00,2000-05-16 00:00:00+00:00,0,0,0,0.0,
16,2000-05-16 00:00:00+00:00,2000-05-23 00:00:00+00:00,0,0,0,0.0,
17,2000-05-23 00:00:00+00:00,2000-05-30 00:00:00+00:00,0,0,0,0.0,
18,2000-05-30 00:00:00+00:00,2000-06-06 00:00:00+00:00,0,0,0,0.0,
19,2000-06-06 00:00:00+00:00,2000-06-13 00:00:00+00:00,0,0,0,0.0,
20,2000-06-13 00:00:00+00:00,2000-06-20 00:00:00+00:00,0,0,0,0.0,
21,2000-06-20 00:00:00+00:00,2000-06-27 00:00:00+00:00,0,0,0,0.0,
22,2000-06-27 00:00:00+00:00,2000-07-04 00:00:00+00:00,0,0,0,0.0,
23,2000-07-04 00:00:00+00:00,2000-07-11 00:00:00+00:00,0,0,0,0.0,
24,2000-07-11 00:00:00+00:00,2000-07-18 00:00:00+00:00,0,0,0,0.0,
25,2000-07-18 00:00:00+00:00,2000-07-25 00:00:00+00:00,0,0,0,0.0,
26,2000-07-25 00:00:00+00:00,2000-08-01 00:00:00+00:00,0,0,0,0.0,
27,2000-08-01 00:00:00+00:00,2000-08-08 00:00:00+00:00,0,0,0,0.0,
28,2000-08-08 00:00:00+00:00,2000-08-15 00:00:00+00:00,0,0,0,0.0,
29,2000-08-15 00:00:00+00:00,2000-08-22 00:00:00+00:00,0,0,0,0.0,
30,2000-08-22 00:00:00+00:00,2000-08-29 00:00:00+00:00,0,0,0,0.0,
31,2000-08-29 00:00:00+00:00,2000-09-05 00:00:00+00:00,0,0,0,0.0,
32,2000-09-05 00:00:00+00:00,2000-09-12 00:00:00+00:00,0,0,0,0.0,
33,2000-09-12 00:00:00+00:00,2000-09-19 00:00:00+00:00,0,0,0,0.0,
34,2000-09-19 00:00:00+00:00,2000-09-26 00:00:00+00:00,0,0,0,0.0,
35,2000-09-26 00:00:00+00:00,2000-10-03 00:00:00+00:00,0,0,0,0.0,
36,2000-10-03 00:00:00+00:00,2000-10-10 00:00:00+00:00,0,0,0,0.0,
37,2000-10-10 00:00:00+00:00,2000-10-17 00:00:00+00:00,0,0,0,0.0,
38,2000-10-17 00:00:00+00:00,2000-10-24 00:00:00+00:00,0,0,0,0.0,
39,2000-10-24 00:00:00+00:00,2000-10-31 00:00:00+00:00,0,0,0,0.0,
40,2000-10-31 00:00:00+00:00,2000-11-07 00:00:00+00:00,0,0,0,0.0,
41,2000-11-07 00:00:00+00:00,2000-11-14 00:00:00+00:00,0,0,0,0.0,
42,2000-11-14 00:00:00+00:00,2000-11-21 00:00:00+00:00,0,0,0,0.0,
43,2000-11-21 00:00:00+00:00,2000-11-28 00:00:00+00:00,0,0,0,0.0,
44,2000-11-28 00:00:00+00:00,2000-12-05 00:00:00+00:00,0,0,0,0.0,
45,2000-12-05 00:00:00+00:00,2000-12-12 00:00:00+00:00,0,0,0,0.0,
46,2000-12-12 00:00:00+00:00,2000-12-19 00:00:00+00:00,0,0,0,0.0,
47,2000-12-19 00:00:00+00:00,2000-12-26 00:00:00+00:00,0,0,0,0.0,
48,2000-12-26 00:00:00+00:00,2001-01-02 00:00:00+00:00,0,0,0,0.0,
49,2001-01-02 00:00:00+00:00,2001-01-09 00:00:00+00:00,0,0,0,0.0,
50,2001-01-09 00:00:00+00:00,2001-01-16 00:00:00+00:00,1,0,1,-24.842277968576244,0.0
51,2001-01-16 00:00:00+00:00,2001-01-23 00:00:00+00:00,0,0,0,0.0,
52,2001-01-23 00:00:00+00:00,2001-01-30 00:00:00+00:00,0,0,0,0.0,
53,2001-01-30 00:00:00+00:00,2001-02-06 00:00:00+00:00,0,0,0,0.0,
54,2001-02-06 00:00:00+00:00,2001-02-13 00:00:00+00:00,0,0,0,0.0,
55,2001-02-13 00:00:00+00:00,2001-02-20 00:00:00+00:00,0,0,0,0.0,
56,2001-02-20 00:00:00+00:00,2001-02-27 00:00:00+00:00,0,0,0,0.0,
57,2001-02-27 00:00:00+00:00,2001-03-06 00:00:00+00:00,0,0,0,0.0,
58,2001-03-06 00:00:00+00:00,2001-03-13 00:00:00+00:00,0,0,0,0.0,
59,2001-03-13 00:00:00+00:00,2001-03-20 00:00:00+00:00,0,0,0,0.0,
60,2001-03-20 00:00:00+00:00,2001-03-27 00:00:00+00:00,0,0,0,0.0,
61,2001-03-27 00:00:00+00:00,2001-04-03 00:00:00+00:00,0,0,0,0.0,
62,2001-04-03 00:00:00+00:00,2001-04-10 00:00:00+00:00,0,0,0,0.0,
63,2001-04-10 00:00:00+00:00,2001-04-17 00:00:00+00:00,0,0,0,0.0,
64,2001-04-17 00:00:00+00:00,2001-04-24 00:00:00+00:00,0,0,0,0.0,
65,2001-04-24 00:00:00+00:00,2001-05-01 00:00:00+00:00,0,0,0,0.0,
66,2001-05-01 00:00:00+00:00,2001-05-08 00:00:00+00:00,0,0,0,0.0,
