Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2006-11-06 00:00:00+00:00,2006-11-13 00:00:00+00:00,0,0,0,0.0,
2,2006-11-13 00:00:00+00:00,2006-11-20 00:00:00+00:00,0,0,0,0.0,
3,2006-11-20 00:00:00+00:00,2006-11-27 00:00:00+00:00,1,0,1,-16.044383366752193,0.0
4,2006-11-27 00:00:00+00:00,2006-12-04 00:00:00+00:00,0,0,0,0.0,
5,2006-12-04 00:00:00+00:00,2006-12-11 00:00:00+00:00,0,0,0,0.0,
6,2006-12-11 00:00:00+00:00,2006-12-18 00:00:00+00:00,0,0,0,0.0,
7,2006-12-18 00:00:00+00:00,2006-12-25 00:00:00+00:00,0,0,0,0.0,
8,2006-12-25 00:00:00+00:00,2007-01-01 00:00:00+00:00,1,0,0,0.0,0.0
9,2007-01-01 00:00:00+00:00,2007-01-08 00:00:00+00:00,0,0,0,0.0,
10,2007-01-08 00:00:00+00:00,2007-01-15 00:00:00+00:00,1,0,1,-11.268074587376095,0.0
11,2007-01-15 00:00:00+00:00,2007-01-22 00:00:00+00:00,1,0,0,0.0,0.0
12,2007-01-22 00:00:00+00:00,2007-01-29 00:00:00+00:00,0,0,0,0.0,
13,2007-01-29 00:00:00+00:00,2007-02-05 00:00:00+00:00,1,0,1,-14.578716017822053,0.0
14,2007-02-05 00:00:00+00:00,2007-02-12 00:00:00+00:00,0,0,0,0.0,
15,2007-02-12 00:00:00+00:00,2007-02-19 00:00:00+00:00,1,0,1,-10.583563933221662,0.0
16,2007-02-19 00:00:00+00:00,2007-02-26 00:00:00+00:00,0,0,0,0.0,
17,2007-02-26 00:00:00+00:00,2007-03-05 00:00:00+00:00,1,0,1,-12.420120169374577,0.0
18,2007-03-05 00:00:00+00:00,2007-03-12 00:00:00+00:00,0,0,0,0.0,
19,2007-03-12 00:00:00+00:00,2007-03-19 00:00:00+00:00,0,0,0,0.0,
20,2007-03-19 00:00:00+00:00,2007-03-26 00:00:00+00:00,0,0,0,0.0,
21,2007-03-26 00:00:00+00:00,2007-04-02 00:00:00+00:00,1,0,1,-17.16839201727649,0.0
22,2007-04-02 00:00:00+00:00,2007-04-09 00:00:00+00:00,0,0,0,0.0,
23,2007-04-09 00:00:00+00:00,2007-04-16 00:00:00+00:00,0,0,0,0.0,
24,2007-04-16 00:00:00+00:00,2007-04-23 00:00:00+00:00,0,0,0,0.0,
25,2007-04-23 00:00:00+00:00,2007-04-30 00:00:00+00:00,1,1,0,24.7151807745513,100.0
26,2007-04-30 00:00:00+00:00,2007-05-07 00:00:00+00:00,0,0,0,0.0,
27,2007-05-07 00:00:00+00:00,2007-05-14 00:00:00+00:00,0,0,0,0.0,
28,2007-05-14 00:00:00+00:00,2007-05-21 00:00:00+00:00,0,0,0,0.0,
29,2007-05-21 00:00:00+00:00,2007-05-28 00:00:00+00:00,1,0,1,-18.295465964297136,0.0
30,2007-05-28 00:00:00+00:00,2007-06-04 00:00:00+00:00,0,0,0,0.0,
31,2007-06-04 00:00:00+00:00,2007-06-11 00:00:00+00:00,0,0,0,0.0,
32,2007-06-11 00:00:00+00:00,2007-06-18 00:00:00+00:00,0,0,0,0.0,
33,2007-06-18 00:00:00+00:00,2007-06-25 00:00:00+00:00,0,0,0,0.0,
34,2007-06-25 00:00:00+00:00,2007-07-02 00:00:00+00:00,0,0,0,0.0,
35,2007-07-02 00:00:00+00:00,2007-07-09 00:00:00+00:00,0,0,0,0.0,
36,2007-07-09 00:00:00+00:00,2007-07-16 00:00:00+00:00,0,0,0,0.0,
37,2007-07-16 00:00:00+00:00,2007-07-23 00:00:00+00:00,0,0,0,0.0,
38,2007-07-23 00:00:00+00:00,2007-07-30 00:00:00+00:00,0,0,0,0.0,
39,2007-07-30 00:00:00+00:00,2007-08-06 00:00:00+00:00,0,0,0,0.0,
40,2007-08-06 00:00:00+00:00,2007-08-13 00:00:00+00:00,0,0,0,0.0,
41,2007-08-13 00:00:00+00:00,2007-08-20 00:00:00+00:00,0,0,0,0.0,
42,2007-08-20 00:00:00+00:00,2007-08-27 00:00:00+00:00,0,0,0,0.0,
43,2007-08-27 00:00:00+00:00,2007-09-03 00:00:00+00:00,0,0,0,0.0,
44,2007-09-03 00:00:00+00:00,2007-09-10 00:00:00+00:00,0,0,0,0.0,
45,2007-09-10 00:00:00+00:00,2007-09-17 00:00:00+00:00,0,0,0,0.0,
46,2007-09-17 00:00:00+00:00,2007-09-24 00:00:00+00:00,0,0,0,0.0,
47,2007-09-24 00:00:00+00:00,2007-10-01 00:00:00+00:00,0,0,0,0.0,
48,2007-10-01 00:00:00+00:00,2007-10-08 00:00:00+00:00,1,0,1,-12.836345074023782,0.0
49,2007-10-08 00:00:00+00:00,2007-10-15 00:00:00+00:00,1,1,0,22.054391905227433,100.0
50,2007-10-15 00:00:00+00:00,2007-10-22 00:00:00+00:00,0,0,0,0.0,
51,2007-10-22 00:00:00+00:00,2007-10-29 00:00:00+00:00,0,0,0,0.0,
52,2007-10-29 00:00:00+00:00,2007-11-05 00:00:00+00:00,0,0,0,0.0,
53,2007-11-05 00:00:00+00:00,2007-11-12 00:00:00+00:00,0,0,0,0.0,
54,2007-11-12 00:00:00+00:00,2007-11-19 00:00:00+00:00,0,0,0,0.0,
55,2007-11-19 00:00:00+00:00,2007-11-26 00:00:00+00:00,0,0,0,0.0,
56,2007-11-26 00:00:00+00:00,2007-12-03 00:00:00+00:00,0,0,0,0.0,
57,2007-12-03 00:00:00+00:00,2007-12-10 00:00:00+00:00,0,0,0,0.0,
58,2007-12-10 00:00:00+00:00,2007-12-17 00:00:00+00:00,0,0,0,0.0,
59,2007-12-17 00:00:00+00:00,2007-12-24 00:00:00+00:00,0,0,0,0.0,
60,2007-12-24 00:00:00+00:00,2007-12-31 00:00:00+00:00,0,0,0,0.0,
61,2007-12-31 00:00:00+00:00,2008-01-07 00:00:00+00:00,0,0,0,0.0,
62,2008-01-07 00:00:00+00:00,2008-01-14 00:00:00+00:00,0,0,0,0.0,
63,2008-01-14 00:00:00+00:00,2008-01-21 00:00:00+00:00,0,0,0,0.0,
64,2008-01-21 00:00:00+00:00,2008-01-28 00:00:00+00:00,0,0,0,0.0,
65,2008-01-28 00:00:00+00:00,2008-02-04 00:00:00+00:00,0,0,0,0.0,
66,2008-02-04 00:00:00+00:00,2008-02-11 00:00:00+00:00,0,0,0,0.0,
67,2008-02-11 00:00:00+00:00,2008-02-18 00:00:00+00:00,0,0,0,0.0,
68,2008-02-18 00:00:00+00:00,2008-02-25 00:00:00+00:00,0,0,0,0.0,
69,2008-02-25 00:00:00+00:00,2008-03-03 00:00:00+00:00,0,0,0,0.0,
70,2008-03-03 00:00:00+00:00,2008-03-10 00:00:00+00:00,0,0,0,0.0,
71,2008-03-10 00:00:00+00:00,2008-03-17 00:00:00+00:00,0,0,0,0.0,
72,2008-03-17 00:00:00+00:00,2008-03-24 00:00:00+00:00,0,0,0,0.0,
73,2008-03-24 00:00:00+00:00,2008-03-31 00:00:00+00:00,0,0,0,0.0,
