time,open,high,low,close,volume,dividends,stock splits,bb_bbh,bb_bbl,rsi,signal,action,position,Trade P/L,Brokerage Cost,Total profit,Executed price,Take Profit,Stop Loss
1988-07-29 00:00:00+01:00,257.88201904296875,257.88201904296875,257.88201904296875,257.88201904296875,0,0.0,0.0,272.9960099360768,251.26646259810286,41.16251629241954,0,hold,0,0,,0,,,
1988-08-01 00:00:00+01:00,259.8357238769531,259.8357238769531,259.8357238769531,259.8357238769531,0,0.0,0.0,272.81818960617375,251.0535480647247,46.4588554319462,0,hold,0,0,,0,,,
1988-08-02 00:00:00+01:00,260.8125305175781,260.8125305175781,260.8125305175781,260.8125305175781,0,0.0,0.0,272.5559845117005,250.92502745119018,48.62972290357206,0,hold,0,0,,0,,,
1988-08-03 00:00:00+01:00,261.78936767578125,261.78936767578125,261.78936767578125,261.78936767578125,0,0.0,0.0,272.2077942229148,250.88248898021016,50.77893353363492,0,hold,0,0,,0,,,
1988-08-04 00:00:00+01:00,264.71978759765625,264.71978759765625,264.71978759765625,264.71978759765625,0,0.0,0.0,271.9550660791105,250.93985274413166,57.62828069957162,0,hold,0,0,,0,,,
1988-08-05 00:00:00+01:00,269.6039733886719,269.6039733886719,269.6039733886719,269.6039733886719,0,0.0,0.0,271.9550660791104,250.93985274413174,65.64649563758425,0,hold,0,0,,0,,,
1988-08-08 00:00:00+01:00,272.5344543457031,272.5344543457031,272.5344543457031,272.5344543457031,0,0.0,0.0,272.6213343641269,250.56663255481845,69.90673570254614,0,hold,0,0,,0,,,
1988-08-09 00:00:00+01:00,265.6966552734375,265.6966552734375,265.6966552734375,265.6966552734375,0,0.0,0.0,272.1707894001473,250.7241263713371,53.712098618590076,0,hold,0,0,,0,,,
1988-08-10 00:00:00+01:00,260.8125305175781,260.8125305175781,260.8125305175781,260.8125305175781,0,0.0,0.0,271.4451793363537,250.76595042438848,45.680951249282856,0,hold,0,0,,0,,,
1988-08-11 00:00:00+01:00,260.8125305175781,260.8125305175781,260.8125305175781,260.8125305175781,0,0.0,0.0,270.8315553102898,250.7934843625618,46.03377159393443,0,hold,0,0,,0,,,
1988-08-12 00:00:00+01:00,260.8125305175781,260.8125305175781,260.8125305175781,260.8125305175781,0,0.0,0.0,270.17180680979527,250.86714277516572,46.03377159393443,0,hold,0,0,,0,,,
1988-08-15 00:00:00+01:00,259.8357238769531,259.8357238769531,259.8357238769531,259.8357238769531,0,0.0,0.0,269.8650730485161,250.7831416731636,45.46271426801915,0,hold,0,0,,0,,,
1988-08-16 00:00:00+01:00,256.9052124023437,256.9052124023437,256.9052124023437,256.9052124023437,0,0.0,0.0,269.865073048516,250.7831416731636,42.92461788969357,0,hold,0,0,,0,,,
1988-08-17 00:00:00+01:00,260.8125305175781,260.8125305175781,260.8125305175781,260.8125305175781,0,0.0,0.0,269.93155580945256,251.10739072375054,51.24105638661647,0,hold,0,0,,0,,,
1988-08-18 00:00:00+01:00,261.78936767578125,261.78936767578125,261.78936767578125,261.78936767578125,0,0.0,0.0,269.99678355681266,251.62826527131242,53.54075821081738,0,hold,0,0,,0,,,
1988-08-19 00:00:00+01:00,261.78936767578125,261.78936767578125,261.78936767578125,261.78936767578125,0,0.0,0.0,269.71110935580964,252.79308681118255,55.07976444214716,0,hold,0,0,,0,,,
1988-08-22 00:00:00+01:00,261.78936767578125,261.78936767578125,261.78936767578125,261.78936767578125,0,0.0,0.0,269.2556209411641,254.12772256469518,55.07976444214715,0,hold,0,0,,0,,,
1988-08-23 00:00:00+01:00,262.7662353515625,262.7662353515625,262.7662353515625,262.7662353515625,0,0.0,0.0,269.30494073505207,254.56682440166668,54.77958423034293,0,hold,0,0,,0,,,
1988-08-24 00:00:00+01:00,262.7662353515625,262.7662353515625,262.7662353515625,262.7662353515625,0,0.0,0.0,269.3156100313084,255.0445767362698,54.77958423034293,0,hold,0,0,,0,,,
1988-08-25 00:00:00+01:00,247.13699340820312,247.13699340820312,247.13699340820312,247.13699340820312,0,0.0,0.0,271.2127717663159,251.87754195438723,27.641373044292678,0,hold,0,0,,0,,,
1988-08-26 00:00:00+01:00,232.4845428466797,232.4845428466797,232.4845428466797,232.4845428466797,0,0.0,0.0,276.188566861087,244.36199923998723,18.75370535093353,0,hold,0,0,,0,,,
1988-08-29 00:00:00+01:00,232.4845428466797,232.4845428466797,232.4845428466797,232.4845428466797,0,0.0,0.0,278.9121769123087,238.90327108573823,17.86542375828556,0,hold,0,0,,0,,,
1988-08-30 00:00:00+01:00,229.55409240722653,229.55409240722653,229.55409240722653,229.55409240722656,0,0.0,0.0,281.0515251226303,233.63807906438137,16.11841876726882,0,hold,0,0,,0,,,
1988-08-31 00:00:00+01:00,235.41510009765625,235.41510009765625,235.41510009765625,235.41510009765625,0,0.0,0.0,281.4678699053716,230.58430752382765,27.07992920196405,0,hold,0,0,,0,,,
1988-09-01 00:00:00+01:00,234.438232421875,234.438232421875,234.438232421875,234.438232421875,0,0.0,0.0,281.2740275489167,227.74999436270437,25.222852929065482,0,hold,0,0,,0,,,
1988-09-02 00:00:00+01:00,234.438232421875,234.438232421875,234.438232421875,234.438232421875,0,0.0,0.0,279.93601758668717,225.57143022825423,22.942971810097717,0,hold,0,0,,0,,,
1988-09-05 00:00:00+01:00,237.3687438964844,237.3687438964844,237.3687438964844,237.3687438964844,0,0.0,0.0,277.3695711745989,224.6213055954207,27.78365687503039,0,hold,0,0,,0,,,
1988-09-06 00:00:00+01:00,239.32232666015625,239.32232666015625,239.32232666015625,239.32232666015625,0,0.0,0.0,275.6125269384392,223.74091697025221,33.221706417009685,0,hold,0,0,,0,,,
1988-09-07 00:00:00+01:00,237.3687438964844,237.3687438964844,237.3687438964844,237.3687438964844,0,0.0,0.0,274.4403358143384,222.56872943224363,32.353525236544854,0,hold,0,0,,0,,,
1988-09-08 00:00:00+01:00,229.55409240722653,229.55409240722653,229.55409240722653,229.55409240722656,0,0.0,0.0,273.48255007713163,220.40067135841528,25.666666095289386,0,hold,0,0,,0,,,
1988-09-09 00:00:00+01:00,233.46131896972656,233.46131896972656,233.46131896972656,233.46131896972656,0,0.0,0.0,271.93318032803586,219.2149199527258,33.110584918720406,0,hold,0,0,,0,,,
1988-09-12 00:00:00+01:00,234.438232421875,234.438232421875,234.438232421875,234.438232421875,0,0.0,0.0,270.23631080994545,218.3720403253084,35.076030977611595,0,hold,0,0,,0,,,
1988-09-13 00:00:00+01:00,233.46131896972656,233.46131896972656,233.46131896972656,233.46131896972656,0,0.0,0.0,268.79782899832185,217.46613279367034,34.760985626696694,0,hold,0,0,,0,,,
1988-09-14 00:00:00+01:00,231.50773620605472,231.50773620605472,231.50773620605472,231.5077362060547,0,0.0,0.0,266.4589233161927,216.8745590446472,30.97665389310164,0,hold,0,0,,0,,,
1988-09-15 00:00:00+01:00,234.438232421875,234.438232421875,234.438232421875,234.438232421875,0,0.0,0.0,263.46462629601956,217.13374253942965,36.54433842612699,0,hold,0,0,,0,,,
1988-09-16 00:00:00+01:00,232.4845428466797,232.4845428466797,232.4845428466797,232.4845428466797,0,0.0,0.0,259.99754634581103,217.67034000672805,34.38957761442293,0,hold,0,0,,0,,,
1988-09-19 00:00:00+01:00,229.55409240722653,229.55409240722653,229.55409240722653,229.55409240722656,0,0.0,0.0,255.91281323489335,218.53154559079024,31.398979829335275,0,hold,0,0,,0,,,
1988-09-20 00:00:00+01:00,227.60043334960935,227.60043334960935,227.60043334960935,227.60043334960935,0,0.0,0.0,250.46353254405398,220.46424608143428,29.08042528814498,0,hold,0,0,,0,,,
1988-09-21 00:00:00+01:00,229.55409240722653,229.55409240722653,229.55409240722653,229.55409240722656,0,0.0,0.0,242.28033075128215,225.32623357977255,33.328214422985596,0,hold,0,0,,0,,,
1988-09-22 00:00:00+01:00,229.55409240722653,229.55409240722653,229.55409240722653,229.55409240722656,0,0.0,0.0,238.9922768855352,226.85599734542183,37.75341804442039,0,hold,0,0,,0,,,
1988-09-23 00:00:00+01:00,229.55409240722653,229.55409240722653,229.55409240722653,229.55409240722656,0,0.0,0.0,239.02014905589004,226.53508013112167,43.59786573447899,0,hold,0,0,,0,,,
1988-09-26 00:00:00+01:00,229.55409240722653,229.55409240722653,229.55409240722653,229.55409240722656,0,0.0,0.0,239.02987335890367,226.23231078416273,43.59786573447899,0,hold,0,0,,0,,,
1988-09-27 00:00:00+01:00,227.60043334960935,227.60043334960935,227.60043334960935,227.60043334960935,0,0.0,0.0,239.17224592753186,225.89457230977283,40.76546934896039,0,hold,0,0,,0,,,
1988-09-28 00:00:00+01:00,229.55409240722653,229.55409240722653,229.55409240722653,229.55409240722656,0,0.0,0.0,238.86192026425067,225.61879720401106,42.702440919286964,0,hold,0,0,,0,,,
1988-09-29 00:00:00+01:00,231.50773620605472,231.50773620605472,231.50773620605472,231.5077362060547,0,0.0,0.0,238.64367486955572,225.54399297712396,48.959485570826445,0,hold,0,0,,0,,,
1988-09-30 00:00:00+01:00,230.5309906005859,230.5309906005859,230.5309906005859,230.53099060058597,0,0.0,0.0,238.38977416851998,225.4071694960308,46.441949018692874,0,hold,0,0,,0,,,
1988-10-03 00:00:00+01:00,229.55409240722653,229.55409240722653,229.55409240722653,229.55409240722656,0,0.0,0.0,237.56090090508198,225.454577610543,41.928180370914006,0,hold,0,0,,0,,,
1988-10-04 00:00:00+01:00,229.55409240722653,229.55409240722653,229.55409240722653,229.55409240722656,0,0.0,0.0,235.9423727281153,226.09628236221675,40.33980546597309,0,hold,0,0,,0,,,
1988-10-05 00:00:00+01:00,239.32232666015625,239.32232666015625,239.32232666015625,239.32232666015625,0,0.0,0.0,236.5872123721188,225.64680099458042,64.96838325914784,0,hold,0,0,,0,,,
1988-10-06 00:00:00+01:00,245.1833648681641,245.1833648681641,245.1833648681641,245.1833648681641,0,0.0,0.0,240.0571684262351,223.73977218655787,76.96263446176766,0,hold,0,0,,0,,,
1988-10-07 00:00:00+01:00,249.09063720703125,249.09063720703125,249.09063720703125,249.09063720703125,0,0.0,0.0,243.7590706828303,221.60080175369316,79.46114706973844,0,hold,0,0,,0,,,
1988-10-10 00:00:00+01:00,253.97485351562503,253.97485351562503,253.97485351562503,253.974853515625,0,0.0,0.0,248.11383489673668,219.19969964916177,82.59902604847579,0,hold,0,0,,0,,,
1988-10-11 00:00:00+01:00,245.1833648681641,245.1833648681641,245.1833648681641,245.1833648681641,0,0.0,0.0,249.5463852128093,218.93935392293287,63.419907460951805,0,hold,0,0,,0,,,
1988-10-12 00:00:00+01:00,242.2528381347656,242.2528381347656,242.2528381347656,242.2528381347656,0,0.0,0.0,250.4127427216708,219.14750660694247,59.12930601706642,0,hold,0,0,,0,,,
1988-10-13 00:00:00+01:00,250.0675048828125,250.0675048828125,250.0675048828125,250.0675048828125,0,0.0,0.0,252.55139189065608,218.57178468405095,66.2072904647712,0,hold,0,0,,0,,,
1988-10-14 00:00:00+01:00,257.88201904296875,257.88201904296875,257.88201904296875,257.88201904296875,0,0.0,0.0,256.3237629516548,217.3391612426811,72.62820340764944,0,hold,0,0,,0,,,
1988-10-17 00:00:00+01:00,258.8589172363281,258.8589172363281,258.8589172363281,258.8589172363281,0,0.0,0.0,259.6932404201209,216.9001662571252,74.38456236294584,0,hold,0,0,,0,,,
1988-10-18 00:00:00+01:00,256.9052124023437,256.9052124023437,256.9052124023437,256.9052124023437,0,0.0,0.0,262.0239588644715,217.499925718048,71.65884800962932,0,hold,0,0,,0,,,
1988-10-19 00:00:00+01:00,256.9052124023437,256.9052124023437,256.9052124023437,256.9052124023437,0,0.0,0.0,264.0653838511027,218.19361273092858,71.32629405971213,0,hold,0,0,,0,,,
1988-10-20 00:00:00+01:00,254.9515991210937,254.9515991210937,254.9515991210937,254.95159912109372,0,0.0,0.0,265.44317112080876,219.3555761326092,67.56748274510977,0,hold,0,0,,0,,,
1988-10-21 00:00:00+01:00,252.99789428710935,252.99789428710935,252.99789428710935,252.99789428710935,0,0.0,0.0,266.26486587353037,220.87826156787588,63.93863093105529,0,hold,0,0,,0,,,
1988-10-24 00:00:00+00:00,253.97485351562503,253.97485351562503,253.97485351562503,253.974853515625,0,0.0,0.0,266.95946926286956,222.6257342893765,64.95229318237446,0,hold,0,0,,0,,,
1988-10-25 00:00:00+00:00,247.13699340820312,247.13699340820312,247.13699340820312,247.13699340820312,0,0.0,0.0,266.4947366710999,225.04412288700556,54.21163777559387,0,hold,0,0,,0,,,
1988-10-26 00:00:00+00:00,252.99789428710935,252.99789428710935,252.99789428710935,252.99789428710935,0,0.0,0.0,266.4840080054151,227.3992317406787,60.21423619574866,0,hold,0,0,,0,,,
1988-10-27 00:00:00+00:00,258.8589172363281,258.8589172363281,258.8589172363281,258.8589172363281,0,0.0,0.0,267.1555978193623,229.46276002975878,65.13635128658517,0,hold,0,0,,0,,,
1988-10-28 00:00:00+00:00,263.7430725097656,263.7430725097656,263.7430725097656,263.7430725097656,0,0.0,0.0,268.09670497423633,231.8428610658027,69.212261337272,0,hold,0,0,,0,,,
