Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2001-01-04 00:00:00+00:00,2001-01-11 00:00:00+00:00,0,0,0,0.0,
2,2001-01-11 00:00:00+00:00,2001-01-18 00:00:00+00:00,0,0,0,0.0,
3,2001-01-18 00:00:00+00:00,2001-01-25 00:00:00+00:00,0,0,0,0.0,
4,2001-01-25 00:00:00+00:00,2001-02-01 00:00:00+00:00,0,0,0,0.0,
5,2001-02-01 00:00:00+00:00,2001-02-08 00:00:00+00:00,0,0,0,0.0,
6,2001-02-08 00:00:00+00:00,2001-02-15 00:00:00+00:00,0,0,0,0.0,
7,2001-02-15 00:00:00+00:00,2001-02-22 00:00:00+00:00,0,0,0,0.0,
8,2001-02-22 00:00:00+00:00,2001-03-01 00:00:00+00:00,0,0,0,0.0,
9,2001-03-01 00:00:00+00:00,2001-03-08 00:00:00+00:00,0,0,0,0.0,
10,2001-03-08 00:00:00+00:00,2001-03-15 00:00:00+00:00,0,0,0,0.0,
11,2001-03-15 00:00:00+00:00,2001-03-22 00:00:00+00:00,0,0,0,0.0,
12,2001-03-22 00:00:00+00:00,2001-03-29 00:00:00+00:00,0,0,0,0.0,
13,2001-03-29 00:00:00+00:00,2001-04-05 00:00:00+00:00,0,0,0,0.0,
14,2001-04-05 00:00:00+00:00,2001-04-12 00:00:00+00:00,0,0,0,0.0,
15,2001-04-12 00:00:00+00:00,2001-04-19 00:00:00+00:00,0,0,0,0.0,
16,2001-04-19 00:00:00+00:00,2001-04-26 00:00:00+00:00,0,0,0,0.0,
17,2001-04-26 00:00:00+00:00,2001-05-03 00:00:00+00:00,0,0,0,0.0,
18,2001-05-03 00:00:00+00:00,2001-05-10 00:00:00+00:00,0,0,0,0.0,
19,2001-05-10 00:00:00+00:00,2001-05-17 00:00:00+00:00,0,0,0,0.0,
20,2001-05-17 00:00:00+00:00,2001-05-24 00:00:00+00:00,0,0,0,0.0,
21,2001-05-24 00:00:00+00:00,2001-05-31 00:00:00+00:00,0,0,0,0.0,
22,2001-05-31 00:00:00+00:00,2001-06-07 00:00:00+00:00,0,0,0,0.0,
23,2001-06-07 00:00:00+00:00,2001-06-14 00:00:00+00:00,0,0,0,0.0,
24,2001-06-14 00:00:00+00:00,2001-06-21 00:00:00+00:00,0,0,0,0.0,
25,2001-06-21 00:00:00+00:00,2001-06-28 00:00:00+00:00,1,0,0,0.0,0.0
26,2001-06-28 00:00:00+00:00,2001-07-05 00:00:00+00:00,0,0,0,0.0,
27,2001-07-05 00:00:00+00:00,2001-07-12 00:00:00+00:00,0,0,0,0.0,
28,2001-07-12 00:00:00+00:00,2001-07-19 00:00:00+00:00,0,0,0,0.0,
29,2001-07-19 00:00:00+00:00,2001-07-26 00:00:00+00:00,0,0,0,0.0,
30,2001-07-26 00:00:00+00:00,2001-08-02 00:00:00+00:00,0,0,0,0.0,
31,2001-08-02 00:00:00+00:00,2001-08-09 00:00:00+00:00,0,0,0,0.0,
32,2001-08-09 00:00:00+00:00,2001-08-16 00:00:00+00:00,0,0,0,0.0,
33,2001-08-16 00:00:00+00:00,2001-08-23 00:00:00+00:00,0,0,0,0.0,
34,2001-08-23 00:00:00+00:00,2001-08-30 00:00:00+00:00,0,0,0,0.0,
35,2001-08-30 00:00:00+00:00,2001-09-06 00:00:00+00:00,0,0,0,0.0,
36,2001-09-06 00:00:00+00:00,2001-09-13 00:00:00+00:00,0,0,0,0.0,
37,2001-09-13 00:00:00+00:00,2001-09-20 00:00:00+00:00,0,0,0,0.0,
38,2001-09-20 00:00:00+00:00,2001-09-27 00:00:00+00:00,0,0,0,0.0,
39,2001-09-27 00:00:00+00:00,2001-10-04 00:00:00+00:00,0,0,0,0.0,
40,2001-10-04 00:00:00+00:00,2001-10-11 00:00:00+00:00,0,0,0,0.0,
41,2001-10-11 00:00:00+00:00,2001-10-18 00:00:00+00:00,0,0,0,0.0,
42,2001-10-18 00:00:00+00:00,2001-10-25 00:00:00+00:00,0,0,0,0.0,
43,2001-10-25 00:00:00+00:00,2001-11-01 00:00:00+00:00,0,0,0,0.0,
44,2001-11-01 00:00:00+00:00,2001-11-08 00:00:00+00:00,0,0,0,0.0,
45,2001-11-08 00:00:00+00:00,2001-11-15 00:00:00+00:00,0,0,0,0.0,
46,2001-11-15 00:00:00+00:00,2001-11-22 00:00:00+00:00,0,0,0,0.0,
47,2001-11-22 00:00:00+00:00,2001-11-29 00:00:00+00:00,0,0,0,0.0,
48,2001-11-29 00:00:00+00:00,2001-12-06 00:00:00+00:00,0,0,0,0.0,
49,2001-12-06 00:00:00+00:00,2001-12-13 00:00:00+00:00,0,0,0,0.0,
50,2001-12-13 00:00:00+00:00,2001-12-20 00:00:00+00:00,0,0,0,0.0,
51,2001-12-20 00:00:00+00:00,2001-12-27 00:00:00+00:00,0,0,0,0.0,
52,2001-12-27 00:00:00+00:00,2002-01-03 00:00:00+00:00,0,0,0,0.0,
53,2002-01-03 00:00:00+00:00,2002-01-10 00:00:00+00:00,0,0,0,0.0,
54,2002-01-10 00:00:00+00:00,2002-01-17 00:00:00+00:00,0,0,0,0.0,
55,2002-01-17 00:00:00+00:00,2002-01-24 00:00:00+00:00,0,0,0,0.0,
56,2002-01-24 00:00:00+00:00,2002-01-31 00:00:00+00:00,0,0,0,0.0,
57,2002-01-31 00:00:00+00:00,2002-02-07 00:00:00+00:00,0,0,0,0.0,
58,2002-02-07 00:00:00+00:00,2002-02-14 00:00:00+00:00,0,0,0,0.0,
59,2002-02-14 00:00:00+00:00,2002-02-21 00:00:00+00:00,0,0,0,0.0,
60,2002-02-21 00:00:00+00:00,2002-02-28 00:00:00+00:00,0,0,0,0.0,
61,2002-02-28 00:00:00+00:00,2002-03-07 00:00:00+00:00,0,0,0,0.0,
62,2002-03-07 00:00:00+00:00,2002-03-14 00:00:00+00:00,0,0,0,0.0,
63,2002-03-14 00:00:00+00:00,2002-03-21 00:00:00+00:00,0,0,0,0.0,
64,2002-03-21 00:00:00+00:00,2002-03-28 00:00:00+00:00,0,0,0,0.0,
65,2002-03-28 00:00:00+00:00,2002-04-04 00:00:00+00:00,0,0,0,0.0,
66,2002-04-04 00:00:00+00:00,2002-04-11 00:00:00+00:00,0,0,0,0.0,
67,2002-04-11 00:00:00+00:00,2002-04-18 00:00:00+00:00,0,0,0,0.0,
68,2002-04-18 00:00:00+00:00,2002-04-25 00:00:00+00:00,0,0,0,0.0,
69,2002-04-25 00:00:00+00:00,2002-05-02 00:00:00+00:00,0,0,0,0.0,
70,2002-05-02 00:00:00+00:00,2002-05-09 00:00:00+00:00,0,0,0,0.0,
71,2002-05-09 00:00:00+00:00,2002-05-16 00:00:00+00:00,0,0,0,0.0,
72,2002-05-16 00:00:00+00:00,2002-05-23 00:00:00+00:00,0,0,0,0.0,
73,2002-05-23 00:00:00+00:00,2002-05-30 00:00:00+00:00,0,0,0,0.0,
74,2002-05-30 00:00:00+00:00,2002-06-06 00:00:00+00:00,0,0,0,0.0,
75,2002-06-06 00:00:00+00:00,2002-06-13 00:00:00+00:00,0,0,0,0.0,
76,2002-06-13 00:00:00+00:00,2002-06-20 00:00:00+00:00,0,0,0,0.0,
77,2002-06-20 00:00:00+00:00,2002-06-27 00:00:00+00:00,0,0,0,0.0,
78,2002-06-27 00:00:00+00:00,2002-07-04 00:00:00+00:00,0,0,0,0.0,
79,2002-07-04 00:00:00+00:00,2002-07-11 00:00:00+00:00,0,0,0,0.0,
80,2002-07-11 00:00:00+00:00,2002-07-18 00:00:00+00:00,0,0,0,0.0,
81,2002-07-18 00:00:00+00:00,2002-07-25 00:00:00+00:00,0,0,0,0.0,
82,2002-07-25 00:00:00+00:00,2002-08-01 00:00:00+00:00,0,0,0,0.0,
83,2002-08-01 00:00:00+00:00,2002-08-08 00:00:00+00:00,0,0,0,0.0,
84,2002-08-08 00:00:00+00:00,2002-08-15 00:00:00+00:00,0,0,0,0.0,
85,2002-08-15 00:00:00+00:00,2002-08-22 00:00:00+00:00,0,0,0,0.0,
86,2002-08-22 00:00:00+00:00,2002-08-29 00:00:00+00:00,0,0,0,0.0,
87,2002-08-29 00:00:00+00:00,2002-09-05 00:00:00+00:00,0,0,0,0.0,
88,2002-09-05 00:00:00+00:00,2002-09-12 00:00:00+00:00,1,1,0,17.882801330566405,100.0
89,2002-09-12 00:00:00+00:00,2002-09-19 00:00:00+00:00,0,0,0,0.0,
90,2002-09-19 00:00:00+00:00,2002-09-26 00:00:00+00:00,0,0,0,0.0,
91,2002-09-26 00:00:00+00:00,2002-10-03 00:00:00+00:00,0,0,0,0.0,
92,2002-10-03 00:00:00+00:00,2002-10-10 00:00:00+00:00,0,0,0,0.0,
93,2002-10-10 00:00:00+00:00,2002-10-17 00:00:00+00:00,0,0,0,0.0,
94,2002-10-17 00:00:00+00:00,2002-10-24 00:00:00+00:00,0,0,0,0.0,
95,2002-10-24 00:00:00+00:00,2002-10-31 00:00:00+00:00,0,0,0,0.0,
96,2002-10-31 00:00:00+00:00,2002-11-07 00:00:00+00:00,0,0,0,0.0,
97,2002-11-07 00:00:00+00:00,2002-11-14 00:00:00+00:00,0,0,0,0.0,
98,2002-11-14 00:00:00+00:00,2002-11-21 00:00:00+00:00,0,0,0,0.0,
