Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2008-06-09 00:00:00+01:00,2008-06-16 00:00:00+01:00,0,0,0,0.0,
2,2008-06-16 00:00:00+01:00,2008-06-23 00:00:00+01:00,0,0,0,0.0,
3,2008-06-23 00:00:00+01:00,2008-06-30 00:00:00+01:00,0,0,0,0.0,
4,2008-06-30 00:00:00+01:00,2008-07-07 00:00:00+01:00,0,0,0,0.0,
5,2008-07-07 00:00:00+01:00,2008-07-14 00:00:00+01:00,0,0,0,0.0,
6,2008-07-14 00:00:00+01:00,2008-07-21 00:00:00+01:00,0,0,0,0.0,
7,2008-07-21 00:00:00+01:00,2008-07-28 00:00:00+01:00,0,0,0,0.0,
8,2008-07-28 00:00:00+01:00,2008-08-04 00:00:00+01:00,0,0,0,0.0,
9,2008-08-04 00:00:00+01:00,2008-08-11 00:00:00+01:00,0,0,0,0.0,
10,2008-08-11 00:00:00+01:00,2008-08-18 00:00:00+01:00,0,0,0,0.0,
11,2008-08-18 00:00:00+01:00,2008-08-25 00:00:00+01:00,0,0,0,0.0,
12,2008-08-25 00:00:00+01:00,2008-09-01 00:00:00+01:00,0,0,0,0.0,
13,2008-09-01 00:00:00+01:00,2008-09-08 00:00:00+01:00,0,0,0,0.0,
14,2008-09-08 00:00:00+01:00,2008-09-15 00:00:00+01:00,0,0,0,0.0,
15,2008-09-15 00:00:00+01:00,2008-09-22 00:00:00+01:00,0,0,0,0.0,
16,2008-09-22 00:00:00+01:00,2008-09-29 00:00:00+01:00,0,0,0,0.0,
17,2008-09-29 00:00:00+01:00,2008-10-06 00:00:00+01:00,0,0,0,0.0,
18,2008-10-06 00:00:00+01:00,2008-10-13 00:00:00+01:00,0,0,0,0.0,
19,2008-10-13 00:00:00+01:00,2008-10-20 00:00:00+01:00,0,0,0,0.0,
20,2008-10-20 00:00:00+01:00,2008-10-27 00:00:00+01:00,0,0,0,0.0,
21,2008-10-27 00:00:00+01:00,2008-11-03 00:00:00+01:00,0,0,0,0.0,
22,2008-11-03 00:00:00+01:00,2008-11-10 00:00:00+01:00,0,0,0,0.0,
23,2008-11-10 00:00:00+01:00,2008-11-17 00:00:00+01:00,0,0,0,0.0,
24,2008-11-17 00:00:00+01:00,2008-11-24 00:00:00+01:00,0,0,0,0.0,
25,2008-11-24 00:00:00+01:00,2008-12-01 00:00:00+01:00,0,0,0,0.0,
26,2008-12-01 00:00:00+01:00,2008-12-08 00:00:00+01:00,0,0,0,0.0,
27,2008-12-08 00:00:00+01:00,2008-12-15 00:00:00+01:00,0,0,0,0.0,
28,2008-12-15 00:00:00+01:00,2008-12-22 00:00:00+01:00,0,0,0,0.0,
29,2008-12-22 00:00:00+01:00,2008-12-29 00:00:00+01:00,0,0,0,0.0,
30,2008-12-29 00:00:00+01:00,2009-01-05 00:00:00+01:00,0,0,0,0.0,
31,2009-01-05 00:00:00+01:00,2009-01-12 00:00:00+01:00,0,0,0,0.0,
32,2009-01-12 00:00:00+01:00,2009-01-19 00:00:00+01:00,0,0,0,0.0,
33,2009-01-19 00:00:00+01:00,2009-01-26 00:00:00+01:00,0,0,0,0.0,
34,2009-01-26 00:00:00+01:00,2009-02-02 00:00:00+01:00,0,0,0,0.0,
35,2009-02-02 00:00:00+01:00,2009-02-09 00:00:00+01:00,0,0,0,0.0,
36,2009-02-09 00:00:00+01:00,2009-02-16 00:00:00+01:00,0,0,0,0.0,
37,2009-02-16 00:00:00+01:00,2009-02-23 00:00:00+01:00,0,0,0,0.0,
38,2009-02-23 00:00:00+01:00,2009-03-02 00:00:00+01:00,0,0,0,0.0,
39,2009-03-02 00:00:00+01:00,2009-03-09 00:00:00+01:00,0,0,0,0.0,
40,2009-03-09 00:00:00+01:00,2009-03-16 00:00:00+01:00,0,0,0,0.0,
41,2009-03-16 00:00:00+01:00,2009-03-23 00:00:00+01:00,0,0,0,0.0,
42,2009-03-23 00:00:00+01:00,2009-03-30 00:00:00+01:00,0,0,0,0.0,
43,2009-03-30 00:00:00+01:00,2009-04-06 00:00:00+01:00,0,0,0,0.0,
44,2009-04-06 00:00:00+01:00,2009-04-13 00:00:00+01:00,0,0,0,0.0,
45,2009-04-13 00:00:00+01:00,2009-04-20 00:00:00+01:00,0,0,0,0.0,
46,2009-04-20 00:00:00+01:00,2009-04-27 00:00:00+01:00,0,0,0,0.0,
47,2009-04-27 00:00:00+01:00,2009-05-04 00:00:00+01:00,0,0,0,0.0,
48,2009-05-04 00:00:00+01:00,2009-05-11 00:00:00+01:00,1,0,1,-34.32160144872913,0.0
49,2009-05-11 00:00:00+01:00,2009-05-18 00:00:00+01:00,0,0,0,0.0,
50,2009-05-18 00:00:00+01:00,2009-05-25 00:00:00+01:00,0,0,0,0.0,
51,2009-05-25 00:00:00+01:00,2009-06-01 00:00:00+01:00,0,0,0,0.0,
52,2009-06-01 00:00:00+01:00,2009-06-08 00:00:00+01:00,0,0,0,0.0,
53,2009-06-08 00:00:00+01:00,2009-06-15 00:00:00+01:00,0,0,0,0.0,
54,2009-06-15 00:00:00+01:00,2009-06-22 00:00:00+01:00,0,0,0,0.0,
55,2009-06-22 00:00:00+01:00,2009-06-29 00:00:00+01:00,0,0,0,0.0,
56,2009-06-29 00:00:00+01:00,2009-07-06 00:00:00+01:00,0,0,0,0.0,
57,2009-07-06 00:00:00+01:00,2009-07-13 00:00:00+01:00,0,0,0,0.0,
58,2009-07-13 00:00:00+01:00,2009-07-20 00:00:00+01:00,0,0,0,0.0,
59,2009-07-20 00:00:00+01:00,2009-07-27 00:00:00+01:00,0,0,0,0.0,
60,2009-07-27 00:00:00+01:00,2009-08-03 00:00:00+01:00,0,0,0,0.0,
61,2009-08-03 00:00:00+01:00,2009-08-10 00:00:00+01:00,0,0,0,0.0,
62,2009-08-10 00:00:00+01:00,2009-08-17 00:00:00+01:00,0,0,0,0.0,
63,2009-08-17 00:00:00+01:00,2009-08-24 00:00:00+01:00,0,0,0,0.0,
64,2009-08-24 00:00:00+01:00,2009-08-31 00:00:00+01:00,0,0,0,0.0,
65,2009-08-31 00:00:00+01:00,2009-09-07 00:00:00+01:00,0,0,0,0.0,
66,2009-09-07 00:00:00+01:00,2009-09-14 00:00:00+01:00,0,0,0,0.0,
67,2009-09-14 00:00:00+01:00,2009-09-21 00:00:00+01:00,0,0,0,0.0,
68,2009-09-21 00:00:00+01:00,2009-09-28 00:00:00+01:00,0,0,0,0.0,
69,2009-09-28 00:00:00+01:00,2009-10-05 00:00:00+01:00,0,0,0,0.0,
70,2009-10-05 00:00:00+01:00,2009-10-12 00:00:00+01:00,0,0,0,0.0,
71,2009-10-12 00:00:00+01:00,2009-10-19 00:00:00+01:00,0,0,0,0.0,
72,2009-10-19 00:00:00+01:00,2009-10-26 00:00:00+01:00,0,0,0,0.0,
73,2009-10-26 00:00:00+01:00,2009-11-02 00:00:00+01:00,0,0,0,0.0,
74,2009-11-02 00:00:00+01:00,2009-11-09 00:00:00+01:00,0,0,0,0.0,
75,2009-11-09 00:00:00+01:00,2009-11-16 00:00:00+01:00,1,0,1,-39.02841467524649,0.0
76,2009-11-16 00:00:00+01:00,2009-11-23 00:00:00+01:00,0,0,0,0.0,
77,2009-11-23 00:00:00+01:00,2009-11-30 00:00:00+01:00,0,0,0,0.0,
78,2009-11-30 00:00:00+01:00,2009-12-07 00:00:00+01:00,0,0,0,0.0,
79,2009-12-07 00:00:00+01:00,2009-12-14 00:00:00+01:00,0,0,0,0.0,
80,2009-12-14 00:00:00+01:00,2009-12-21 00:00:00+01:00,0,0,0,0.0,
81,2009-12-21 00:00:00+01:00,2009-12-28 00:00:00+01:00,0,0,0,0.0,
82,2009-12-28 00:00:00+01:00,2010-01-04 00:00:00+01:00,0,0,0,0.0,
83,2010-01-04 00:00:00+01:00,2010-01-11 00:00:00+01:00,0,0,0,0.0,
84,2010-01-11 00:00:00+01:00,2010-01-18 00:00:00+01:00,0,0,0,0.0,
85,2010-01-18 00:00:00+01:00,2010-01-25 00:00:00+01:00,0,0,0,0.0,
86,2010-01-25 00:00:00+01:00,2010-02-01 00:00:00+01:00,0,0,0,0.0,
87,2010-02-01 00:00:00+01:00,2010-02-08 00:00:00+01:00,0,0,0,0.0,
88,2010-02-08 00:00:00+01:00,2010-02-15 00:00:00+01:00,0,0,0,0.0,
89,2010-02-15 00:00:00+01:00,2010-02-22 00:00:00+01:00,0,0,0,0.0,
90,2010-02-22 00:00:00+01:00,2010-03-01 00:00:00+01:00,0,0,0,0.0,
91,2010-03-01 00:00:00+01:00,2010-03-08 00:00:00+01:00,1,0,0,0.0,0.0
92,2010-03-08 00:00:00+01:00,2010-03-15 00:00:00+01:00,0,0,0,0.0,
93,2010-03-15 00:00:00+01:00,2010-03-22 00:00:00+01:00,0,0,0,0.0,
94,2010-03-22 00:00:00+01:00,2010-03-29 00:00:00+01:00,0,0,0,0.0,
95,2010-03-29 00:00:00+01:00,2010-04-05 00:00:00+01:00,0,0,0,0.0,
96,2010-04-05 00:00:00+01:00,2010-04-12 00:00:00+01:00,1,0,1,-22.55919876858117,0.0
97,2010-04-12 00:00:00+01:00,2010-04-19 00:00:00+01:00,0,0,0,0.0,
98,2010-04-19 00:00:00+01:00,2010-04-26 00:00:00+01:00,0,0,0,0.0,
99,2010-04-26 00:00:00+01:00,2010-05-03 00:00:00+01:00,0,0,0,0.0,
100,2010-05-03 00:00:00+01:00,2010-05-10 00:00:00+01:00,0,0,0,0.0,
101,2010-05-10 00:00:00+01:00,2010-05-17 00:00:00+01:00,0,0,0,0.0,
102,2010-05-17 00:00:00+01:00,2010-05-24 00:00:00+01:00,0,0,0,0.0,
103,2010-05-24 00:00:00+01:00,2010-05-31 00:00:00+01:00,0,0,0,0.0,
104,2010-05-31 00:00:00+01:00,2010-06-07 00:00:00+01:00,0,0,0,0.0,
105,2010-06-07 00:00:00+01:00,2010-06-14 00:00:00+01:00,0,0,0,0.0,
106,2010-06-14 00:00:00+01:00,2010-06-21 00:00:00+01:00,0,0,0,0.0,
