Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2007-06-13 00:00:00+01:00,2007-06-20 00:00:00+01:00,0,0,0,0.0,
2,2007-06-20 00:00:00+01:00,2007-06-27 00:00:00+01:00,0,0,0,0.0,
3,2007-06-27 00:00:00+01:00,2007-07-04 00:00:00+01:00,1,0,1,-11.246141930309058,0.0
4,2007-07-04 00:00:00+01:00,2007-07-11 00:00:00+01:00,1,0,0,0.0,0.0
5,2007-07-11 00:00:00+01:00,2007-07-18 00:00:00+01:00,0,0,0,0.0,
6,2007-07-18 00:00:00+01:00,2007-07-25 00:00:00+01:00,0,0,0,0.0,
7,2007-07-25 00:00:00+01:00,2007-08-01 00:00:00+01:00,0,0,0,0.0,
8,2007-08-01 00:00:00+01:00,2007-08-08 00:00:00+01:00,0,0,0,0.0,
9,2007-08-08 00:00:00+01:00,2007-08-15 00:00:00+01:00,0,0,0,0.0,
10,2007-08-15 00:00:00+01:00,2007-08-22 00:00:00+01:00,0,0,0,0.0,
11,2007-08-22 00:00:00+01:00,2007-08-29 00:00:00+01:00,0,0,0,0.0,
12,2007-08-29 00:00:00+01:00,2007-09-05 00:00:00+01:00,0,0,0,0.0,
13,2007-09-05 00:00:00+01:00,2007-09-12 00:00:00+01:00,0,0,0,0.0,
14,2007-09-12 00:00:00+01:00,2007-09-19 00:00:00+01:00,0,0,0,0.0,
15,2007-09-19 00:00:00+01:00,2007-09-26 00:00:00+01:00,0,0,0,0.0,
16,2007-09-26 00:00:00+01:00,2007-10-03 00:00:00+01:00,0,0,0,0.0,
17,2007-10-03 00:00:00+01:00,2007-10-10 00:00:00+01:00,0,0,0,0.0,
18,2007-10-10 00:00:00+01:00,2007-10-17 00:00:00+01:00,0,0,0,0.0,
19,2007-10-17 00:00:00+01:00,2007-10-24 00:00:00+01:00,0,0,0,0.0,
20,2007-10-24 00:00:00+01:00,2007-10-31 00:00:00+01:00,0,0,0,0.0,
21,2007-10-31 00:00:00+01:00,2007-11-07 00:00:00+01:00,1,0,1,-5.255288245798479,0.0
22,2007-11-07 00:00:00+01:00,2007-11-14 00:00:00+01:00,0,0,0,0.0,
23,2007-11-14 00:00:00+01:00,2007-11-21 00:00:00+01:00,0,0,0,0.0,
24,2007-11-21 00:00:00+01:00,2007-11-28 00:00:00+01:00,0,0,0,0.0,
25,2007-11-28 00:00:00+01:00,2007-12-05 00:00:00+01:00,0,0,0,0.0,
26,2007-12-05 00:00:00+01:00,2007-12-12 00:00:00+01:00,0,0,0,0.0,
27,2007-12-12 00:00:00+01:00,2007-12-19 00:00:00+01:00,0,0,0,0.0,
28,2007-12-19 00:00:00+01:00,2007-12-26 00:00:00+01:00,0,0,0,0.0,
29,2007-12-26 00:00:00+01:00,2008-01-02 00:00:00+01:00,0,0,0,0.0,
30,2008-01-02 00:00:00+01:00,2008-01-09 00:00:00+01:00,0,0,0,0.0,
31,2008-01-09 00:00:00+01:00,2008-01-16 00:00:00+01:00,0,0,0,0.0,
32,2008-01-16 00:00:00+01:00,2008-01-23 00:00:00+01:00,0,0,0,0.0,
33,2008-01-23 00:00:00+01:00,2008-01-30 00:00:00+01:00,0,0,0,0.0,
34,2008-01-30 00:00:00+01:00,2008-02-06 00:00:00+01:00,0,0,0,0.0,
35,2008-02-06 00:00:00+01:00,2008-02-13 00:00:00+01:00,0,0,0,0.0,
36,2008-02-13 00:00:00+01:00,2008-02-20 00:00:00+01:00,0,0,0,0.0,
37,2008-02-20 00:00:00+01:00,2008-02-27 00:00:00+01:00,0,0,0,0.0,
38,2008-02-27 00:00:00+01:00,2008-03-05 00:00:00+01:00,0,0,0,0.0,
39,2008-03-05 00:00:00+01:00,2008-03-12 00:00:00+01:00,0,0,0,0.0,
40,2008-03-12 00:00:00+01:00,2008-03-19 00:00:00+01:00,0,0,0,0.0,
41,2008-03-19 00:00:00+01:00,2008-03-26 00:00:00+01:00,0,0,0,0.0,
42,2008-03-26 00:00:00+01:00,2008-04-02 00:00:00+01:00,0,0,0,0.0,
43,2008-04-02 00:00:00+01:00,2008-04-09 00:00:00+01:00,0,0,0,0.0,
44,2008-04-09 00:00:00+01:00,2008-04-16 00:00:00+01:00,0,0,0,0.0,
45,2008-04-16 00:00:00+01:00,2008-04-23 00:00:00+01:00,0,0,0,0.0,
46,2008-04-23 00:00:00+01:00,2008-04-30 00:00:00+01:00,0,0,0,0.0,
