Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,1988-08-02 00:00:00+01:00,1988-08-09 00:00:00+01:00,0,0,0,0.0,
2,1988-08-09 00:00:00+01:00,1988-08-16 00:00:00+01:00,0,0,0,0.0,
3,1988-08-16 00:00:00+01:00,1988-08-23 00:00:00+01:00,0,0,0,0.0,
4,1988-08-23 00:00:00+01:00,1988-08-30 00:00:00+01:00,0,0,0,0.0,
5,1988-08-30 00:00:00+01:00,1988-09-06 00:00:00+01:00,0,0,0,0.0,
6,1988-09-06 00:00:00+01:00,1988-09-13 00:00:00+01:00,0,0,0,0.0,
7,1988-09-13 00:00:00+01:00,1988-09-20 00:00:00+01:00,0,0,0,0.0,
8,1988-09-20 00:00:00+01:00,1988-09-27 00:00:00+01:00,0,0,0,0.0,
9,1988-09-27 00:00:00+01:00,1988-10-04 00:00:00+01:00,0,0,0,0.0,
10,1988-10-04 00:00:00+01:00,1988-10-11 00:00:00+01:00,0,0,0,0.0,
11,1988-10-11 00:00:00+01:00,1988-10-18 00:00:00+01:00,0,0,0,0.0,
12,1988-10-18 00:00:00+01:00,1988-10-25 00:00:00+01:00,0,0,0,0.0,
13,1988-10-25 00:00:00+01:00,1988-11-01 00:00:00+01:00,0,0,0,0.0,
14,1988-11-01 00:00:00+01:00,1988-11-08 00:00:00+01:00,0,0,0,0.0,
15,1988-11-08 00:00:00+01:00,1988-11-15 00:00:00+01:00,0,0,0,0.0,
16,1988-11-15 00:00:00+01:00,1988-11-22 00:00:00+01:00,0,0,0,0.0,
17,1988-11-22 00:00:00+01:00,1988-11-29 00:00:00+01:00,0,0,0,0.0,
18,1988-11-29 00:00:00+01:00,1988-12-06 00:00:00+01:00,0,0,0,0.0,
19,1988-12-06 00:00:00+01:00,1988-12-13 00:00:00+01:00,0,0,0,0.0,
20,1988-12-13 00:00:00+01:00,1988-12-20 00:00:00+01:00,0,0,0,0.0,
21,1988-12-20 00:00:00+01:00,1988-12-27 00:00:00+01:00,0,0,0,0.0,
22,1988-12-27 00:00:00+01:00,1989-01-03 00:00:00+01:00,0,0,0,0.0,
23,1989-01-03 00:00:00+01:00,1989-01-10 00:00:00+01:00,0,0,0,0.0,
24,1989-01-10 00:00:00+01:00,1989-01-17 00:00:00+01:00,0,0,0,0.0,
25,1989-01-17 00:00:00+01:00,1989-01-24 00:00:00+01:00,0,0,0,0.0,
26,1989-01-24 00:00:00+01:00,1989-01-31 00:00:00+01:00,0,0,0,0.0,
27,1989-01-31 00:00:00+01:00,1989-02-07 00:00:00+01:00,0,0,0,0.0,
28,1989-02-07 00:00:00+01:00,1989-02-14 00:00:00+01:00,0,0,0,0.0,
29,1989-02-14 00:00:00+01:00,1989-02-21 00:00:00+01:00,0,0,0,0.0,
30,1989-02-21 00:00:00+01:00,1989-02-28 00:00:00+01:00,0,0,0,0.0,
31,1989-02-28 00:00:00+01:00,1989-03-07 00:00:00+01:00,0,0,0,0.0,
32,1989-03-07 00:00:00+01:00,1989-03-14 00:00:00+01:00,0,0,0,0.0,
33,1989-03-14 00:00:00+01:00,1989-03-21 00:00:00+01:00,0,0,0,0.0,
34,1989-03-21 00:00:00+01:00,1989-03-28 00:00:00+01:00,0,0,0,0.0,
35,1989-03-28 00:00:00+01:00,1989-04-04 00:00:00+01:00,0,0,0,0.0,
36,1989-04-04 00:00:00+01:00,1989-04-11 00:00:00+01:00,0,0,0,0.0,
37,1989-04-11 00:00:00+01:00,1989-04-18 00:00:00+01:00,0,0,0,0.0,
38,1989-04-18 00:00:00+01:00,1989-04-25 00:00:00+01:00,0,0,0,0.0,
39,1989-04-25 00:00:00+01:00,1989-05-02 00:00:00+01:00,0,0,0,0.0,
40,1989-05-02 00:00:00+01:00,1989-05-09 00:00:00+01:00,0,0,0,0.0,
41,1989-05-09 00:00:00+01:00,1989-05-16 00:00:00+01:00,0,0,0,0.0,
42,1989-05-16 00:00:00+01:00,1989-05-23 00:00:00+01:00,0,0,0,0.0,
43,1989-05-23 00:00:00+01:00,1989-05-30 00:00:00+01:00,0,0,0,0.0,
44,1989-05-30 00:00:00+01:00,1989-06-06 00:00:00+01:00,0,0,0,0.0,
45,1989-06-06 00:00:00+01:00,1989-06-13 00:00:00+01:00,0,0,0,0.0,
46,1989-06-13 00:00:00+01:00,1989-06-20 00:00:00+01:00,0,0,0,0.0,
47,1989-06-20 00:00:00+01:00,1989-06-27 00:00:00+01:00,0,0,0,0.0,
48,1989-06-27 00:00:00+01:00,1989-07-04 00:00:00+01:00,0,0,0,0.0,
49,1989-07-04 00:00:00+01:00,1989-07-11 00:00:00+01:00,0,0,0,0.0,
50,1989-07-11 00:00:00+01:00,1989-07-18 00:00:00+01:00,0,0,0,0.0,
51,1989-07-18 00:00:00+01:00,1989-07-25 00:00:00+01:00,0,0,0,0.0,
52,1989-07-25 00:00:00+01:00,1989-08-01 00:00:00+01:00,0,0,0,0.0,
53,1989-08-01 00:00:00+01:00,1989-08-08 00:00:00+01:00,0,0,0,0.0,
54,1989-08-08 00:00:00+01:00,1989-08-15 00:00:00+01:00,0,0,0,0.0,
55,1989-08-15 00:00:00+01:00,1989-08-22 00:00:00+01:00,0,0,0,0.0,
56,1989-08-22 00:00:00+01:00,1989-08-29 00:00:00+01:00,0,0,0,0.0,
57,1989-08-29 00:00:00+01:00,1989-09-05 00:00:00+01:00,0,0,0,0.0,
58,1989-09-05 00:00:00+01:00,1989-09-12 00:00:00+01:00,0,0,0,0.0,
59,1989-09-12 00:00:00+01:00,1989-09-19 00:00:00+01:00,0,0,0,0.0,
60,1989-09-19 00:00:00+01:00,1989-09-26 00:00:00+01:00,0,0,0,0.0,
61,1989-09-26 00:00:00+01:00,1989-10-03 00:00:00+01:00,0,0,0,0.0,
62,1989-10-03 00:00:00+01:00,1989-10-10 00:00:00+01:00,0,0,0,0.0,
63,1989-10-10 00:00:00+01:00,1989-10-17 00:00:00+01:00,0,0,0,0.0,
64,1989-10-17 00:00:00+01:00,1989-10-24 00:00:00+01:00,0,0,0,0.0,
65,1989-10-24 00:00:00+01:00,1989-10-31 00:00:00+01:00,0,0,0,0.0,
66,1989-10-31 00:00:00+01:00,1989-11-07 00:00:00+01:00,0,0,0,0.0,
67,1989-11-07 00:00:00+01:00,1989-11-14 00:00:00+01:00,0,0,0,0.0,
68,1989-11-14 00:00:00+01:00,1989-11-21 00:00:00+01:00,0,0,0,0.0,
69,1989-11-21 00:00:00+01:00,1989-11-28 00:00:00+01:00,0,0,0,0.0,
70,1989-11-28 00:00:00+01:00,1989-12-05 00:00:00+01:00,0,0,0,0.0,
71,1989-12-05 00:00:00+01:00,1989-12-12 00:00:00+01:00,0,0,0,0.0,
72,1989-12-12 00:00:00+01:00,1989-12-19 00:00:00+01:00,0,0,0,0.0,
73,1989-12-19 00:00:00+01:00,1989-12-26 00:00:00+01:00,0,0,0,0.0,
74,1989-12-26 00:00:00+01:00,1990-01-02 00:00:00+01:00,0,0,0,0.0,
75,1990-01-02 00:00:00+01:00,1990-01-09 00:00:00+01:00,0,0,0,0.0,
76,1990-01-09 00:00:00+01:00,1990-01-16 00:00:00+01:00,0,0,0,0.0,
77,1990-01-16 00:00:00+01:00,1990-01-23 00:00:00+01:00,0,0,0,0.0,
78,1990-01-23 00:00:00+01:00,1990-01-30 00:00:00+01:00,0,0,0,0.0,
79,1990-01-30 00:00:00+01:00,1990-02-06 00:00:00+01:00,0,0,0,0.0,
