Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2003-01-30 00:00:00+00:00,2003-02-06 00:00:00+00:00,0,0,0,0.0,
2,2003-02-06 00:00:00+00:00,2003-02-13 00:00:00+00:00,0,0,0,0.0,
3,2003-02-13 00:00:00+00:00,2003-02-20 00:00:00+00:00,0,0,0,0.0,
4,2003-02-20 00:00:00+00:00,2003-02-27 00:00:00+00:00,0,0,0,0.0,
5,2003-02-27 00:00:00+00:00,2003-03-06 00:00:00+00:00,0,0,0,0.0,
6,2003-03-06 00:00:00+00:00,2003-03-13 00:00:00+00:00,0,0,0,0.0,
7,2003-03-13 00:00:00+00:00,2003-03-20 00:00:00+00:00,0,0,0,0.0,
8,2003-03-20 00:00:00+00:00,2003-03-27 00:00:00+00:00,0,0,0,0.0,
9,2003-03-27 00:00:00+00:00,2003-04-03 00:00:00+00:00,0,0,0,0.0,
10,2003-04-03 00:00:00+00:00,2003-04-10 00:00:00+00:00,0,0,0,0.0,
11,2003-04-10 00:00:00+00:00,2003-04-17 00:00:00+00:00,0,0,0,0.0,
12,2003-04-17 00:00:00+00:00,2003-04-24 00:00:00+00:00,0,0,0,0.0,
13,2003-04-24 00:00:00+00:00,2003-05-01 00:00:00+00:00,0,0,0,0.0,
14,2003-05-01 00:00:00+00:00,2003-05-08 00:00:00+00:00,0,0,0,0.0,
15,2003-05-08 00:00:00+00:00,2003-05-15 00:00:00+00:00,1,0,1,-3.250067864860242,0.0
16,2003-05-15 00:00:00+00:00,2003-05-22 00:00:00+00:00,0,0,0,0.0,
17,2003-05-22 00:00:00+00:00,2003-05-29 00:00:00+00:00,0,0,0,0.0,
18,2003-05-29 00:00:00+00:00,2003-06-05 00:00:00+00:00,0,0,0,0.0,
19,2003-06-05 00:00:00+00:00,2003-06-12 00:00:00+00:00,0,0,0,0.0,
20,2003-06-12 00:00:00+00:00,2003-06-19 00:00:00+00:00,0,0,0,0.0,
21,2003-06-19 00:00:00+00:00,2003-06-26 00:00:00+00:00,0,0,0,0.0,
22,2003-06-26 00:00:00+00:00,2003-07-03 00:00:00+00:00,0,0,0,0.0,
23,2003-07-03 00:00:00+00:00,2003-07-10 00:00:00+00:00,0,0,0,0.0,
24,2003-07-10 00:00:00+00:00,2003-07-17 00:00:00+00:00,0,0,0,0.0,
25,2003-07-17 00:00:00+00:00,2003-07-24 00:00:00+00:00,0,0,0,0.0,
26,2003-07-24 00:00:00+00:00,2003-07-31 00:00:00+00:00,0,0,0,0.0,
27,2003-07-31 00:00:00+00:00,2003-08-07 00:00:00+00:00,0,0,0,0.0,
28,2003-08-07 00:00:00+00:00,2003-08-14 00:00:00+00:00,0,0,0,0.0,
29,2003-08-14 00:00:00+00:00,2003-08-21 00:00:00+00:00,0,0,0,0.0,
30,2003-08-21 00:00:00+00:00,2003-08-28 00:00:00+00:00,0,0,0,0.0,
31,2003-08-28 00:00:00+00:00,2003-09-04 00:00:00+00:00,0,0,0,0.0,
32,2003-09-04 00:00:00+00:00,2003-09-11 00:00:00+00:00,0,0,0,0.0,
33,2003-09-11 00:00:00+00:00,2003-09-18 00:00:00+00:00,0,0,0,0.0,
34,2003-09-18 00:00:00+00:00,2003-09-25 00:00:00+00:00,0,0,0,0.0,
35,2003-09-25 00:00:00+00:00,2003-10-02 00:00:00+00:00,0,0,0,0.0,
36,2003-10-02 00:00:00+00:00,2003-10-09 00:00:00+00:00,0,0,0,0.0,
37,2003-10-09 00:00:00+00:00,2003-10-16 00:00:00+00:00,0,0,0,0.0,
38,2003-10-16 00:00:00+00:00,2003-10-23 00:00:00+00:00,0,0,0,0.0,
39,2003-10-23 00:00:00+00:00,2003-10-30 00:00:00+00:00,0,0,0,0.0,
40,2003-10-30 00:00:00+00:00,2003-11-06 00:00:00+00:00,0,0,0,0.0,
41,2003-11-06 00:00:00+00:00,2003-11-13 00:00:00+00:00,0,0,0,0.0,
42,2003-11-13 00:00:00+00:00,2003-11-20 00:00:00+00:00,0,0,0,0.0,
43,2003-11-20 00:00:00+00:00,2003-11-27 00:00:00+00:00,0,0,0,0.0,
44,2003-11-27 00:00:00+00:00,2003-12-04 00:00:00+00:00,0,0,0,0.0,
45,2003-12-04 00:00:00+00:00,2003-12-11 00:00:00+00:00,0,0,0,0.0,
46,2003-12-11 00:00:00+00:00,2003-12-18 00:00:00+00:00,0,0,0,0.0,
47,2003-12-18 00:00:00+00:00,2003-12-25 00:00:00+00:00,0,0,0,0.0,
48,2003-12-25 00:00:00+00:00,2004-01-01 00:00:00+00:00,0,0,0,0.0,
49,2004-01-01 00:00:00+00:00,2004-01-08 00:00:00+00:00,1,1,0,10.038267969067073,100.0
50,2004-01-08 00:00:00+00:00,2004-01-15 00:00:00+00:00,0,0,0,0.0,
51,2004-01-15 00:00:00+00:00,2004-01-22 00:00:00+00:00,0,0,0,0.0,
52,2004-01-22 00:00:00+00:00,2004-01-29 00:00:00+00:00,0,0,0,0.0,
53,2004-01-29 00:00:00+00:00,2004-02-05 00:00:00+00:00,0,0,0,0.0,
54,2004-02-05 00:00:00+00:00,2004-02-12 00:00:00+00:00,0,0,0,0.0,
55,2004-02-12 00:00:00+00:00,2004-02-19 00:00:00+00:00,0,0,0,0.0,
56,2004-02-19 00:00:00+00:00,2004-02-26 00:00:00+00:00,0,0,0,0.0,
57,2004-02-26 00:00:00+00:00,2004-03-04 00:00:00+00:00,0,0,0,0.0,
58,2004-03-04 00:00:00+00:00,2004-03-11 00:00:00+00:00,0,0,0,0.0,
59,2004-03-11 00:00:00+00:00,2004-03-18 00:00:00+00:00,0,0,0,0.0,
60,2004-03-18 00:00:00+00:00,2004-03-25 00:00:00+00:00,0,0,0,0.0,
61,2004-03-25 00:00:00+00:00,2004-04-01 00:00:00+00:00,0,0,0,0.0,
62,2004-04-01 00:00:00+00:00,2004-04-08 00:00:00+00:00,0,0,0,0.0,
