Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2003-04-28 00:00:00+01:00,2003-05-05 00:00:00+01:00,0,0,0,0.0,
2,2003-05-05 00:00:00+01:00,2003-05-12 00:00:00+01:00,0,0,0,0.0,
3,2003-05-12 00:00:00+01:00,2003-05-19 00:00:00+01:00,0,0,0,0.0,
4,2003-05-19 00:00:00+01:00,2003-05-26 00:00:00+01:00,0,0,0,0.0,
5,2003-05-26 00:00:00+01:00,2003-06-02 00:00:00+01:00,0,0,0,0.0,
6,2003-06-02 00:00:00+01:00,2003-06-09 00:00:00+01:00,0,0,0,0.0,
7,2003-06-09 00:00:00+01:00,2003-06-16 00:00:00+01:00,0,0,0,0.0,
8,2003-06-16 00:00:00+01:00,2003-06-23 00:00:00+01:00,0,0,0,0.0,
9,2003-06-23 00:00:00+01:00,2003-06-30 00:00:00+01:00,0,0,0,0.0,
10,2003-06-30 00:00:00+01:00,2003-07-07 00:00:00+01:00,0,0,0,0.0,
11,2003-07-07 00:00:00+01:00,2003-07-14 00:00:00+01:00,0,0,0,0.0,
12,2003-07-14 00:00:00+01:00,2003-07-21 00:00:00+01:00,0,0,0,0.0,
13,2003-07-21 00:00:00+01:00,2003-07-28 00:00:00+01:00,0,0,0,0.0,
14,2003-07-28 00:00:00+01:00,2003-08-04 00:00:00+01:00,0,0,0,0.0,
15,2003-08-04 00:00:00+01:00,2003-08-11 00:00:00+01:00,1,1,0,25.773797248586398,100.0
16,2003-08-11 00:00:00+01:00,2003-08-18 00:00:00+01:00,1,0,0,0.0,0.0
17,2003-08-18 00:00:00+01:00,2003-08-25 00:00:00+01:00,0,0,0,0.0,
18,2003-08-25 00:00:00+01:00,2003-09-01 00:00:00+01:00,0,0,0,0.0,
19,2003-09-01 00:00:00+01:00,2003-09-08 00:00:00+01:00,0,0,0,0.0,
20,2003-09-08 00:00:00+01:00,2003-09-15 00:00:00+01:00,0,0,0,0.0,
21,2003-09-15 00:00:00+01:00,2003-09-22 00:00:00+01:00,0,0,0,0.0,
22,2003-09-22 00:00:00+01:00,2003-09-29 00:00:00+01:00,0,0,0,0.0,
23,2003-09-29 00:00:00+01:00,2003-10-06 00:00:00+01:00,0,0,0,0.0,
24,2003-10-06 00:00:00+01:00,2003-10-13 00:00:00+01:00,0,0,0,0.0,
25,2003-10-13 00:00:00+01:00,2003-10-20 00:00:00+01:00,0,0,0,0.0,
26,2003-10-20 00:00:00+01:00,2003-10-27 00:00:00+01:00,1,1,0,31.140592527374245,100.0
27,2003-10-27 00:00:00+01:00,2003-11-03 00:00:00+01:00,0,0,0,0.0,
28,2003-11-03 00:00:00+01:00,2003-11-10 00:00:00+01:00,0,0,0,0.0,
29,2003-11-10 00:00:00+01:00,2003-11-17 00:00:00+01:00,0,0,0,0.0,
30,2003-11-17 00:00:00+01:00,2003-11-24 00:00:00+01:00,0,0,0,0.0,
31,2003-11-24 00:00:00+01:00,2003-12-01 00:00:00+01:00,0,0,0,0.0,
32,2003-12-01 00:00:00+01:00,2003-12-08 00:00:00+01:00,0,0,0,0.0,
33,2003-12-08 00:00:00+01:00,2003-12-15 00:00:00+01:00,0,0,0,0.0,
34,2003-12-15 00:00:00+01:00,2003-12-22 00:00:00+01:00,0,0,0,0.0,
35,2003-12-22 00:00:00+01:00,2003-12-29 00:00:00+01:00,0,0,0,0.0,
36,2003-12-29 00:00:00+01:00,2004-01-05 00:00:00+01:00,0,0,0,0.0,
37,2004-01-05 00:00:00+01:00,2004-01-12 00:00:00+01:00,0,0,0,0.0,
38,2004-01-12 00:00:00+01:00,2004-01-19 00:00:00+01:00,1,0,0,0.0,0.0
39,2004-01-19 00:00:00+01:00,2004-01-26 00:00:00+01:00,1,0,0,0.0,0.0
40,2004-01-26 00:00:00+01:00,2004-02-02 00:00:00+01:00,0,0,0,0.0,
41,2004-02-02 00:00:00+01:00,2004-02-09 00:00:00+01:00,0,0,0,0.0,
42,2004-02-09 00:00:00+01:00,2004-02-16 00:00:00+01:00,0,0,0,0.0,
43,2004-02-16 00:00:00+01:00,2004-02-23 00:00:00+01:00,0,0,0,0.0,
44,2004-02-23 00:00:00+01:00,2004-03-01 00:00:00+01:00,1,0,0,0.0,0.0
45,2004-03-01 00:00:00+01:00,2004-03-08 00:00:00+01:00,0,0,0,0.0,
46,2004-03-08 00:00:00+01:00,2004-03-15 00:00:00+01:00,0,0,0,0.0,
47,2004-03-15 00:00:00+01:00,2004-03-22 00:00:00+01:00,0,0,0,0.0,
48,2004-03-22 00:00:00+01:00,2004-03-29 00:00:00+01:00,0,0,0,0.0,
49,2004-03-29 00:00:00+01:00,2004-04-05 00:00:00+01:00,0,0,0,0.0,
50,2004-04-05 00:00:00+01:00,2004-04-12 00:00:00+01:00,0,0,0,0.0,
51,2004-04-12 00:00:00+01:00,2004-04-19 00:00:00+01:00,0,0,0,0.0,
52,2004-04-19 00:00:00+01:00,2004-04-26 00:00:00+01:00,0,0,0,0.0,
53,2004-04-26 00:00:00+01:00,2004-05-03 00:00:00+01:00,0,0,0,0.0,
54,2004-05-03 00:00:00+01:00,2004-05-10 00:00:00+01:00,0,0,0,0.0,
55,2004-05-10 00:00:00+01:00,2004-05-17 00:00:00+01:00,0,0,0,0.0,
56,2004-05-17 00:00:00+01:00,2004-05-24 00:00:00+01:00,0,0,0,0.0,
