Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,1996-10-29 00:00:00+00:00,1996-11-05 00:00:00+00:00,0,0,0,0.0,
2,1996-11-05 00:00:00+00:00,1996-11-12 00:00:00+00:00,0,0,0,0.0,
3,1996-11-12 00:00:00+00:00,1996-11-19 00:00:00+00:00,0,0,0,0.0,
4,1996-11-19 00:00:00+00:00,1996-11-26 00:00:00+00:00,0,0,0,0.0,
5,1996-11-26 00:00:00+00:00,1996-12-03 00:00:00+00:00,0,0,0,0.0,
6,1996-12-03 00:00:00+00:00,1996-12-10 00:00:00+00:00,0,0,0,0.0,
7,1996-12-10 00:00:00+00:00,1996-12-17 00:00:00+00:00,0,0,0,0.0,
8,1996-12-17 00:00:00+00:00,1996-12-24 00:00:00+00:00,0,0,0,0.0,
9,1996-12-24 00:00:00+00:00,1996-12-31 00:00:00+00:00,0,0,0,0.0,
10,1996-12-31 00:00:00+00:00,1997-01-07 00:00:00+00:00,0,0,0,0.0,
11,1997-01-07 00:00:00+00:00,1997-01-14 00:00:00+00:00,0,0,0,0.0,
12,1997-01-14 00:00:00+00:00,1997-01-21 00:00:00+00:00,0,0,0,0.0,
13,1997-01-21 00:00:00+00:00,1997-01-28 00:00:00+00:00,0,0,0,0.0,
14,1997-01-28 00:00:00+00:00,1997-02-04 00:00:00+00:00,0,0,0,0.0,
15,1997-02-04 00:00:00+00:00,1997-02-11 00:00:00+00:00,1,0,1,-2.0608756103515624,0.0
16,1997-02-11 00:00:00+00:00,1997-02-18 00:00:00+00:00,0,0,0,0.0,
17,1997-02-18 00:00:00+00:00,1997-02-25 00:00:00+00:00,0,0,0,0.0,
18,1997-02-25 00:00:00+00:00,1997-03-04 00:00:00+00:00,0,0,0,0.0,
19,1997-03-04 00:00:00+00:00,1997-03-11 00:00:00+00:00,0,0,0,0.0,
20,1997-03-11 00:00:00+00:00,1997-03-18 00:00:00+00:00,0,0,0,0.0,
21,1997-03-18 00:00:00+00:00,1997-03-25 00:00:00+00:00,0,0,0,0.0,
22,1997-03-25 00:00:00+00:00,1997-04-01 00:00:00+00:00,1,1,0,4.22753759765625,100.0
23,1997-04-01 00:00:00+00:00,1997-04-08 00:00:00+00:00,0,0,0,0.0,
24,1997-04-08 00:00:00+00:00,1997-04-15 00:00:00+00:00,0,0,0,0.0,
25,1997-04-15 00:00:00+00:00,1997-04-22 00:00:00+00:00,0,0,0,0.0,
26,1997-04-22 00:00:00+00:00,1997-04-29 00:00:00+00:00,0,0,0,0.0,
27,1997-04-29 00:00:00+00:00,1997-05-06 00:00:00+00:00,0,0,0,0.0,
28,1997-05-06 00:00:00+00:00,1997-05-13 00:00:00+00:00,0,0,0,0.0,
29,1997-05-13 00:00:00+00:00,1997-05-20 00:00:00+00:00,0,0,0,0.0,
30,1997-05-20 00:00:00+00:00,1997-05-27 00:00:00+00:00,0,0,0,0.0,
31,1997-05-27 00:00:00+00:00,1997-06-03 00:00:00+00:00,1,0,0,0.0,0.0
32,1997-06-03 00:00:00+00:00,1997-06-10 00:00:00+00:00,0,0,0,0.0,
