Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2019-11-18 00:00:00+00:00,2019-11-25 00:00:00+00:00,1,0,1,-5.739441405920325,0.0
2,2019-11-25 00:00:00+00:00,2019-12-02 00:00:00+00:00,1,0,0,0.0,0.0
3,2019-12-02 00:00:00+00:00,2019-12-09 00:00:00+00:00,0,0,0,0.0,
4,2019-12-09 00:00:00+00:00,2019-12-16 00:00:00+00:00,0,0,0,0.0,
5,2019-12-16 00:00:00+00:00,2019-12-23 00:00:00+00:00,0,0,0,0.0,
6,2019-12-23 00:00:00+00:00,2019-12-30 00:00:00+00:00,0,0,0,0.0,
7,2019-12-30 00:00:00+00:00,2020-01-06 00:00:00+00:00,0,0,0,0.0,
8,2020-01-06 00:00:00+00:00,2020-01-13 00:00:00+00:00,0,0,0,0.0,
9,2020-01-13 00:00:00+00:00,2020-01-20 00:00:00+00:00,0,0,0,0.0,
10,2020-01-20 00:00:00+00:00,2020-01-27 00:00:00+00:00,0,0,0,0.0,
11,2020-01-27 00:00:00+00:00,2020-02-03 00:00:00+00:00,0,0,0,0.0,
12,2020-02-03 00:00:00+00:00,2020-02-10 00:00:00+00:00,0,0,0,0.0,
13,2020-02-10 00:00:00+00:00,2020-02-17 00:00:00+00:00,0,0,0,0.0,
14,2020-02-17 00:00:00+00:00,2020-02-24 00:00:00+00:00,1,0,1,-6.93965078090721,0.0
15,2020-02-24 00:00:00+00:00,2020-03-02 00:00:00+00:00,1,1,0,9.405554535264088,100.0
16,2020-03-02 00:00:00+00:00,2020-03-09 00:00:00+00:00,0,0,0,0.0,
17,2020-03-09 00:00:00+00:00,2020-03-16 00:00:00+00:00,0,0,0,0.0,
18,2020-03-16 00:00:00+00:00,2020-03-23 00:00:00+00:00,0,0,0,0.0,
19,2020-03-23 00:00:00+00:00,2020-03-30 00:00:00+00:00,0,0,0,0.0,
20,2020-03-30 00:00:00+00:00,2020-04-06 00:00:00+00:00,0,0,0,0.0,
21,2020-04-06 00:00:00+00:00,2020-04-13 00:00:00+00:00,0,0,0,0.0,
22,2020-04-13 00:00:00+00:00,2020-04-20 00:00:00+00:00,0,0,0,0.0,
23,2020-04-20 00:00:00+00:00,2020-04-27 00:00:00+00:00,0,0,0,0.0,
24,2020-04-27 00:00:00+00:00,2020-05-04 00:00:00+00:00,0,0,0,0.0,
25,2020-05-04 00:00:00+00:00,2020-05-11 00:00:00+00:00,0,0,0,0.0,
26,2020-05-11 00:00:00+00:00,2020-05-18 00:00:00+00:00,0,0,0,0.0,
27,2020-05-18 00:00:00+00:00,2020-05-25 00:00:00+00:00,0,0,0,0.0,
28,2020-05-25 00:00:00+00:00,2020-06-01 00:00:00+00:00,0,0,0,0.0,
29,2020-06-01 00:00:00+00:00,2020-06-08 00:00:00+00:00,0,0,0,0.0,
30,2020-06-08 00:00:00+00:00,2020-06-15 00:00:00+00:00,1,0,1,-5.520805748524845,0.0
31,2020-06-15 00:00:00+00:00,2020-06-22 00:00:00+00:00,0,0,0,0.0,
32,2020-06-22 00:00:00+00:00,2020-06-29 00:00:00+00:00,0,0,0,0.0,
33,2020-06-29 00:00:00+00:00,2020-07-06 00:00:00+00:00,0,0,0,0.0,
34,2020-07-06 00:00:00+00:00,2020-07-13 00:00:00+00:00,0,0,0,0.0,
35,2020-07-13 00:00:00+00:00,2020-07-20 00:00:00+00:00,0,0,0,0.0,
36,2020-07-20 00:00:00+00:00,2020-07-27 00:00:00+00:00,0,0,0,0.0,
37,2020-07-27 00:00:00+00:00,2020-08-03 00:00:00+00:00,0,0,0,0.0,
38,2020-08-03 00:00:00+00:00,2020-08-10 00:00:00+00:00,0,0,0,0.0,
39,2020-08-10 00:00:00+00:00,2020-08-17 00:00:00+00:00,0,0,0,0.0,
40,2020-08-17 00:00:00+00:00,2020-08-24 00:00:00+00:00,0,0,0,0.0,
41,2020-08-24 00:00:00+00:00,2020-08-31 00:00:00+00:00,0,0,0,0.0,
42,2020-08-31 00:00:00+00:00,2020-09-07 00:00:00+00:00,0,0,0,0.0,
43,2020-09-07 00:00:00+00:00,2020-09-14 00:00:00+00:00,0,0,0,0.0,
44,2020-09-14 00:00:00+00:00,2020-09-21 00:00:00+00:00,0,0,0,0.0,
45,2020-09-21 00:00:00+00:00,2020-09-28 00:00:00+00:00,0,0,0,0.0,
46,2020-09-28 00:00:00+00:00,2020-10-05 00:00:00+00:00,0,0,0,0.0,
47,2020-10-05 00:00:00+00:00,2020-10-12 00:00:00+00:00,1,0,1,-8.724705317338023,0.0
48,2020-10-12 00:00:00+00:00,2020-10-19 00:00:00+00:00,0,0,0,0.0,
49,2020-10-19 00:00:00+00:00,2020-10-26 00:00:00+00:00,0,0,0,0.0,
50,2020-10-26 00:00:00+00:00,2020-11-02 00:00:00+00:00,0,0,0,0.0,
51,2020-11-02 00:00:00+00:00,2020-11-09 00:00:00+00:00,0,0,0,0.0,
52,2020-11-09 00:00:00+00:00,2020-11-16 00:00:00+00:00,0,0,0,0.0,
53,2020-11-16 00:00:00+00:00,2020-11-23 00:00:00+00:00,0,0,0,0.0,
54,2020-11-23 00:00:00+00:00,2020-11-30 00:00:00+00:00,0,0,0,0.0,
55,2020-11-30 00:00:00+00:00,2020-12-07 00:00:00+00:00,0,0,0,0.0,
56,2020-12-07 00:00:00+00:00,2020-12-14 00:00:00+00:00,0,0,0,0.0,
57,2020-12-14 00:00:00+00:00,2020-12-21 00:00:00+00:00,1,0,1,-7.44646486185205,0.0
58,2020-12-21 00:00:00+00:00,2020-12-28 00:00:00+00:00,1,0,0,0.0,0.0
59,2020-12-28 00:00:00+00:00,2021-01-04 00:00:00+00:00,0,0,0,0.0,
60,2021-01-04 00:00:00+00:00,2021-01-11 00:00:00+00:00,0,0,0,0.0,
61,2021-01-11 00:00:00+00:00,2021-01-18 00:00:00+00:00,0,0,0,0.0,
62,2021-01-18 00:00:00+00:00,2021-01-25 00:00:00+00:00,0,0,0,0.0,
63,2021-01-25 00:00:00+00:00,2021-02-01 00:00:00+00:00,0,0,0,0.0,
64,2021-02-01 00:00:00+00:00,2021-02-08 00:00:00+00:00,0,0,0,0.0,
65,2021-02-08 00:00:00+00:00,2021-02-15 00:00:00+00:00,0,0,0,0.0,
66,2021-02-15 00:00:00+00:00,2021-02-22 00:00:00+00:00,1,1,0,46.62854918982206,100.0
67,2021-02-22 00:00:00+00:00,2021-03-01 00:00:00+00:00,0,0,0,0.0,
68,2021-03-01 00:00:00+00:00,2021-03-08 00:00:00+00:00,0,0,0,0.0,
69,2021-03-08 00:00:00+00:00,2021-03-15 00:00:00+00:00,0,0,0,0.0,
70,2021-03-15 00:00:00+00:00,2021-03-22 00:00:00+00:00,0,0,0,0.0,
71,2021-03-22 00:00:00+00:00,2021-03-29 00:00:00+00:00,0,0,0,0.0,
72,2021-03-29 00:00:00+00:00,2021-04-05 00:00:00+00:00,0,0,0,0.0,
73,2021-04-05 00:00:00+00:00,2021-04-12 00:00:00+00:00,0,0,0,0.0,
74,2021-04-12 00:00:00+00:00,2021-04-19 00:00:00+00:00,1,0,1,-4.804031829487371,0.0
75,2021-04-19 00:00:00+00:00,2021-04-26 00:00:00+00:00,0,0,0,0.0,
76,2021-04-26 00:00:00+00:00,2021-05-03 00:00:00+00:00,0,0,0,0.0,
77,2021-05-03 00:00:00+00:00,2021-05-10 00:00:00+00:00,0,0,0,0.0,
