Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2003-11-25 00:00:00+00:00,2003-12-02 00:00:00+00:00,0,0,0,0.0,
2,2003-12-02 00:00:00+00:00,2003-12-09 00:00:00+00:00,0,0,0,0.0,
3,2003-12-09 00:00:00+00:00,2003-12-16 00:00:00+00:00,0,0,0,0.0,
4,2003-12-16 00:00:00+00:00,2003-12-23 00:00:00+00:00,0,0,0,0.0,
5,2003-12-23 00:00:00+00:00,2003-12-30 00:00:00+00:00,0,0,0,0.0,
6,2003-12-30 00:00:00+00:00,2004-01-06 00:00:00+00:00,0,0,0,0.0,
7,2004-01-06 00:00:00+00:00,2004-01-13 00:00:00+00:00,0,0,0,0.0,
8,2004-01-13 00:00:00+00:00,2004-01-20 00:00:00+00:00,0,0,0,0.0,
9,2004-01-20 00:00:00+00:00,2004-01-27 00:00:00+00:00,0,0,0,0.0,
10,2004-01-27 00:00:00+00:00,2004-02-03 00:00:00+00:00,0,0,0,0.0,
11,2004-02-03 00:00:00+00:00,2004-02-10 00:00:00+00:00,0,0,0,0.0,
12,2004-02-10 00:00:00+00:00,2004-02-17 00:00:00+00:00,0,0,0,0.0,
13,2004-02-17 00:00:00+00:00,2004-02-24 00:00:00+00:00,0,0,0,0.0,
14,2004-02-24 00:00:00+00:00,2004-03-02 00:00:00+00:00,0,0,0,0.0,
15,2004-03-02 00:00:00+00:00,2004-03-09 00:00:00+00:00,0,0,0,0.0,
16,2004-03-09 00:00:00+00:00,2004-03-16 00:00:00+00:00,0,0,0,0.0,
17,2004-03-16 00:00:00+00:00,2004-03-23 00:00:00+00:00,0,0,0,0.0,
18,2004-03-23 00:00:00+00:00,2004-03-30 00:00:00+00:00,0,0,0,0.0,
19,2004-03-30 00:00:00+00:00,2004-04-06 00:00:00+00:00,0,0,0,0.0,
20,2004-04-06 00:00:00+00:00,2004-04-13 00:00:00+00:00,0,0,0,0.0,
21,2004-04-13 00:00:00+00:00,2004-04-20 00:00:00+00:00,0,0,0,0.0,
22,2004-04-20 00:00:00+00:00,2004-04-27 00:00:00+00:00,0,0,0,0.0,
23,2004-04-27 00:00:00+00:00,2004-05-04 00:00:00+00:00,0,0,0,0.0,
24,2004-05-04 00:00:00+00:00,2004-05-11 00:00:00+00:00,0,0,0,0.0,
25,2004-05-11 00:00:00+00:00,2004-05-18 00:00:00+00:00,0,0,0,0.0,
26,2004-05-18 00:00:00+00:00,2004-05-25 00:00:00+00:00,0,0,0,0.0,
27,2004-05-25 00:00:00+00:00,2004-06-01 00:00:00+00:00,0,0,0,0.0,
28,2004-06-01 00:00:00+00:00,2004-06-08 00:00:00+00:00,0,0,0,0.0,
29,2004-06-08 00:00:00+00:00,2004-06-15 00:00:00+00:00,0,0,0,0.0,
30,2004-06-15 00:00:00+00:00,2004-06-22 00:00:00+00:00,0,0,0,0.0,
31,2004-06-22 00:00:00+00:00,2004-06-29 00:00:00+00:00,0,0,0,0.0,
32,2004-06-29 00:00:00+00:00,2004-07-06 00:00:00+00:00,0,0,0,0.0,
33,2004-07-06 00:00:00+00:00,2004-07-13 00:00:00+00:00,0,0,0,0.0,
34,2004-07-13 00:00:00+00:00,2004-07-20 00:00:00+00:00,0,0,0,0.0,
35,2004-07-20 00:00:00+00:00,2004-07-27 00:00:00+00:00,0,0,0,0.0,
36,2004-07-27 00:00:00+00:00,2004-08-03 00:00:00+00:00,0,0,0,0.0,
37,2004-08-03 00:00:00+00:00,2004-08-10 00:00:00+00:00,0,0,0,0.0,
38,2004-08-10 00:00:00+00:00,2004-08-17 00:00:00+00:00,0,0,0,0.0,
39,2004-08-17 00:00:00+00:00,2004-08-24 00:00:00+00:00,0,0,0,0.0,
40,2004-08-24 00:00:00+00:00,2004-08-31 00:00:00+00:00,0,0,0,0.0,
41,2004-08-31 00:00:00+00:00,2004-09-07 00:00:00+00:00,0,0,0,0.0,
42,2004-09-07 00:00:00+00:00,2004-09-14 00:00:00+00:00,0,0,0,0.0,
43,2004-09-14 00:00:00+00:00,2004-09-21 00:00:00+00:00,0,0,0,0.0,
44,2004-09-21 00:00:00+00:00,2004-09-28 00:00:00+00:00,0,0,0,0.0,
45,2004-09-28 00:00:00+00:00,2004-10-05 00:00:00+00:00,0,0,0,0.0,
46,2004-10-05 00:00:00+00:00,2004-10-12 00:00:00+00:00,0,0,0,0.0,
47,2004-10-12 00:00:00+00:00,2004-10-19 00:00:00+00:00,0,0,0,0.0,
48,2004-10-19 00:00:00+00:00,2004-10-26 00:00:00+00:00,0,0,0,0.0,
49,2004-10-26 00:00:00+00:00,2004-11-02 00:00:00+00:00,0,0,0,0.0,
50,2004-11-02 00:00:00+00:00,2004-11-09 00:00:00+00:00,0,0,0,0.0,
51,2004-11-09 00:00:00+00:00,2004-11-16 00:00:00+00:00,0,0,0,0.0,
52,2004-11-16 00:00:00+00:00,2004-11-23 00:00:00+00:00,0,0,0,0.0,
53,2004-11-23 00:00:00+00:00,2004-11-30 00:00:00+00:00,0,0,0,0.0,
