Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,1996-01-08 00:00:00+00:00,1996-01-15 00:00:00+00:00,0,0,0,0.0,
2,1996-01-15 00:00:00+00:00,1996-01-22 00:00:00+00:00,0,0,0,0.0,
3,1996-01-22 00:00:00+00:00,1996-01-29 00:00:00+00:00,0,0,0,0.0,
4,1996-01-29 00:00:00+00:00,1996-02-05 00:00:00+00:00,0,0,0,0.0,
5,1996-02-05 00:00:00+00:00,1996-02-12 00:00:00+00:00,0,0,0,0.0,
6,1996-02-12 00:00:00+00:00,1996-02-19 00:00:00+00:00,0,0,0,0.0,
7,1996-02-19 00:00:00+00:00,1996-02-26 00:00:00+00:00,0,0,0,0.0,
8,1996-02-26 00:00:00+00:00,1996-03-04 00:00:00+00:00,0,0,0,0.0,
9,1996-03-04 00:00:00+00:00,1996-03-11 00:00:00+00:00,0,0,0,0.0,
10,1996-03-11 00:00:00+00:00,1996-03-18 00:00:00+00:00,1,1,0,2.698397315979004,100.0
11,1996-03-18 00:00:00+00:00,1996-03-25 00:00:00+00:00,0,0,0,0.0,
12,1996-03-25 00:00:00+00:00,1996-04-01 00:00:00+00:00,0,0,0,0.0,
13,1996-04-01 00:00:00+00:00,1996-04-08 00:00:00+00:00,0,0,0,0.0,
14,1996-04-08 00:00:00+00:00,1996-04-15 00:00:00+00:00,0,0,0,0.0,
15,1996-04-15 00:00:00+00:00,1996-04-22 00:00:00+00:00,0,0,0,0.0,
16,1996-04-22 00:00:00+00:00,1996-04-29 00:00:00+00:00,0,0,0,0.0,
17,1996-04-29 00:00:00+00:00,1996-05-06 00:00:00+00:00,1,0,0,0.0,0.0
18,1996-05-06 00:00:00+00:00,1996-05-13 00:00:00+00:00,0,0,0,0.0,
19,1996-05-13 00:00:00+00:00,1996-05-20 00:00:00+00:00,0,0,0,0.0,
20,1996-05-20 00:00:00+00:00,1996-05-27 00:00:00+00:00,0,0,0,0.0,
21,1996-05-27 00:00:00+00:00,1996-06-03 00:00:00+00:00,0,0,0,0.0,
22,1996-06-03 00:00:00+00:00,1996-06-10 00:00:00+00:00,0,0,0,0.0,
23,1996-06-10 00:00:00+00:00,1996-06-17 00:00:00+00:00,0,0,0,0.0,
24,1996-06-17 00:00:00+00:00,1996-06-24 00:00:00+00:00,0,0,0,0.0,
25,1996-06-24 00:00:00+00:00,1996-07-01 00:00:00+00:00,0,0,0,0.0,
26,1996-07-01 00:00:00+00:00,1996-07-08 00:00:00+00:00,0,0,0,0.0,
27,1996-07-08 00:00:00+00:00,1996-07-15 00:00:00+00:00,0,0,0,0.0,
28,1996-07-15 00:00:00+00:00,1996-07-22 00:00:00+00:00,0,0,0,0.0,
29,1996-07-22 00:00:00+00:00,1996-07-29 00:00:00+00:00,0,0,0,0.0,
30,1996-07-29 00:00:00+00:00,1996-08-05 00:00:00+00:00,0,0,0,0.0,
31,1996-08-05 00:00:00+00:00,1996-08-12 00:00:00+00:00,0,0,0,0.0,
