Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2011-11-25 00:00:00+00:00,2011-12-02 00:00:00+00:00,0,0,0,0.0,
2,2011-12-02 00:00:00+00:00,2011-12-09 00:00:00+00:00,0,0,0,0.0,
3,2011-12-09 00:00:00+00:00,2011-12-16 00:00:00+00:00,0,0,0,0.0,
4,2011-12-16 00:00:00+00:00,2011-12-23 00:00:00+00:00,0,0,0,0.0,
5,2011-12-23 00:00:00+00:00,2011-12-30 00:00:00+00:00,0,0,0,0.0,
6,2011-12-30 00:00:00+00:00,2012-01-06 00:00:00+00:00,0,0,0,0.0,
7,2012-01-06 00:00:00+00:00,2012-01-13 00:00:00+00:00,0,0,0,0.0,
8,2012-01-13 00:00:00+00:00,2012-01-20 00:00:00+00:00,0,0,0,0.0,
9,2012-01-20 00:00:00+00:00,2012-01-27 00:00:00+00:00,0,0,0,0.0,
10,2012-01-27 00:00:00+00:00,2012-02-03 00:00:00+00:00,0,0,0,0.0,
11,2012-02-03 00:00:00+00:00,2012-02-10 00:00:00+00:00,0,0,0,0.0,
12,2012-02-10 00:00:00+00:00,2012-02-17 00:00:00+00:00,0,0,0,0.0,
13,2012-02-17 00:00:00+00:00,2012-02-24 00:00:00+00:00,0,0,0,0.0,
14,2012-02-24 00:00:00+00:00,2012-03-02 00:00:00+00:00,0,0,0,0.0,
15,2012-03-02 00:00:00+00:00,2012-03-09 00:00:00+00:00,0,0,0,0.0,
16,2012-03-09 00:00:00+00:00,2012-03-16 00:00:00+00:00,0,0,0,0.0,
17,2012-03-16 00:00:00+00:00,2012-03-23 00:00:00+00:00,0,0,0,0.0,
18,2012-03-23 00:00:00+00:00,2012-03-30 00:00:00+00:00,0,0,0,0.0,
19,2012-03-30 00:00:00+00:00,2012-04-06 00:00:00+00:00,0,0,0,0.0,
20,2012-04-06 00:00:00+00:00,2012-04-13 00:00:00+00:00,0,0,0,0.0,
21,2012-04-13 00:00:00+00:00,2012-04-20 00:00:00+00:00,0,0,0,0.0,
22,2012-04-20 00:00:00+00:00,2012-04-27 00:00:00+00:00,0,0,0,0.0,
23,2012-04-27 00:00:00+00:00,2012-05-04 00:00:00+00:00,0,0,0,0.0,
24,2012-05-04 00:00:00+00:00,2012-05-11 00:00:00+00:00,0,0,0,0.0,
25,2012-05-11 00:00:00+00:00,2012-05-18 00:00:00+00:00,0,0,0,0.0,
26,2012-05-18 00:00:00+00:00,2012-05-25 00:00:00+00:00,0,0,0,0.0,
27,2012-05-25 00:00:00+00:00,2012-06-01 00:00:00+00:00,0,0,0,0.0,
28,2012-06-01 00:00:00+00:00,2012-06-08 00:00:00+00:00,0,0,0,0.0,
29,2012-06-08 00:00:00+00:00,2012-06-15 00:00:00+00:00,0,0,0,0.0,
30,2012-06-15 00:00:00+00:00,2012-06-22 00:00:00+00:00,0,0,0,0.0,
31,2012-06-22 00:00:00+00:00,2012-06-29 00:00:00+00:00,0,0,0,0.0,
32,2012-06-29 00:00:00+00:00,2012-07-06 00:00:00+00:00,0,0,0,0.0,
33,2012-07-06 00:00:00+00:00,2012-07-13 00:00:00+00:00,0,0,0,0.0,
34,2012-07-13 00:00:00+00:00,2012-07-20 00:00:00+00:00,0,0,0,0.0,
35,2012-07-20 00:00:00+00:00,2012-07-27 00:00:00+00:00,0,0,0,0.0,
36,2012-07-27 00:00:00+00:00,2012-08-03 00:00:00+00:00,0,0,0,0.0,
37,2012-08-03 00:00:00+00:00,2012-08-10 00:00:00+00:00,0,0,0,0.0,
38,2012-08-10 00:00:00+00:00,2012-08-17 00:00:00+00:00,0,0,0,0.0,
39,2012-08-17 00:00:00+00:00,2012-08-24 00:00:00+00:00,0,0,0,0.0,
40,2012-08-24 00:00:00+00:00,2012-08-31 00:00:00+00:00,0,0,0,0.0,
41,2012-08-31 00:00:00+00:00,2012-09-07 00:00:00+00:00,0,0,0,0.0,
42,2012-09-07 00:00:00+00:00,2012-09-14 00:00:00+00:00,1,0,1,-37.15179783512035,0.0
43,2012-09-14 00:00:00+00:00,2012-09-21 00:00:00+00:00,0,0,0,0.0,
44,2012-09-21 00:00:00+00:00,2012-09-28 00:00:00+00:00,0,0,0,0.0,
45,2012-09-28 00:00:00+00:00,2012-10-05 00:00:00+00:00,0,0,0,0.0,
46,2012-10-05 00:00:00+00:00,2012-10-12 00:00:00+00:00,0,0,0,0.0,
47,2012-10-12 00:00:00+00:00,2012-10-19 00:00:00+00:00,0,0,0,0.0,
48,2012-10-19 00:00:00+00:00,2012-10-26 00:00:00+00:00,0,0,0,0.0,
49,2012-10-26 00:00:00+00:00,2012-11-02 00:00:00+00:00,0,0,0,0.0,
