Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2006-04-07 00:00:00+01:00,2006-04-14 00:00:00+01:00,0,0,0,0.0,
2,2006-04-14 00:00:00+01:00,2006-04-21 00:00:00+01:00,0,0,0,0.0,
3,2006-04-21 00:00:00+01:00,2006-04-28 00:00:00+01:00,0,0,0,0.0,
4,2006-04-28 00:00:00+01:00,2006-05-05 00:00:00+01:00,0,0,0,0.0,
5,2006-05-05 00:00:00+01:00,2006-05-12 00:00:00+01:00,0,0,0,0.0,
6,2006-05-12 00:00:00+01:00,2006-05-19 00:00:00+01:00,0,0,0,0.0,
7,2006-05-19 00:00:00+01:00,2006-05-26 00:00:00+01:00,0,0,0,0.0,
8,2006-05-26 00:00:00+01:00,2006-06-02 00:00:00+01:00,0,0,0,0.0,
9,2006-06-02 00:00:00+01:00,2006-06-09 00:00:00+01:00,0,0,0,0.0,
10,2006-06-09 00:00:00+01:00,2006-06-16 00:00:00+01:00,0,0,0,0.0,
11,2006-06-16 00:00:00+01:00,2006-06-23 00:00:00+01:00,0,0,0,0.0,
12,2006-06-23 00:00:00+01:00,2006-06-30 00:00:00+01:00,0,0,0,0.0,
13,2006-06-30 00:00:00+01:00,2006-07-07 00:00:00+01:00,0,0,0,0.0,
14,2006-07-07 00:00:00+01:00,2006-07-14 00:00:00+01:00,1,1,0,1.6727881891601732,100.0
15,2006-07-14 00:00:00+01:00,2006-07-21 00:00:00+01:00,0,0,0,0.0,
16,2006-07-21 00:00:00+01:00,2006-07-28 00:00:00+01:00,0,0,0,0.0,
17,2006-07-28 00:00:00+01:00,2006-08-04 00:00:00+01:00,0,0,0,0.0,
18,2006-08-04 00:00:00+01:00,2006-08-11 00:00:00+01:00,0,0,0,0.0,
19,2006-08-11 00:00:00+01:00,2006-08-18 00:00:00+01:00,0,0,0,0.0,
20,2006-08-18 00:00:00+01:00,2006-08-25 00:00:00+01:00,0,0,0,0.0,
21,2006-08-25 00:00:00+01:00,2006-09-01 00:00:00+01:00,0,0,0,0.0,
22,2006-09-01 00:00:00+01:00,2006-09-08 00:00:00+01:00,0,0,0,0.0,
23,2006-09-08 00:00:00+01:00,2006-09-15 00:00:00+01:00,0,0,0,0.0,
24,2006-09-15 00:00:00+01:00,2006-09-22 00:00:00+01:00,0,0,0,0.0,
25,2006-09-22 00:00:00+01:00,2006-09-29 00:00:00+01:00,0,0,0,0.0,
26,2006-09-29 00:00:00+01:00,2006-10-06 00:00:00+01:00,0,0,0,0.0,
27,2006-10-06 00:00:00+01:00,2006-10-13 00:00:00+01:00,0,0,0,0.0,
28,2006-10-13 00:00:00+01:00,2006-10-20 00:00:00+01:00,0,0,0,0.0,
29,2006-10-20 00:00:00+01:00,2006-10-27 00:00:00+01:00,0,0,0,0.0,
30,2006-10-27 00:00:00+01:00,2006-11-03 00:00:00+01:00,0,0,0,0.0,
31,2006-11-03 00:00:00+01:00,2006-11-10 00:00:00+01:00,0,0,0,0.0,
32,2006-11-10 00:00:00+01:00,2006-11-17 00:00:00+01:00,0,0,0,0.0,
33,2006-11-17 00:00:00+01:00,2006-11-24 00:00:00+01:00,1,1,0,1.905392480404741,100.0
34,2006-11-24 00:00:00+01:00,2006-12-01 00:00:00+01:00,0,0,0,0.0,
35,2006-12-01 00:00:00+01:00,2006-12-08 00:00:00+01:00,0,0,0,0.0,
36,2006-12-08 00:00:00+01:00,2006-12-15 00:00:00+01:00,0,0,0,0.0,
37,2006-12-15 00:00:00+01:00,2006-12-22 00:00:00+01:00,0,0,0,0.0,
38,2006-12-22 00:00:00+01:00,2006-12-29 00:00:00+01:00,0,0,0,0.0,
39,2006-12-29 00:00:00+01:00,2007-01-05 00:00:00+01:00,0,0,0,0.0,
40,2007-01-05 00:00:00+01:00,2007-01-12 00:00:00+01:00,0,0,0,0.0,
41,2007-01-12 00:00:00+01:00,2007-01-19 00:00:00+01:00,0,0,0,0.0,
42,2007-01-19 00:00:00+01:00,2007-01-26 00:00:00+01:00,0,0,0,0.0,
43,2007-01-26 00:00:00+01:00,2007-02-02 00:00:00+01:00,0,0,0,0.0,
44,2007-02-02 00:00:00+01:00,2007-02-09 00:00:00+01:00,0,0,0,0.0,
45,2007-02-09 00:00:00+01:00,2007-02-16 00:00:00+01:00,1,0,1,-1.0566885136034525,0.0
46,2007-02-16 00:00:00+01:00,2007-02-23 00:00:00+01:00,0,0,0,0.0,
47,2007-02-23 00:00:00+01:00,2007-03-02 00:00:00+01:00,0,0,0,0.0,
48,2007-03-02 00:00:00+01:00,2007-03-09 00:00:00+01:00,0,0,0,0.0,
49,2007-03-09 00:00:00+01:00,2007-03-16 00:00:00+01:00,0,0,0,0.0,
50,2007-03-16 00:00:00+01:00,2007-03-23 00:00:00+01:00,0,0,0,0.0,
51,2007-03-23 00:00:00+01:00,2007-03-30 00:00:00+01:00,0,0,0,0.0,
52,2007-03-30 00:00:00+01:00,2007-04-06 00:00:00+01:00,1,0,1,-1.3114329840601302,0.0
53,2007-04-06 00:00:00+01:00,2007-04-13 00:00:00+01:00,0,0,0,0.0,
54,2007-04-13 00:00:00+01:00,2007-04-20 00:00:00+01:00,0,0,0,0.0,
55,2007-04-20 00:00:00+01:00,2007-04-27 00:00:00+01:00,0,0,0,0.0,
