Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,1991-07-15 00:00:00+01:00,1991-07-22 00:00:00+01:00,0,0,0,0.0,
2,1991-07-22 00:00:00+01:00,1991-07-29 00:00:00+01:00,0,0,0,0.0,
3,1991-07-29 00:00:00+01:00,1991-08-05 00:00:00+01:00,0,0,0,0.0,
4,1991-08-05 00:00:00+01:00,1991-08-12 00:00:00+01:00,0,0,0,0.0,
5,1991-08-12 00:00:00+01:00,1991-08-19 00:00:00+01:00,0,0,0,0.0,
6,1991-08-19 00:00:00+01:00,1991-08-26 00:00:00+01:00,0,0,0,0.0,
7,1991-08-26 00:00:00+01:00,1991-09-02 00:00:00+01:00,0,0,0,0.0,
8,1991-09-02 00:00:00+01:00,1991-09-09 00:00:00+01:00,0,0,0,0.0,
9,1991-09-09 00:00:00+01:00,1991-09-16 00:00:00+01:00,0,0,0,0.0,
10,1991-09-16 00:00:00+01:00,1991-09-23 00:00:00+01:00,0,0,0,0.0,
11,1991-09-23 00:00:00+01:00,1991-09-30 00:00:00+01:00,0,0,0,0.0,
12,1991-09-30 00:00:00+01:00,1991-10-07 00:00:00+01:00,0,0,0,0.0,
13,1991-10-07 00:00:00+01:00,1991-10-14 00:00:00+01:00,0,0,0,0.0,
14,1991-10-14 00:00:00+01:00,1991-10-21 00:00:00+01:00,0,0,0,0.0,
15,1991-10-21 00:00:00+01:00,1991-10-28 00:00:00+01:00,0,0,0,0.0,
16,1991-10-28 00:00:00+01:00,1991-11-04 00:00:00+01:00,0,0,0,0.0,
17,1991-11-04 00:00:00+01:00,1991-11-11 00:00:00+01:00,0,0,0,0.0,
18,1991-11-11 00:00:00+01:00,1991-11-18 00:00:00+01:00,0,0,0,0.0,
19,1991-11-18 00:00:00+01:00,1991-11-25 00:00:00+01:00,1,1,0,2.8702773056030204,100.0
20,1991-11-25 00:00:00+01:00,1991-12-02 00:00:00+01:00,0,0,0,0.0,
21,1991-12-02 00:00:00+01:00,1991-12-09 00:00:00+01:00,0,0,0,0.0,
22,1991-12-09 00:00:00+01:00,1991-12-16 00:00:00+01:00,0,0,0,0.0,
23,1991-12-16 00:00:00+01:00,1991-12-23 00:00:00+01:00,0,0,0,0.0,
24,1991-12-23 00:00:00+01:00,1991-12-30 00:00:00+01:00,0,0,0,0.0,
25,1991-12-30 00:00:00+01:00,1992-01-06 00:00:00+01:00,0,0,0,0.0,
26,1992-01-06 00:00:00+01:00,1992-01-13 00:00:00+01:00,0,0,0,0.0,
27,1992-01-13 00:00:00+01:00,1992-01-20 00:00:00+01:00,0,0,0,0.0,
28,1992-01-20 00:00:00+01:00,1992-01-27 00:00:00+01:00,0,0,0,0.0,
29,1992-01-27 00:00:00+01:00,1992-02-03 00:00:00+01:00,0,0,0,0.0,
30,1992-02-03 00:00:00+01:00,1992-02-10 00:00:00+01:00,0,0,0,0.0,
31,1992-02-10 00:00:00+01:00,1992-02-17 00:00:00+01:00,0,0,0,0.0,
32,1992-02-17 00:00:00+01:00,1992-02-24 00:00:00+01:00,0,0,0,0.0,
33,1992-02-24 00:00:00+01:00,1992-03-02 00:00:00+01:00,0,0,0,0.0,
34,1992-03-02 00:00:00+01:00,1992-03-09 00:00:00+01:00,0,0,0,0.0,
35,1992-03-09 00:00:00+01:00,1992-03-16 00:00:00+01:00,0,0,0,0.0,
36,1992-03-16 00:00:00+01:00,1992-03-23 00:00:00+01:00,0,0,0,0.0,
37,1992-03-23 00:00:00+01:00,1992-03-30 00:00:00+01:00,0,0,0,0.0,
38,1992-03-30 00:00:00+01:00,1992-04-06 00:00:00+01:00,1,1,0,2.9864956817626953,100.0
39,1992-04-06 00:00:00+01:00,1992-04-13 00:00:00+01:00,0,0,0,0.0,
40,1992-04-13 00:00:00+01:00,1992-04-20 00:00:00+01:00,0,0,0,0.0,
41,1992-04-20 00:00:00+01:00,1992-04-27 00:00:00+01:00,0,0,0,0.0,
42,1992-04-27 00:00:00+01:00,1992-05-04 00:00:00+01:00,0,0,0,0.0,
43,1992-05-04 00:00:00+01:00,1992-05-11 00:00:00+01:00,0,0,0,0.0,
44,1992-05-11 00:00:00+01:00,1992-05-18 00:00:00+01:00,0,0,0,0.0,
45,1992-05-18 00:00:00+01:00,1992-05-25 00:00:00+01:00,0,0,0,0.0,
46,1992-05-25 00:00:00+01:00,1992-06-01 00:00:00+01:00,0,0,0,0.0,
47,1992-06-01 00:00:00+01:00,1992-06-08 00:00:00+01:00,0,0,0,0.0,
48,1992-06-08 00:00:00+01:00,1992-06-15 00:00:00+01:00,0,0,0,0.0,
49,1992-06-15 00:00:00+01:00,1992-06-22 00:00:00+01:00,0,0,0,0.0,
50,1992-06-22 00:00:00+01:00,1992-06-29 00:00:00+01:00,0,0,0,0.0,
51,1992-06-29 00:00:00+01:00,1992-07-06 00:00:00+01:00,1,0,1,-1.6080403442382742,0.0
52,1992-07-06 00:00:00+01:00,1992-07-13 00:00:00+01:00,1,0,1,-1.505793930053711,0.0
53,1992-07-13 00:00:00+01:00,1992-07-20 00:00:00+01:00,0,0,0,0.0,
54,1992-07-20 00:00:00+01:00,1992-07-27 00:00:00+01:00,0,0,0,0.0,
55,1992-07-27 00:00:00+01:00,1992-08-03 00:00:00+01:00,0,0,0,0.0,
56,1992-08-03 00:00:00+01:00,1992-08-10 00:00:00+01:00,0,0,0,0.0,
57,1992-08-10 00:00:00+01:00,1992-08-17 00:00:00+01:00,0,0,0,0.0,
58,1992-08-17 00:00:00+01:00,1992-08-24 00:00:00+01:00,0,0,0,0.0,
59,1992-08-24 00:00:00+01:00,1992-08-31 00:00:00+01:00,0,0,0,0.0,
60,1992-08-31 00:00:00+01:00,1992-09-07 00:00:00+01:00,1,0,1,-2.042950973510735,0.0
61,1992-09-07 00:00:00+01:00,1992-09-14 00:00:00+01:00,1,0,0,0.0,0.0
62,1992-09-14 00:00:00+01:00,1992-09-21 00:00:00+01:00,0,0,0,0.0,
63,1992-09-21 00:00:00+01:00,1992-09-28 00:00:00+01:00,1,1,0,3.381019317626946,100.0
64,1992-09-28 00:00:00+01:00,1992-10-05 00:00:00+01:00,0,0,0,0.0,
65,1992-10-05 00:00:00+01:00,1992-10-12 00:00:00+01:00,0,0,0,0.0,
66,1992-10-12 00:00:00+01:00,1992-10-19 00:00:00+01:00,0,0,0,0.0,
67,1992-10-19 00:00:00+01:00,1992-10-26 00:00:00+01:00,0,0,0,0.0,
68,1992-10-26 00:00:00+01:00,1992-11-02 00:00:00+01:00,0,0,0,0.0,
69,1992-11-02 00:00:00+01:00,1992-11-09 00:00:00+01:00,0,0,0,0.0,
70,1992-11-09 00:00:00+01:00,1992-11-16 00:00:00+01:00,1,0,1,-1.738333671569824,0.0
71,1992-11-16 00:00:00+01:00,1992-11-23 00:00:00+01:00,0,0,0,0.0,
72,1992-11-23 00:00:00+01:00,1992-11-30 00:00:00+01:00,0,0,0,0.0,
73,1992-11-30 00:00:00+01:00,1992-12-07 00:00:00+01:00,0,0,0,0.0,
74,1992-12-07 00:00:00+01:00,1992-12-14 00:00:00+01:00,1,0,1,-2.3934705810546877,0.0
75,1992-12-14 00:00:00+01:00,1992-12-21 00:00:00+01:00,1,0,1,-1.7621521911621094,0.0
76,1992-12-21 00:00:00+01:00,1992-12-28 00:00:00+01:00,0,0,0,0.0,
77,1992-12-28 00:00:00+01:00,1993-01-04 00:00:00+01:00,0,0,0,0.0,
78,1993-01-04 00:00:00+01:00,1993-01-11 00:00:00+01:00,0,0,0,0.0,
79,1993-01-11 00:00:00+01:00,1993-01-18 00:00:00+01:00,0,0,0,0.0,
80,1993-01-18 00:00:00+01:00,1993-01-25 00:00:00+01:00,0,0,0,0.0,
81,1993-01-25 00:00:00+01:00,1993-02-01 00:00:00+01:00,0,0,0,0.0,
82,1993-02-01 00:00:00+01:00,1993-02-08 00:00:00+01:00,0,0,0,0.0,
83,1993-02-08 00:00:00+01:00,1993-02-15 00:00:00+01:00,0,0,0,0.0,
84,1993-02-15 00:00:00+01:00,1993-02-22 00:00:00+01:00,0,0,0,0.0,
85,1993-02-22 00:00:00+01:00,1993-03-01 00:00:00+01:00,0,0,0,0.0,
86,1993-03-01 00:00:00+01:00,1993-03-08 00:00:00+01:00,0,0,0,0.0,
87,1993-03-08 00:00:00+01:00,1993-03-15 00:00:00+01:00,0,0,0,0.0,
88,1993-03-15 00:00:00+01:00,1993-03-22 00:00:00+01:00,0,0,0,0.0,
89,1993-03-22 00:00:00+01:00,1993-03-29 00:00:00+01:00,0,0,0,0.0,
90,1993-03-29 00:00:00+01:00,1993-04-05 00:00:00+01:00,0,0,0,0.0,
91,1993-04-05 00:00:00+01:00,1993-04-12 00:00:00+01:00,0,0,0,0.0,
92,1993-04-12 00:00:00+01:00,1993-04-19 00:00:00+01:00,0,0,0,0.0,
93,1993-04-19 00:00:00+01:00,1993-04-26 00:00:00+01:00,0,0,0,0.0,
94,1993-04-26 00:00:00+01:00,1993-05-03 00:00:00+01:00,1,1,0,3.5767313079833984,100.0
95,1993-05-03 00:00:00+01:00,1993-05-10 00:00:00+01:00,0,0,0,0.0,
