Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,1990-09-25 00:00:00+01:00,1990-10-02 00:00:00+01:00,0,0,0,0.0,
2,1990-10-02 00:00:00+01:00,1990-10-09 00:00:00+01:00,0,0,0,0.0,
3,1990-10-09 00:00:00+01:00,1990-10-16 00:00:00+01:00,0,0,0,0.0,
4,1990-10-16 00:00:00+01:00,1990-10-23 00:00:00+01:00,0,0,0,0.0,
5,1990-10-23 00:00:00+01:00,1990-10-30 00:00:00+01:00,1,0,1,-1.103037223815918,0.0
6,1990-10-30 00:00:00+01:00,1990-11-06 00:00:00+01:00,0,0,0,0.0,
7,1990-11-06 00:00:00+01:00,1990-11-13 00:00:00+01:00,0,0,0,0.0,
8,1990-11-13 00:00:00+01:00,1990-11-20 00:00:00+01:00,0,0,0,0.0,
9,1990-11-20 00:00:00+01:00,1990-11-27 00:00:00+01:00,0,0,0,0.0,
10,1990-11-27 00:00:00+01:00,1990-12-04 00:00:00+01:00,0,0,0,0.0,
11,1990-12-04 00:00:00+01:00,1990-12-11 00:00:00+01:00,0,0,0,0.0,
12,1990-12-11 00:00:00+01:00,1990-12-18 00:00:00+01:00,0,0,0,0.0,
13,1990-12-18 00:00:00+01:00,1990-12-25 00:00:00+01:00,0,0,0,0.0,
14,1990-12-25 00:00:00+01:00,1991-01-01 00:00:00+01:00,0,0,0,0.0,
15,1991-01-01 00:00:00+01:00,1991-01-08 00:00:00+01:00,0,0,0,0.0,
16,1991-01-08 00:00:00+01:00,1991-01-15 00:00:00+01:00,0,0,0,0.0,
17,1991-01-15 00:00:00+01:00,1991-01-22 00:00:00+01:00,0,0,0,0.0,
18,1991-01-22 00:00:00+01:00,1991-01-29 00:00:00+01:00,0,0,0,0.0,
19,1991-01-29 00:00:00+01:00,1991-02-05 00:00:00+01:00,0,0,0,0.0,
20,1991-02-05 00:00:00+01:00,1991-02-12 00:00:00+01:00,0,0,0,0.0,
21,1991-02-12 00:00:00+01:00,1991-02-19 00:00:00+01:00,0,0,0,0.0,
22,1991-02-19 00:00:00+01:00,1991-02-26 00:00:00+01:00,0,0,0,0.0,
23,1991-02-26 00:00:00+01:00,1991-03-05 00:00:00+01:00,0,0,0,0.0,
24,1991-03-05 00:00:00+01:00,1991-03-12 00:00:00+01:00,0,0,0,0.0,
25,1991-03-12 00:00:00+01:00,1991-03-19 00:00:00+01:00,0,0,0,0.0,
26,1991-03-19 00:00:00+01:00,1991-03-26 00:00:00+01:00,0,0,0,0.0,
27,1991-03-26 00:00:00+01:00,1991-04-02 00:00:00+01:00,0,0,0,0.0,
28,1991-04-02 00:00:00+01:00,1991-04-09 00:00:00+01:00,0,0,0,0.0,
29,1991-04-09 00:00:00+01:00,1991-04-16 00:00:00+01:00,0,0,0,0.0,
30,1991-04-16 00:00:00+01:00,1991-04-23 00:00:00+01:00,0,0,0,0.0,
31,1991-04-23 00:00:00+01:00,1991-04-30 00:00:00+01:00,0,0,0,0.0,
32,1991-04-30 00:00:00+01:00,1991-05-07 00:00:00+01:00,0,0,0,0.0,
33,1991-05-07 00:00:00+01:00,1991-05-14 00:00:00+01:00,0,0,0,0.0,
34,1991-05-14 00:00:00+01:00,1991-05-21 00:00:00+01:00,0,0,0,0.0,
35,1991-05-21 00:00:00+01:00,1991-05-28 00:00:00+01:00,0,0,0,0.0,
36,1991-05-28 00:00:00+01:00,1991-06-04 00:00:00+01:00,0,0,0,0.0,
37,1991-06-04 00:00:00+01:00,1991-06-11 00:00:00+01:00,0,0,0,0.0,
38,1991-06-11 00:00:00+01:00,1991-06-18 00:00:00+01:00,0,0,0,0.0,
39,1991-06-18 00:00:00+01:00,1991-06-25 00:00:00+01:00,0,0,0,0.0,
40,1991-06-25 00:00:00+01:00,1991-07-02 00:00:00+01:00,0,0,0,0.0,
41,1991-07-02 00:00:00+01:00,1991-07-09 00:00:00+01:00,0,0,0,0.0,
42,1991-07-09 00:00:00+01:00,1991-07-16 00:00:00+01:00,0,0,0,0.0,
43,1991-07-16 00:00:00+01:00,1991-07-23 00:00:00+01:00,0,0,0,0.0,
44,1991-07-23 00:00:00+01:00,1991-07-30 00:00:00+01:00,0,0,0,0.0,
45,1991-07-30 00:00:00+01:00,1991-08-06 00:00:00+01:00,0,0,0,0.0,
46,1991-08-06 00:00:00+01:00,1991-08-13 00:00:00+01:00,0,0,0,0.0,
47,1991-08-13 00:00:00+01:00,1991-08-20 00:00:00+01:00,0,0,0,0.0,
48,1991-08-20 00:00:00+01:00,1991-08-27 00:00:00+01:00,0,0,0,0.0,
49,1991-08-27 00:00:00+01:00,1991-09-03 00:00:00+01:00,0,0,0,0.0,
50,1991-09-03 00:00:00+01:00,1991-09-10 00:00:00+01:00,0,0,0,0.0,
51,1991-09-10 00:00:00+01:00,1991-09-17 00:00:00+01:00,0,0,0,0.0,
52,1991-09-17 00:00:00+01:00,1991-09-24 00:00:00+01:00,0,0,0,0.0,
