Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,1990-01-08 00:00:00+00:00,1990-01-15 00:00:00+00:00,0,0,0,0.0,
2,1990-01-15 00:00:00+00:00,1990-01-22 00:00:00+00:00,0,0,0,0.0,
3,1990-01-22 00:00:00+00:00,1990-01-29 00:00:00+00:00,0,0,0,0.0,
4,1990-01-29 00:00:00+00:00,1990-02-05 00:00:00+00:00,0,0,0,0.0,
5,1990-02-05 00:00:00+00:00,1990-02-12 00:00:00+00:00,0,0,0,0.0,
6,1990-02-12 00:00:00+00:00,1990-02-19 00:00:00+00:00,0,0,0,0.0,
7,1990-02-19 00:00:00+00:00,1990-02-26 00:00:00+00:00,0,0,0,0.0,
8,1990-02-26 00:00:00+00:00,1990-03-05 00:00:00+00:00,0,0,0,0.0,
9,1990-03-05 00:00:00+00:00,1990-03-12 00:00:00+00:00,1,1,0,3.000910934448235,100.0
10,1990-03-12 00:00:00+00:00,1990-03-19 00:00:00+00:00,0,0,0,0.0,
11,1990-03-19 00:00:00+00:00,1990-03-26 00:00:00+00:00,0,0,0,0.0,
12,1990-03-26 00:00:00+00:00,1990-04-02 00:00:00+00:00,0,0,0,0.0,
13,1990-04-02 00:00:00+00:00,1990-04-09 00:00:00+00:00,0,0,0,0.0,
14,1990-04-09 00:00:00+00:00,1990-04-16 00:00:00+00:00,0,0,0,0.0,
15,1990-04-16 00:00:00+00:00,1990-04-23 00:00:00+00:00,0,0,0,0.0,
16,1990-04-23 00:00:00+00:00,1990-04-30 00:00:00+00:00,0,0,0,0.0,
17,1990-04-30 00:00:00+00:00,1990-05-07 00:00:00+00:00,0,0,0,0.0,
18,1990-05-07 00:00:00+00:00,1990-05-14 00:00:00+00:00,0,0,0,0.0,
19,1990-05-14 00:00:00+00:00,1990-05-21 00:00:00+00:00,0,0,0,0.0,
20,1990-05-21 00:00:00+00:00,1990-05-28 00:00:00+00:00,1,0,0,0.0,0.0
21,1990-05-28 00:00:00+00:00,1990-06-04 00:00:00+00:00,0,0,0,0.0,
22,1990-06-04 00:00:00+00:00,1990-06-11 00:00:00+00:00,0,0,0,0.0,
23,1990-06-11 00:00:00+00:00,1990-06-18 00:00:00+00:00,0,0,0,0.0,
24,1990-06-18 00:00:00+00:00,1990-06-25 00:00:00+00:00,0,0,0,0.0,
25,1990-06-25 00:00:00+00:00,1990-07-02 00:00:00+00:00,0,0,0,0.0,
26,1990-07-02 00:00:00+00:00,1990-07-09 00:00:00+00:00,0,0,0,0.0,
27,1990-07-09 00:00:00+00:00,1990-07-16 00:00:00+00:00,0,0,0,0.0,
28,1990-07-16 00:00:00+00:00,1990-07-23 00:00:00+00:00,0,0,0,0.0,
29,1990-07-23 00:00:00+00:00,1990-07-30 00:00:00+00:00,1,0,1,-1.6641957321166991,0.0
30,1990-07-30 00:00:00+00:00,1990-08-06 00:00:00+00:00,0,0,0,0.0,
31,1990-08-06 00:00:00+00:00,1990-08-13 00:00:00+00:00,0,0,0,0.0,
32,1990-08-13 00:00:00+00:00,1990-08-20 00:00:00+00:00,0,0,0,0.0,
33,1990-08-20 00:00:00+00:00,1990-08-27 00:00:00+00:00,1,1,0,2.810937538146973,100.0
34,1990-08-27 00:00:00+00:00,1990-09-03 00:00:00+00:00,0,0,0,0.0,
35,1990-09-03 00:00:00+00:00,1990-09-10 00:00:00+00:00,0,0,0,0.0,
36,1990-09-10 00:00:00+00:00,1990-09-17 00:00:00+00:00,0,0,0,0.0,
37,1990-09-17 00:00:00+00:00,1990-09-24 00:00:00+00:00,0,0,0,0.0,
38,1990-09-24 00:00:00+00:00,1990-10-01 00:00:00+00:00,0,0,0,0.0,
39,1990-10-01 00:00:00+00:00,1990-10-08 00:00:00+00:00,0,0,0,0.0,
40,1990-10-08 00:00:00+00:00,1990-10-15 00:00:00+00:00,0,0,0,0.0,
41,1990-10-15 00:00:00+00:00,1990-10-22 00:00:00+00:00,0,0,0,0.0,
42,1990-10-22 00:00:00+00:00,1990-10-29 00:00:00+00:00,0,0,0,0.0,
43,1990-10-29 00:00:00+00:00,1990-11-05 00:00:00+00:00,0,0,0,0.0,
44,1990-11-05 00:00:00+00:00,1990-11-12 00:00:00+00:00,0,0,0,0.0,
45,1990-11-12 00:00:00+00:00,1990-11-19 00:00:00+00:00,0,0,0,0.0,
46,1990-11-19 00:00:00+00:00,1990-11-26 00:00:00+00:00,1,0,1,-2.146405632019043,0.0
47,1990-11-26 00:00:00+00:00,1990-12-03 00:00:00+00:00,0,0,0,0.0,
48,1990-12-03 00:00:00+00:00,1990-12-10 00:00:00+00:00,0,0,0,0.0,
49,1990-12-10 00:00:00+00:00,1990-12-17 00:00:00+00:00,0,0,0,0.0,
50,1990-12-17 00:00:00+00:00,1990-12-24 00:00:00+00:00,0,0,0,0.0,
51,1990-12-24 00:00:00+00:00,1990-12-31 00:00:00+00:00,0,0,0,0.0,
52,1990-12-31 00:00:00+00:00,1991-01-07 00:00:00+00:00,0,0,0,0.0,
53,1991-01-07 00:00:00+00:00,1991-01-14 00:00:00+00:00,0,0,0,0.0,
54,1991-01-14 00:00:00+00:00,1991-01-21 00:00:00+00:00,0,0,0,0.0,
55,1991-01-21 00:00:00+00:00,1991-01-28 00:00:00+00:00,0,0,0,0.0,
56,1991-01-28 00:00:00+00:00,1991-02-04 00:00:00+00:00,0,0,0,0.0,
57,1991-02-04 00:00:00+00:00,1991-02-11 00:00:00+00:00,0,0,0,0.0,
58,1991-02-11 00:00:00+00:00,1991-02-18 00:00:00+00:00,0,0,0,0.0,
59,1991-02-18 00:00:00+00:00,1991-02-25 00:00:00+00:00,0,0,0,0.0,
60,1991-02-25 00:00:00+00:00,1991-03-04 00:00:00+00:00,0,0,0,0.0,
61,1991-03-04 00:00:00+00:00,1991-03-11 00:00:00+00:00,0,0,0,0.0,
62,1991-03-11 00:00:00+00:00,1991-03-18 00:00:00+00:00,0,0,0,0.0,
63,1991-03-18 00:00:00+00:00,1991-03-25 00:00:00+00:00,1,1,0,5.453370056152343,100.0
64,1991-03-25 00:00:00+00:00,1991-04-01 00:00:00+00:00,1,0,0,0.0,0.0
65,1991-04-01 00:00:00+00:00,1991-04-08 00:00:00+00:00,0,0,0,0.0,
66,1991-04-08 00:00:00+00:00,1991-04-15 00:00:00+00:00,0,0,0,0.0,
67,1991-04-15 00:00:00+00:00,1991-04-22 00:00:00+00:00,0,0,0,0.0,
68,1991-04-22 00:00:00+00:00,1991-04-29 00:00:00+00:00,0,0,0,0.0,
69,1991-04-29 00:00:00+00:00,1991-05-06 00:00:00+00:00,0,0,0,0.0,
70,1991-05-06 00:00:00+00:00,1991-05-13 00:00:00+00:00,0,0,0,0.0,
71,1991-05-13 00:00:00+00:00,1991-05-20 00:00:00+00:00,0,0,0,0.0,
72,1991-05-20 00:00:00+00:00,1991-05-27 00:00:00+00:00,0,0,0,0.0,
73,1991-05-27 00:00:00+00:00,1991-06-03 00:00:00+00:00,0,0,0,0.0,
74,1991-06-03 00:00:00+00:00,1991-06-10 00:00:00+00:00,0,0,0,0.0,
75,1991-06-10 00:00:00+00:00,1991-06-17 00:00:00+00:00,0,0,0,0.0,
76,1991-06-17 00:00:00+00:00,1991-06-24 00:00:00+00:00,0,0,0,0.0,
77,1991-06-24 00:00:00+00:00,1991-07-01 00:00:00+00:00,0,0,0,0.0,
78,1991-07-01 00:00:00+00:00,1991-07-08 00:00:00+00:00,0,0,0,0.0,
79,1991-07-08 00:00:00+00:00,1991-07-15 00:00:00+00:00,0,0,0,0.0,
80,1991-07-15 00:00:00+00:00,1991-07-22 00:00:00+00:00,0,0,0,0.0,
81,1991-07-22 00:00:00+00:00,1991-07-29 00:00:00+00:00,0,0,0,0.0,
82,1991-07-29 00:00:00+00:00,1991-08-05 00:00:00+00:00,0,0,0,0.0,
83,1991-08-05 00:00:00+00:00,1991-08-12 00:00:00+00:00,0,0,0,0.0,
84,1991-08-12 00:00:00+00:00,1991-08-19 00:00:00+00:00,0,0,0,0.0,
85,1991-08-19 00:00:00+00:00,1991-08-26 00:00:00+00:00,0,0,0,0.0,
