Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2022-01-03 01:35:00+00:00,1.13742,2022-01-03 03:40:00+00:00,1.135,-0.002460000000000089
short,2022-01-03 08:40:00+00:00,1.13434,2022-01-03 13:15:00+00:00,1.13644,-0.002139999999999991
buy,2022-01-03 14:10:00+00:00,1.13553,2022-01-03 16:15:00+00:00,1.13342,-0.0021499999999998343
buy,2022-01-03 23:25:00+00:00,1.12972,2022-01-04 13:30:00+00:00,1.1277,-0.002060000000000133
short,2022-01-04 15:30:00+00:00,1.12826,2022-01-04 17:20:00+00:00,1.13065,-0.0024299999999998923
short,2022-01-04 21:40:00+00:00,1.12889,2022-01-05 10:20:00+00:00,1.131,-0.0021500000000000564
buy,2022-01-05 11:45:00+00:00,1.1305,2022-01-05 19:20:00+00:00,1.13465,0.004109999999999876
short,2022-01-06 00:45:00+00:00,1.13089,2022-01-06 16:35:00+00:00,1.13314,-0.0022900000000000854
short,2022-01-06 17:05:00+00:00,1.13062,2022-01-07 16:30:00+00:00,1.133,-0.002420000000000049
buy,2022-01-07 22:15:00+00:00,1.13613,2022-01-10 04:50:00+00:00,1.13413,-0.002040000000000002
short,2022-01-10 09:20:00+00:00,1.13308,2022-01-10 16:10:00+00:00,1.129,0.0040400000000000835
buy,2022-01-10 21:05:00+00:00,1.1323,2022-01-11 18:15:00+00:00,1.13648,0.00413999999999985
buy,2022-01-11 22:25:00+00:00,1.13684,2022-01-12 15:40:00+00:00,1.14151,0.004629999999999952
short,2022-01-13 01:35:00+00:00,1.1443,2022-01-13 09:30:00+00:00,1.14641,-0.0021499999999998343
short,2022-01-13 14:45:00+00:00,1.14627,2022-01-14 07:40:00+00:00,1.14829,-0.002060000000000133
short,2022-01-14 10:30:00+00:00,1.14666,2022-01-14 17:00:00+00:00,1.14246,0.004159999999999981
short,2022-01-14 21:50:00+00:00,1.14148,2022-01-18 15:05:00+00:00,1.13722,0.0042200000000001524
short,2022-01-18 21:50:00+00:00,1.13328,2022-01-19 16:45:00+00:00,1.13542,-0.002180000000000031
short,2022-01-19 17:20:00+00:00,1.13444,2022-01-20 03:30:00+00:00,1.13651,-0.0021100000000000164
buy,2022-01-20 04:50:00+00:00,1.13535,2022-01-20 13:20:00+00:00,1.1333,-0.0020900000000001074
short,2022-01-21 01:15:00+00:00,1.13084,2022-01-21 04:55:00+00:00,1.13352,-0.002720000000000016
buy,2022-01-21 07:20:00+00:00,1.13235,2022-01-24 13:55:00+00:00,1.13015,-0.00223999999999998
buy,2022-01-24 23:05:00+00:00,1.13238,2022-01-25 09:05:00+00:00,1.13028,-0.002139999999999991
short,2022-01-25 09:35:00+00:00,1.131,2022-01-25 13:50:00+00:00,1.12688,0.004079999999999901
short,2022-01-25 15:45:00+00:00,1.12723,2022-01-25 20:10:00+00:00,1.1293,-0.0021100000000000164
buy,2022-01-26 00:15:00+00:00,1.12997,2022-01-26 12:15:00+00:00,1.12797,-0.002040000000000002
short,2022-01-26 14:55:00+00:00,1.12766,2022-01-26 21:00:00+00:00,1.13004,-0.002419999999999827
short,2022-01-27 01:45:00+00:00,1.12398,2022-01-27 09:55:00+00:00,1.11966,0.004279999999999879
short,2022-01-27 21:05:00+00:00,1.11444,2022-01-28 15:55:00+00:00,1.11688,-0.002479999999999998
buy,2022-01-28 17:30:00+00:00,1.11444,2022-01-31 15:35:00+00:00,1.11856,0.004079999999999901
buy,2022-01-31 23:10:00+00:00,1.12346,2022-02-01 13:25:00+00:00,1.12759,0.004090000000000189
short,2022-02-01 20:20:00+00:00,1.12457,2022-02-01 22:20:00+00:00,1.1267,-0.0021699999999999654
buy,2022-02-02 02:05:00+00:00,1.12739,2022-02-02 12:35:00+00:00,1.13142,0.0039900000000002
buy,2022-02-02 16:20:00+00:00,1.13186,2022-02-02 17:10:00+00:00,1.12962,-0.00228000000000002
short,2022-02-02 19:30:00+00:00,1.13067,2022-02-03 15:40:00+00:00,1.13414,-0.003509999999999862
buy,2022-02-03 23:05:00+00:00,1.14346,2022-02-04 12:10:00+00:00,1.14754,0.0040400000000000835
buy,2022-02-04 15:15:00+00:00,1.14662,2022-02-04 15:30:00+00:00,1.14291,-0.00374999999999988
short,2022-02-04 18:20:00+00:00,1.14431,2022-02-04 20:05:00+00:00,1.14641,-0.002139999999999991
buy,2022-02-04 21:30:00+00:00,1.1454,2022-02-07 04:20:00+00:00,1.14314,-0.002299999999999929
short,2022-02-07 06:45:00+00:00,1.14376,2022-02-07 14:50:00+00:00,1.14588,-0.0021599999999999
buy,2022-02-07 15:45:00+00:00,1.14348,2022-02-08 08:00:00+00:00,1.14138,-0.002139999999999989
short,2022-02-08 08:45:00+00:00,1.14182,2022-02-09 12:45:00+00:00,1.14433,-0.0025500000000000106
buy,2022-02-09 14:00:00+00:00,1.14316,2022-02-10 15:30:00+00:00,1.13892,-0.00428000000000002
buy,2022-02-10 19:55:00+00:00,1.14647,2022-02-10 22:30:00+00:00,1.14441,-0.002100000000000171
short,2022-02-11 04:40:00+00:00,1.14024,2022-02-11 20:35:00+00:00,1.136,0.004200000000000023
short,2022-02-14 07:00:00+00:00,1.13428,2022-02-14 12:15:00+00:00,1.13016,0.004079999999999903
short,2022-02-14 18:50:00+00:00,1.13036,2022-02-15 08:50:00+00:00,1.13238,-0.002059999999999909
short,2022-02-15 09:00:00+00:00,1.132,2022-02-15 10:20:00+00:00,1.13456,-0.002600000000000116
buy,2022-02-15 14:00:00+00:00,1.13502,2022-02-15 16:50:00+00:00,1.13283,-0.0022299999999999126
