Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2022-01-03 01:00:00+00:00,2022-01-10 00:55:00+00:00,9,1,8,-0.013990000000000254,11.0
2,2022-01-10 01:00:00+00:00,2022-01-17 00:55:00+00:00,7,4,3,0.010719999999999898,56.99999999999999
3,2022-01-17 01:00:00+00:00,2022-01-24 00:55:00+00:00,5,1,4,-0.004880000000000018,20.0
4,2022-01-24 01:00:00+00:00,2022-01-31 00:55:00+00:00,8,2,6,-0.005070000000000033,25.0
5,2022-01-31 01:00:00+00:00,2022-02-07 00:55:00+00:00,9,4,5,0.0023500000000006554,44.0
6,2022-02-07 01:00:00+00:00,2022-02-14 00:55:00+00:00,7,1,6,-0.011329999999999996,14.000000000000002
7,2022-02-14 01:00:00+00:00,2022-02-21 00:55:00+00:00,9,2,7,-0.011600000000000124,22.0
8,2022-02-21 01:00:00+00:00,2022-02-28 00:55:00+00:00,13,5,8,-0.009319999999999454,38.0
9,2022-02-28 01:00:00+00:00,2022-03-07 00:55:00+00:00,8,4,4,0.009419999999999651,50.0
10,2022-03-07 01:00:00+00:00,2022-03-14 00:55:00+00:00,12,2,10,-0.022169999999999968,17.0
11,2022-03-14 01:00:00+00:00,2022-03-21 00:55:00+00:00,14,5,9,-0.0001599999999993551,36.0
12,2022-03-21 01:00:00+00:00,2022-03-28 00:55:00+00:00,11,4,7,0.0008399999999995217,36.0
13,2022-03-28 01:00:00+00:00,2022-04-04 00:55:00+00:00,8,3,5,0.0012799999999993927,38.0
14,2022-04-04 01:00:00+00:00,2022-04-11 00:55:00+00:00,9,5,4,0.011989999999999876,56.00000000000001
15,2022-04-11 01:00:00+00:00,2022-04-18 00:55:00+00:00,5,2,3,0.0003700000000001896,40.0
16,2022-04-18 01:00:00+00:00,2022-04-25 00:55:00+00:00,9,4,5,0.004679999999999948,44.0
17,2022-04-25 01:00:00+00:00,2022-05-02 00:55:00+00:00,14,3,10,-0.010130000000000097,21.0
18,2022-05-02 01:00:00+00:00,2022-05-09 00:55:00+00:00,9,2,7,-0.0070599999999996915,22.0
19,2022-05-09 01:00:00+00:00,2022-05-16 00:55:00+00:00,9,4,5,0.008119999999999836,44.0
20,2022-05-16 01:00:00+00:00,2022-05-23 00:55:00+00:00,10,4,6,0.004299999999999277,40.0
21,2022-05-23 01:00:00+00:00,2022-05-30 00:55:00+00:00,12,3,9,-0.008820000000000439,25.0
22,2022-05-30 01:00:00+00:00,2022-06-06 00:55:00+00:00,10,3,7,-0.0026399999999995594,30.0
23,2022-06-06 01:00:00+00:00,2022-06-13 00:55:00+00:00,9,1,8,-0.01479000000000015,11.0
24,2022-06-13 01:00:00+00:00,2022-06-20 00:55:00+00:00,14,6,8,0.005319999999999908,43.0
25,2022-06-20 01:00:00+00:00,2022-06-27 00:55:00+00:00,10,4,6,0.0053199999999995196,40.0
26,2022-06-27 01:00:00+00:00,2022-07-04 00:55:00+00:00,10,3,7,-0.004900000000000154,30.0
27,2022-07-04 01:00:00+00:00,2022-07-11 00:55:00+00:00,12,2,10,-0.014259999999999662,17.0
28,2022-07-11 01:00:00+00:00,2022-07-18 00:55:00+00:00,13,6,7,0.008850000000000344,46.0
29,2022-07-18 01:00:00+00:00,2022-07-25 00:55:00+00:00,7,1,6,-0.00991999999999986,14.000000000000002
30,2022-07-25 01:00:00+00:00,2022-08-01 00:55:00+00:00,12,3,9,-0.006229999999999902,25.0
31,2022-08-01 01:00:00+00:00,2022-08-08 00:55:00+00:00,11,4,7,0.003229999999999858,36.0
32,2022-08-08 01:00:00+00:00,2022-08-15 00:55:00+00:00,7,2,5,-0.0024400000000001504,28.999999999999996
33,2022-08-15 01:00:00+00:00,2022-08-22 00:55:00+00:00,8,2,6,-0.005850000000000022,25.0
34,2022-08-22 01:00:00+00:00,2022-08-29 00:55:00+00:00,9,4,5,0.005059999999999995,44.0
35,2022-08-29 01:00:00+00:00,2022-09-05 00:55:00+00:00,14,5,9,9.999999999871223e-06,36.0
36,2022-09-05 01:00:00+00:00,2022-09-12 00:55:00+00:00,12,4,8,-0.007040000000000213,33.0
37,2022-09-12 01:00:00+00:00,2022-09-19 00:55:00+00:00,6,1,5,-0.008629999999999777,17.0
38,2022-09-19 01:00:00+00:00,2022-09-26 00:55:00+00:00,12,6,6,0.015119999999999856,50.0
39,2022-09-26 01:00:00+00:00,2022-10-03 00:55:00+00:00,8,3,5,0.00957000000000019,38.0
40,2022-10-03 01:00:00+00:00,2022-10-10 00:55:00+00:00,15,7,8,0.009580000000000102,47.0
41,2022-10-10 01:00:00+00:00,2022-10-17 00:55:00+00:00,13,4,9,-0.005610000000000018,31.0
42,2022-10-17 01:00:00+00:00,2022-10-24 00:55:00+00:00,9,3,6,-0.0008699999999999958,33.0
43,2022-10-24 01:00:00+00:00,2022-10-31 00:55:00+00:00,13,1,12,-0.021659999999999915,8.0
44,2022-10-31 01:00:00+00:00,2022-11-07 00:55:00+00:00,15,3,12,-0.013660000000000047,20.0
45,2022-11-07 01:00:00+00:00,2022-11-14 00:55:00+00:00,8,1,7,-0.013159999999999727,12.0
46,2022-11-14 01:00:00+00:00,2022-11-21 00:55:00+00:00,11,2,9,-0.011589999999999892,18.0
47,2022-11-21 01:00:00+00:00,2022-11-25 23:45:00+00:00,11,6,5,0.01301000000000034,55.00000000000001
