Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2022-01-03 10:05:00+00:00,1.1339,2022-01-03 12:15:00+00:00,1.13598,-0.002120000000000082
buy,2022-01-04 00:30:00+00:00,1.12962,2022-01-04 13:55:00+00:00,1.12762,-0.002040000000000002
short,2022-01-05 02:15:00+00:00,1.12846,2022-01-05 10:10:00+00:00,1.13078,-0.002359999999999878
short,2022-01-06 01:45:00+00:00,1.13111,2022-01-06 16:35:00+00:00,1.13314,-0.0020699999999999764
short,2022-01-07 02:10:00+00:00,1.12948,2022-01-07 10:45:00+00:00,1.13153,-0.0020899999999998854
buy,2022-01-10 22:00:00+00:00,1.13247,2022-01-11 18:15:00+00:00,1.13648,0.003969999999999847
buy,2022-01-12 01:30:00+00:00,1.137,2022-01-12 15:40:00+00:00,1.14151,0.004470000000000014
short,2022-01-13 02:10:00+00:00,1.14436,2022-01-13 09:30:00+00:00,1.14641,-0.0020899999999998854
short,2022-01-14 01:50:00+00:00,1.14576,2022-01-14 07:15:00+00:00,1.14778,-0.002060000000000133
buy,2022-01-17 09:05:00+00:00,1.14186,2022-01-17 14:55:00+00:00,1.13953,-0.0023700000000001654
short,2022-01-18 00:45:00+00:00,1.1407,2022-01-18 15:10:00+00:00,1.13654,0.004119999999999941
short,2022-01-19 02:00:00+00:00,1.1324,2022-01-19 11:05:00+00:00,1.1345,-0.002139999999999991
short,2022-01-19 15:40:00+00:00,1.13427,2022-01-20 03:30:00+00:00,1.13651,-0.00228000000000002
short,2022-01-20 08:50:00+00:00,1.135,2022-01-20 22:10:00+00:00,1.13099,0.003970000000000069
short,2022-01-21 02:20:00+00:00,1.13095,2022-01-21 04:55:00+00:00,1.13352,-0.0026100000000001834
buy,2022-01-21 09:05:00+00:00,1.13304,2022-01-24 10:15:00+00:00,1.131,-0.002080000000000042
short,2022-01-24 10:45:00+00:00,1.13183,2022-01-25 13:25:00+00:00,1.12771,0.004079999999999901
short,2022-01-26 02:50:00+00:00,1.13028,2022-01-26 21:40:00+00:00,1.12553,0.004710000000000032
short,2022-01-27 02:30:00+00:00,1.12348,2022-01-27 10:00:00+00:00,1.11934,0.0041000000000000324
short,2022-01-27 23:50:00+00:00,1.11438,2022-01-28 15:55:00+00:00,1.11688,-0.002540000000000169
