Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2022-01-03 08:20:00+00:00,2022-01-10 08:15:00+00:00,5,2,3,0.002159999999999917,40.0
2,2022-01-10 08:20:00+00:00,2022-01-17 08:15:00+00:00,4,3,1,0.010770000000000106,75.0
3,2022-01-17 08:20:00+00:00,2022-01-24 08:15:00+00:00,4,1,3,-0.0020299999999998167,25.0
4,2022-01-24 08:20:00+00:00,2022-01-31 08:15:00+00:00,4,2,2,0.003999999999999941,50.0
5,2022-01-31 08:20:00+00:00,2022-02-07 08:15:00+00:00,3,0,3,-0.009800000000000133,0.0
6,2022-02-07 08:20:00+00:00,2022-02-14 08:15:00+00:00,4,0,4,-0.008740000000000255,0.0
7,2022-02-14 08:20:00+00:00,2022-02-21 08:15:00+00:00,5,2,3,0.0013500000000001618,40.0
8,2022-02-21 08:20:00+00:00,2022-02-28 08:15:00+00:00,3,2,1,0.006960000000000197,67.0
9,2022-02-28 08:20:00+00:00,2022-03-07 08:15:00+00:00,3,1,2,-0.00011999999999977827,33.0
10,2022-03-07 08:20:00+00:00,2022-03-14 08:15:00+00:00,3,0,3,-0.006920000000000362,0.0
11,2022-03-14 08:20:00+00:00,2022-03-21 08:15:00+00:00,5,2,3,0.0018199999999999102,40.0
12,2022-03-21 08:20:00+00:00,2022-03-28 08:15:00+00:00,4,2,2,0.003740000000000014,50.0
13,2022-03-28 08:20:00+00:00,2022-04-04 08:15:00+00:00,4,1,3,-0.0044100000000003095,25.0
14,2022-04-04 08:20:00+00:00,2022-04-11 08:15:00+00:00,5,1,4,-0.005549999999999744,20.0
15,2022-04-11 08:20:00+00:00,2022-04-18 08:15:00+00:00,4,0,4,-0.00898000000000005,0.0
16,2022-04-18 08:20:00+00:00,2022-04-25 08:15:00+00:00,3,2,1,0.007479999999999829,67.0
17,2022-04-25 08:20:00+00:00,2022-05-02 08:15:00+00:00,2,1,1,0.001949999999999754,50.0
18,2022-05-02 08:20:00+00:00,2022-05-09 08:15:00+00:00,3,0,3,-0.009139999999999806,0.0
19,2022-05-09 08:20:00+00:00,2022-05-16 08:15:00+00:00,4,1,3,-0.003020000000000078,25.0
20,2022-05-16 08:20:00+00:00,2022-05-23 08:15:00+00:00,6,1,5,-0.007090000000000235,17.0
21,2022-05-23 08:20:00+00:00,2022-05-30 08:15:00+00:00,1,0,1,-0.002599999999999894,0.0
22,2022-05-30 08:20:00+00:00,2022-06-06 08:15:00+00:00,5,2,3,0.0015100000000001085,40.0
23,2022-06-06 08:20:00+00:00,2022-06-13 08:15:00+00:00,4,2,2,0.0025299999999998657,50.0
24,2022-06-13 08:20:00+00:00,2022-06-20 08:15:00+00:00,2,1,1,0.001900000000000096,50.0
25,2022-06-20 08:20:00+00:00,2022-06-27 08:15:00+00:00,3,1,2,-0.00030999999999990757,33.0
26,2022-06-27 08:20:00+00:00,2022-07-04 08:15:00+00:00,2,0,2,-0.004319999999999796,0.0
27,2022-07-04 08:20:00+00:00,2022-07-11 08:15:00+00:00,4,0,4,-0.00980999999999993,0.0
28,2022-07-11 08:20:00+00:00,2022-07-18 08:15:00+00:00,2,1,1,0.002480000000000121,50.0
29,2022-07-18 08:20:00+00:00,2022-07-25 08:15:00+00:00,4,0,4,-0.009359999999999868,0.0
30,2022-07-25 08:20:00+00:00,2022-08-01 08:15:00+00:00,5,1,4,-0.005620000000000194,20.0
31,2022-08-01 08:20:00+00:00,2022-08-08 08:15:00+00:00,4,1,3,-0.003340000000000398,25.0
32,2022-08-08 08:20:00+00:00,2022-08-15 08:15:00+00:00,5,2,3,0.001540000000000305,40.0
33,2022-08-15 08:20:00+00:00,2022-08-22 08:15:00+00:00,5,5,0,0.02375999999999999,100.0
34,2022-08-22 08:20:00+00:00,2022-08-29 08:15:00+00:00,2,0,2,-0.004570000000000102,0.0
35,2022-08-29 08:20:00+00:00,2022-09-05 08:15:00+00:00,3,0,3,-0.007110000000000047,0.0
36,2022-09-05 08:20:00+00:00,2022-09-12 08:15:00+00:00,3,1,2,0.0003200000000002229,33.0
37,2022-09-12 08:20:00+00:00,2022-09-19 08:15:00+00:00,5,1,4,-0.006879999999999789,20.0
38,2022-09-19 08:20:00+00:00,2022-09-26 08:15:00+00:00,2,2,0,0.014249999999999957,100.0
39,2022-09-26 08:20:00+00:00,2022-10-03 08:15:00+00:00,0,0,0,0.0,
40,2022-10-03 08:20:00+00:00,2022-10-10 08:15:00+00:00,0,0,0,0.0,
41,2022-10-10 08:20:00+00:00,2022-10-17 08:15:00+00:00,2,0,2,-0.004830000000000029,0.0
42,2022-10-17 08:20:00+00:00,2022-10-24 08:15:00+00:00,1,0,1,-0.005219999999999961,0.0
43,2022-10-24 08:20:00+00:00,2022-10-31 08:15:00+00:00,2,1,1,0.0024300000000000155,50.0
44,2022-10-31 08:20:00+00:00,2022-11-07 08:15:00+00:00,4,1,3,-0.0019199999999999773,25.0
45,2022-11-07 08:20:00+00:00,2022-11-14 08:15:00+00:00,1,0,1,-0.002259999999999887,0.0
46,2022-11-14 08:20:00+00:00,2022-11-21 08:15:00+00:00,2,0,2,-0.004629999999999829,0.0
47,2022-11-21 08:20:00+00:00,2022-11-28 08:15:00+00:00,1,1,0,0.003969999999999849,100.0
48,2022-11-28 08:20:00+00:00,2022-11-29 23:55:00+00:00,0,0,0,0.0,
