Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2022-01-03 08:20:00+00:00,1.34984,2022-01-03 10:45:00+00:00,1.35234,-0.002540000000000169
buy,2022-01-03 13:10:00+00:00,1.35142,2022-01-03 15:15:00+00:00,1.3493,-0.002160000000000122
buy,2022-01-03 22:50:00+00:00,1.34794,2022-01-04 08:25:00+00:00,1.34594,-0.002040000000000002
short,2022-01-04 09:10:00+00:00,1.34623,2022-01-04 09:50:00+00:00,1.34845,-0.002259999999999889
buy,2022-01-04 19:45:00+00:00,1.35389,2022-01-05 19:05:00+00:00,1.35789,0.0039600000000000034
short,2022-01-06 01:45:00+00:00,1.35553,2022-01-06 08:55:00+00:00,1.35127,0.00421999999999993
short,2022-01-06 11:40:00+00:00,1.35113,2022-01-06 12:20:00+00:00,1.35336,-0.0022699999999999543
buy,2022-01-06 15:55:00+00:00,1.35346,2022-01-07 18:40:00+00:00,1.35776,0.00425999999999997
short,2022-01-10 01:50:00+00:00,1.35874,2022-01-10 16:05:00+00:00,1.35472,0.0039800000000001345
short,2022-01-10 18:00:00+00:00,1.35548,2022-01-10 22:15:00+00:00,1.35756,-0.002120000000000082
buy,2022-01-11 00:25:00+00:00,1.35769,2022-01-11 10:05:00+00:00,1.36198,0.004249999999999905
buy,2022-01-11 12:35:00+00:00,1.36034,2022-01-11 14:00:00+00:00,1.35814,-0.002240000000000202
buy,2022-01-12 00:40:00+00:00,1.36327,2022-01-12 15:35:00+00:00,1.3675,0.004189999999999956
buy,2022-01-13 00:25:00+00:00,1.37046,2022-01-13 10:20:00+00:00,1.3747,0.004200000000000021
buy,2022-01-13 13:35:00+00:00,1.37431,2022-01-13 14:00:00+00:00,1.37176,-0.0025899999999998303
short,2022-01-13 22:00:00+00:00,1.37148,2022-01-14 07:40:00+00:00,1.37364,-0.00219999999999994
buy,2022-01-14 11:55:00+00:00,1.37343,2022-01-14 14:20:00+00:00,1.37124,-0.0022299999999999143
short,2022-01-14 15:45:00+00:00,1.37012,2022-01-14 19:15:00+00:00,1.36607,0.004010000000000109
short,2022-01-17 01:45:00+00:00,1.36714,2022-01-18 05:35:00+00:00,1.36312,0.003979999999999912
short,2022-01-18 07:55:00+00:00,1.36342,2022-01-18 14:15:00+00:00,1.35861,0.004769999999999981
