Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2022-01-03 08:20:00+00:00,2022-01-10 08:15:00+00:00,8,3,5,0.0011699999999997684,38.0
2,2022-01-10 08:20:00+00:00,2022-01-17 08:15:00+00:00,10,5,5,0.009250000000000157,50.0
3,2022-01-17 08:20:00+00:00,2022-01-24 08:15:00+00:00,8,4,4,0.00838999999999978,50.0
4,2022-01-24 08:20:00+00:00,2022-01-31 08:15:00+00:00,8,2,6,-0.005700000000000156,25.0
5,2022-01-31 08:20:00+00:00,2022-02-07 08:15:00+00:00,8,3,5,-0.003770000000000176,38.0
6,2022-02-07 08:20:00+00:00,2022-02-14 08:15:00+00:00,12,2,10,-0.015669999999999594,17.0
7,2022-02-14 08:20:00+00:00,2022-02-21 08:15:00+00:00,10,2,8,-0.010379999999999879,20.0
8,2022-02-21 08:20:00+00:00,2022-02-28 08:15:00+00:00,10,4,6,0.004539999999999943,40.0
9,2022-02-28 08:20:00+00:00,2022-03-07 08:15:00+00:00,12,4,8,-0.0006999999999998882,33.0
10,2022-03-07 08:20:00+00:00,2022-03-14 08:15:00+00:00,9,3,6,-0.0020199999999999975,33.0
11,2022-03-14 08:20:00+00:00,2022-03-21 08:15:00+00:00,12,2,10,-0.014299999999999702,17.0
12,2022-03-21 08:20:00+00:00,2022-03-28 08:15:00+00:00,10,4,6,0.002540000000000181,40.0
13,2022-03-28 08:20:00+00:00,2022-04-04 08:15:00+00:00,9,3,6,-0.004900000000000196,33.0
14,2022-04-04 08:20:00+00:00,2022-04-11 08:15:00+00:00,11,3,8,-0.005470000000000516,27.0
15,2022-04-11 08:20:00+00:00,2022-04-18 08:15:00+00:00,7,1,6,-0.009730000000000391,14.000000000000002
16,2022-04-18 08:20:00+00:00,2022-04-25 08:15:00+00:00,11,2,9,-0.011039999999999925,18.0
17,2022-04-25 08:20:00+00:00,2022-05-02 08:15:00+00:00,13,6,7,0.008380000000000595,46.0
18,2022-05-02 08:20:00+00:00,2022-05-09 08:15:00+00:00,13,2,11,-0.02064999999999996,15.0
19,2022-05-09 08:20:00+00:00,2022-05-16 08:15:00+00:00,7,2,5,-0.002649999999999972,28.999999999999996
20,2022-05-16 08:20:00+00:00,2022-05-23 08:15:00+00:00,10,3,7,-0.002810000000000229,30.0
21,2022-05-23 08:20:00+00:00,2022-05-30 08:15:00+00:00,10,3,7,-0.0034000000000000974,30.0
22,2022-05-30 08:20:00+00:00,2022-06-06 08:15:00+00:00,8,3,5,0.0014899999999998803,38.0
23,2022-06-06 08:20:00+00:00,2022-06-13 08:15:00+00:00,14,6,8,0.005459999999999715,43.0
24,2022-06-13 08:20:00+00:00,2022-06-20 08:15:00+00:00,11,6,5,0.01349999999999986,55.00000000000001
25,2022-06-20 08:20:00+00:00,2022-06-27 08:15:00+00:00,12,4,8,6.000000000022654e-05,33.0
26,2022-06-27 08:20:00+00:00,2022-07-04 08:15:00+00:00,10,2,8,-0.009729999999999822,20.0
27,2022-07-04 08:20:00+00:00,2022-07-11 08:15:00+00:00,10,4,6,0.006630000000000108,40.0
28,2022-07-11 08:20:00+00:00,2022-07-18 08:15:00+00:00,8,8,0,0.03575000000000006,100.0
29,2022-07-18 08:20:00+00:00,2022-07-25 08:15:00+00:00,8,3,5,0.0024799999999997047,38.0
30,2022-07-25 08:20:00+00:00,2022-08-01 08:15:00+00:00,11,3,8,-0.006849999999999787,27.0
31,2022-08-01 08:20:00+00:00,2022-08-08 08:15:00+00:00,12,3,9,-0.002370000000000372,25.0
32,2022-08-08 08:20:00+00:00,2022-08-15 08:15:00+00:00,9,3,6,0.008050000000000265,33.0
33,2022-08-15 08:20:00+00:00,2022-08-22 08:15:00+00:00,9,6,3,0.019709999999999592,67.0
34,2022-08-22 08:20:00+00:00,2022-08-29 08:15:00+00:00,9,3,6,-0.0011100000000002514,33.0
35,2022-08-29 08:20:00+00:00,2022-09-05 08:15:00+00:00,13,1,12,-0.024779999999999712,8.0
36,2022-09-05 08:20:00+00:00,2022-09-12 08:15:00+00:00,9,3,6,-0.0012700000000003958,33.0
37,2022-09-12 08:20:00+00:00,2022-09-19 08:15:00+00:00,11,5,6,-6.999999999977857e-05,45.0
38,2022-09-19 08:20:00+00:00,2022-09-26 08:15:00+00:00,10,7,3,0.02954000000000031,70.0
39,2022-09-26 08:20:00+00:00,2022-10-03 08:15:00+00:00,6,2,4,-0.00026000000000057574,33.0
40,2022-10-03 08:20:00+00:00,2022-10-10 08:15:00+00:00,8,0,8,-0.02324000000000027,0.0
41,2022-10-10 08:20:00+00:00,2022-10-17 08:15:00+00:00,11,1,10,-0.03052000000000031,9.0
42,2022-10-17 08:20:00+00:00,2022-10-24 08:15:00+00:00,12,6,6,0.010560000000000402,50.0
43,2022-10-24 08:20:00+00:00,2022-10-31 08:15:00+00:00,13,2,11,-0.01490000000000026,15.0
44,2022-10-31 08:20:00+00:00,2022-11-07 08:15:00+00:00,9,4,5,0.003659999999999483,44.0
45,2022-11-07 08:20:00+00:00,2022-11-14 08:15:00+00:00,10,2,8,-0.011449999999999329,20.0
46,2022-11-14 08:20:00+00:00,2022-11-21 08:15:00+00:00,11,5,6,0.0070299999999998836,45.0
47,2022-11-21 08:20:00+00:00,2022-11-28 08:15:00+00:00,13,8,5,0.021419999999999204,62.0
48,2022-11-28 08:20:00+00:00,2022-11-29 23:55:00+00:00,5,1,4,-0.005309999999999718,20.0
