Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2022-01-03 01:00:00+00:00,1.13782,2022-01-03 07:25:00+00:00,1.13366,0.0041400000000001635
short,2022-01-03 09:15:00+00:00,1.13416,2022-01-03 13:15:00+00:00,1.13644,-0.0022999999999998378
short,2022-01-03 13:45:00+00:00,1.13554,2022-01-03 16:50:00+00:00,1.13086,0.004660000000000017
short,2022-01-03 22:10:00+00:00,1.12963,2022-01-04 17:25:00+00:00,1.13165,-0.002040000000000133
short,2022-01-04 18:20:00+00:00,1.12995,2022-01-05 13:30:00+00:00,1.13208,-0.0021499999999999653
short,2022-01-05 17:30:00+00:00,1.13342,2022-01-06 09:00:00+00:00,1.12922,0.0041800000000002035
short,2022-01-06 10:45:00+00:00,1.12915,2022-01-06 12:05:00+00:00,1.13142,-0.0022899999999999943
short,2022-01-06 12:50:00+00:00,1.13096,2022-01-06 16:35:00+00:00,1.13314,-0.002200000000000071
short,2022-01-06 19:40:00+00:00,1.13029,2022-01-07 16:20:00+00:00,1.1324,-0.0021300000000000563
short,2022-01-07 22:05:00+00:00,1.13602,2022-01-10 14:30:00+00:00,1.13171,0.004290000000000036
short,2022-01-10 19:55:00+00:00,1.13286,2022-01-11 10:05:00+00:00,1.13486,-0.002020000000000002
short,2022-01-11 11:25:00+00:00,1.13462,2022-01-11 18:35:00+00:00,1.13666,-0.002060000000000042
short,2022-01-12 00:00:00+00:00,1.13675,2022-01-12 15:35:00+00:00,1.13981,-0.0030800000000000627
short,2022-01-12 20:40:00+00:00,1.14394,2022-01-13 09:30:00+00:00,1.14641,-0.0024899999999999723
short,2022-01-13 10:55:00+00:00,1.14663,2022-01-14 17:00:00+00:00,1.14246,0.004150000000000007
short,2022-01-14 22:40:00+00:00,1.14142,2022-01-17 10:40:00+00:00,1.14344,-0.002039999999999911
short,2022-01-17 13:30:00+00:00,1.14196,2022-01-18 15:00:00+00:00,1.13782,0.0041200000000000325
short,2022-01-18 21:55:00+00:00,1.13271,2022-01-19 11:15:00+00:00,1.13476,-0.0020699999999998853
short,2022-01-19 11:50:00+00:00,1.13387,2022-01-20 03:15:00+00:00,1.13619,-0.0023400000000001
short,2022-01-20 04:05:00+00:00,1.1355,2022-01-20 20:35:00+00:00,1.1315,0.0039800000000000035
short,2022-01-20 22:30:00+00:00,1.13107,2022-01-21 04:55:00+00:00,1.13352,-0.0024700000000000633
short,2022-01-21 16:35:00+00:00,1.13468,2022-01-24 13:50:00+00:00,1.13048,0.0041799999999999815
short,2022-01-25 00:00:00+00:00,1.13234,2022-01-25 12:30:00+00:00,1.12806,0.0042599999999998394
short,2022-01-25 15:45:00+00:00,1.12723,2022-01-25 20:10:00+00:00,1.1293,-0.0020900000000000163
short,2022-01-25 22:25:00+00:00,1.12983,2022-01-26 21:40:00+00:00,1.12553,0.004279999999999971
short,2022-01-27 01:50:00+00:00,1.12397,2022-01-27 09:55:00+00:00,1.11966,0.004289999999999815
short,2022-01-27 17:10:00+00:00,1.11513,2022-01-28 16:00:00+00:00,1.11735,-0.00224000000000011
short,2022-01-28 18:50:00+00:00,1.11575,2022-01-31 10:20:00+00:00,1.11788,-0.0021499999999999644
short,2022-01-31 18:20:00+00:00,1.12005,2022-01-31 20:00:00+00:00,1.12214,-0.0021099999999999253
short,2022-01-31 22:40:00+00:00,1.12386,2022-02-01 09:50:00+00:00,1.12636,-0.0025199999999999468
short,2022-02-01 11:05:00+00:00,1.12553,2022-02-01 13:25:00+00:00,1.12759,-0.002080000000000173
short,2022-02-01 14:25:00+00:00,1.12688,2022-02-02 10:10:00+00:00,1.12892,-0.00205999999999982
short,2022-02-02 11:20:00+00:00,1.12802,2022-02-02 12:00:00+00:00,1.1305,-0.0025000000000000378
short,2022-02-02 15:30:00+00:00,1.13214,2022-02-03 12:10:00+00:00,1.12814,0.0039800000000000035
short,2022-02-03 14:45:00+00:00,1.12753,2022-02-03 15:30:00+00:00,1.12967,-0.002160000000000031
short,2022-02-03 19:00:00+00:00,1.14212,2022-02-03 19:20:00+00:00,1.14437,-0.0022700000000000853
short,2022-02-03 21:25:00+00:00,1.14389,2022-02-04 04:45:00+00:00,1.14605,-0.00217999999999994
short,2022-02-04 07:05:00+00:00,1.14651,2022-02-04 15:40:00+00:00,1.14232,0.004169999999999916
short,2022-02-04 19:55:00+00:00,1.14549,2022-02-08 08:00:00+00:00,1.14138,0.004089999999999836
short,2022-02-08 08:45:00+00:00,1.14182,2022-02-09 12:45:00+00:00,1.14433,-0.0025300000000000123
short,2022-02-09 13:20:00+00:00,1.14334,2022-02-10 15:30:00+00:00,1.13892,0.0044000000000000905
short,2022-02-10 19:15:00+00:00,1.14794,2022-02-10 22:45:00+00:00,1.14381,0.004109999999999967
short,2022-02-11 01:00:00+00:00,1.14095,2022-02-11 20:35:00+00:00,1.136,0.004930000000000009
short,2022-02-14 00:00:00+00:00,1.13386,2022-02-14 01:20:00+00:00,1.13592,-0.00207999999999995
short,2022-02-14 09:45:00+00:00,1.13379,2022-02-14 17:40:00+00:00,1.12963,0.004140000000000164
short,2022-02-14 18:50:00+00:00,1.13036,2022-02-15 08:50:00+00:00,1.13238,-0.00203999999999991
short,2022-02-15 09:35:00+00:00,1.13172,2022-02-15 10:10:00+00:00,1.13393,-0.0022300000000000444
