Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2022-01-03 05:00:00+00:00,2022-01-10 04:45:00+00:00,5,0,5,-0.010880000000000011
2,2022-01-10 05:00:00+00:00,2022-01-17 04:45:00+00:00,7,2,5,-0.005259999999999789
3,2022-01-17 05:00:00+00:00,2022-01-24 04:45:00+00:00,6,2,4,6.000000000029593e-05
4,2022-01-24 05:00:00+00:00,2022-01-31 04:45:00+00:00,4,3,1,0.011089999999999902
5,2022-01-31 05:00:00+00:00,2022-02-07 04:45:00+00:00,8,1,7,-0.014589999999999936
6,2022-02-07 05:00:00+00:00,2022-02-14 04:45:00+00:00,5,4,1,0.016469999999999756
7,2022-02-14 05:00:00+00:00,2022-02-21 04:45:00+00:00,10,1,9,-0.016240000000000053
8,2022-02-21 05:00:00+00:00,2022-02-28 04:45:00+00:00,8,5,3,0.01411999999999963
9,2022-02-28 05:00:00+00:00,2022-03-07 04:45:00+00:00,9,6,3,0.018109999999999474
10,2022-03-07 05:00:00+00:00,2022-03-14 04:45:00+00:00,12,1,11,-0.0303500000000003
11,2022-03-14 05:00:00+00:00,2022-03-21 04:45:00+00:00,11,4,7,-0.002280000000000164
12,2022-03-21 05:00:00+00:00,2022-03-28 04:45:00+00:00,4,1,3,-0.002730000000000038
13,2022-03-28 05:00:00+00:00,2022-04-04 04:45:00+00:00,8,2,6,-0.0044700000000002515
14,2022-04-04 05:00:00+00:00,2022-04-11 04:45:00+00:00,9,4,5,0.004020000000000433
15,2022-04-11 05:00:00+00:00,2022-04-18 04:45:00+00:00,5,0,5,-0.011670000000000076
16,2022-04-18 05:00:00+00:00,2022-04-25 04:45:00+00:00,9,4,5,5.999999999935918e-05
17,2022-04-25 05:00:00+00:00,2022-05-02 04:45:00+00:00,5,1,4,-0.004839999999999962
18,2022-05-02 05:00:00+00:00,2022-05-09 04:45:00+00:00,8,2,6,-0.007629999999999637
19,2022-05-09 05:00:00+00:00,2022-05-16 04:45:00+00:00,8,4,4,0.009729999999999739
20,2022-05-16 05:00:00+00:00,2022-05-23 04:45:00+00:00,9,2,7,-0.008259999999999858
21,2022-05-23 05:00:00+00:00,2022-05-30 04:45:00+00:00,7,2,5,-0.004909999999999935
22,2022-05-30 05:00:00+00:00,2022-06-06 04:45:00+00:00,5,3,2,0.01270999999999977
23,2022-06-06 05:00:00+00:00,2022-06-13 04:45:00+00:00,8,5,3,0.01520999999999989
24,2022-06-13 05:00:00+00:00,2022-06-20 04:45:00+00:00,8,5,3,0.014260000000000106
25,2022-06-20 05:00:00+00:00,2022-06-27 04:45:00+00:00,9,2,7,-0.007629999999999509
26,2022-06-27 05:00:00+00:00,2022-07-04 04:45:00+00:00,8,3,5,0.0012699999999998268
27,2022-07-04 05:00:00+00:00,2022-07-11 04:45:00+00:00,6,3,3,0.006640000000000101
28,2022-07-11 05:00:00+00:00,2022-07-18 04:45:00+00:00,9,3,6,-0.0021800000000000014
29,2022-07-18 05:00:00+00:00,2022-07-25 04:45:00+00:00,8,4,4,0.011370000000000045
30,2022-07-25 05:00:00+00:00,2022-08-01 04:45:00+00:00,8,2,6,-0.006279999999999682
31,2022-08-01 05:00:00+00:00,2022-08-08 04:45:00+00:00,6,1,5,-0.007970000000000576
32,2022-08-08 05:00:00+00:00,2022-08-15 04:45:00+00:00,7,1,6,-0.009740000000000047
33,2022-08-15 05:00:00+00:00,2022-08-22 04:45:00+00:00,6,4,2,0.011790000000000092
34,2022-08-22 05:00:00+00:00,2022-08-29 04:45:00+00:00,6,3,3,0.005539999999999999
35,2022-08-29 05:00:00+00:00,2022-09-05 04:45:00+00:00,11,4,7,3.000000000030756e-05
36,2022-09-05 05:00:00+00:00,2022-09-12 04:45:00+00:00,8,1,7,-0.017659999999999957
37,2022-09-12 05:00:00+00:00,2022-09-19 04:45:00+00:00,11,2,9,-0.010310000000000038
38,2022-09-19 05:00:00+00:00,2022-09-26 04:45:00+00:00,7,4,3,0.019679999999999843
39,2022-09-26 05:00:00+00:00,2022-10-03 04:45:00+00:00,12,4,8,-0.004929999999999851
40,2022-10-03 05:00:00+00:00,2022-10-10 04:45:00+00:00,10,5,5,0.009340000000000001
41,2022-10-10 05:00:00+00:00,2022-10-17 04:45:00+00:00,9,2,7,-0.008839999999999886
42,2022-10-17 05:00:00+00:00,2022-10-24 04:45:00+00:00,10,2,8,-0.01113999999999983
43,2022-10-24 05:00:00+00:00,2022-10-31 04:45:00+00:00,6,1,5,-0.008199999999999864
44,2022-10-31 05:00:00+00:00,2022-11-07 04:45:00+00:00,8,2,6,-0.00980999999999993
45,2022-11-07 05:00:00+00:00,2022-11-14 04:45:00+00:00,11,3,8,-0.008399999999999734
46,2022-11-14 05:00:00+00:00,2022-11-21 04:45:00+00:00,10,2,8,-0.020080000000000375
47,2022-11-21 05:00:00+00:00,2022-11-28 04:45:00+00:00,6,3,3,0.0064999999999995894
48,2022-11-28 05:00:00+00:00,2022-11-29 23:45:00+00:00,3,2,1,0.007389999999999723
