Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2022-01-03 05:30:00+00:00,1.13464,2022-01-03 16:15:00+00:00,1.1325,-0.002160000000000031
short,2022-01-03 16:30:00+00:00,1.13238,2022-01-03 18:45:00+00:00,1.1283,0.0040599999999998615
short,2022-01-03 19:15:00+00:00,1.12818,2022-01-04 01:30:00+00:00,1.13023,-0.0020700000000001073
short,2022-01-04 03:30:00+00:00,1.13048,2022-01-05 14:15:00+00:00,1.1326,-0.002140000000000122
short,2022-01-05 14:30:00+00:00,1.13101,2022-01-05 16:00:00+00:00,1.13301,-0.002020000000000002
short,2022-01-05 17:30:00+00:00,1.13361,2022-01-06 08:45:00+00:00,1.12961,0.0039800000000000035
short,2022-01-06 09:00:00+00:00,1.12915,2022-01-06 12:00:00+00:00,1.13164,-0.0025099999999998812
short,2022-01-06 12:45:00+00:00,1.13122,2022-01-07 16:45:00+00:00,1.13343,-0.0022300000000000453
short,2022-01-07 17:30:00+00:00,1.13377,2022-01-07 19:00:00+00:00,1.13578,-0.0020300000000000673
short,2022-01-07 22:00:00+00:00,1.13599,2022-01-10 14:30:00+00:00,1.13139,0.0045800000000001595
short,2022-01-10 15:30:00+00:00,1.13005,2022-01-10 17:30:00+00:00,1.1323,-0.0022700000000000853
short,2022-01-10 19:45:00+00:00,1.13286,2022-01-11 10:15:00+00:00,1.13495,-0.0021099999999999253
short,2022-01-11 11:15:00+00:00,1.13462,2022-01-11 18:30:00+00:00,1.13687,-0.0022700000000000845
short,2022-01-11 19:00:00+00:00,1.1357,2022-01-12 07:30:00+00:00,1.13779,-0.0021100000000001465
short,2022-01-12 07:45:00+00:00,1.13732,2022-01-12 15:30:00+00:00,1.14152,-0.004219999999999981
short,2022-01-12 20:00:00+00:00,1.14405,2022-01-13 09:30:00+00:00,1.14662,-0.0025899999999999604
short,2022-01-13 10:30:00+00:00,1.14672,2022-01-14 17:00:00+00:00,1.14245,0.004249999999999997
buy,2022-01-14 17:45:00+00:00,1.14331,2022-01-14 18:45:00+00:00,1.14091,-0.002419999999999957
short,2022-01-14 19:00:00+00:00,1.14087,2022-01-17 10:15:00+00:00,1.14296,-0.0021099999999999244
short,2022-01-17 11:15:00+00:00,1.14233,2022-01-18 13:45:00+00:00,1.13833,0.003980000000000004
buy,2022-01-18 14:15:00+00:00,1.13888,2022-01-18 15:00:00+00:00,1.13653,-0.0023699999999998514
buy,2022-01-18 15:30:00+00:00,1.13772,2022-01-18 16:15:00+00:00,1.13565,-0.0020900000000000155
buy,2022-01-18 16:45:00+00:00,1.13669,2022-01-18 17:45:00+00:00,1.13431,-0.002400000000000048
short,2022-01-18 18:00:00+00:00,1.13378,2022-01-20 03:15:00+00:00,1.13621,-0.0024499999999999314
short,2022-01-20 03:45:00+00:00,1.13599,2022-01-20 20:30:00+00:00,1.13149,0.004479999999999949
short,2022-01-20 21:30:00+00:00,1.13133,2022-01-21 04:45:00+00:00,1.13351,-0.00220000000000007
short,2022-01-21 05:45:00+00:00,1.13258,2022-01-21 15:00:00+00:00,1.135,-0.002440000000000088
short,2022-01-21 16:30:00+00:00,1.13465,2022-01-24 13:45:00+00:00,1.13013,0.004499999999999858
short,2022-01-24 14:45:00+00:00,1.12975,2022-01-24 17:30:00+00:00,1.13248,-0.0027499999999998984
short,2022-01-24 20:45:00+00:00,1.13283,2022-01-25 11:30:00+00:00,1.12857,0.004239999999999931
short,2022-01-25 12:15:00+00:00,1.12836,2022-01-25 21:45:00+00:00,1.13049,-0.0021499999999999644
short,2022-01-25 23:30:00+00:00,1.13016,2022-01-26 21:30:00+00:00,1.12551,0.004630000000000044
short,2022-01-26 22:00:00+00:00,1.12452,2022-01-27 09:45:00+00:00,1.11965,0.004849999999999931
short,2022-01-27 12:15:00+00:00,1.11935,2022-01-27 13:45:00+00:00,1.11522,0.004109999999999967
buy,2022-01-27 14:00:00+00:00,1.11674,2022-01-27 15:30:00+00:00,1.11349,-0.003269999999999975
short,2022-01-27 17:00:00+00:00,1.11512,2022-01-28 16:00:00+00:00,1.11736,-0.0022600000000000207
short,2022-01-28 17:00:00+00:00,1.11476,2022-01-28 18:15:00+00:00,1.11683,-0.0020900000000000155
short,2022-01-28 19:15:00+00:00,1.11561,2022-01-31 10:15:00+00:00,1.11823,-0.002640000000000066
