Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2022-01-03 05:00:00+00:00,2022-01-10 04:45:00+00:00,9,2,7,-0.007120000000000391
2,2022-01-10 05:00:00+00:00,2022-01-17 04:45:00+00:00,9,2,7,-0.009159999999999984
3,2022-01-17 05:00:00+00:00,2022-01-24 04:45:00+00:00,9,2,7,-0.007599999999999975
4,2022-01-24 05:00:00+00:00,2022-01-31 04:45:00+00:00,10,5,5,0.009809999999999857
5,2022-01-31 05:00:00+00:00,2022-02-07 04:45:00+00:00,15,2,13,-0.022270000000000477
6,2022-02-07 05:00:00+00:00,2022-02-14 04:45:00+00:00,11,5,6,0.006229999999999632
7,2022-02-14 05:00:00+00:00,2022-02-21 04:45:00+00:00,12,3,9,-0.0067600000000000715
8,2022-02-21 05:00:00+00:00,2022-02-28 04:45:00+00:00,18,8,10,0.0046899999999993475
9,2022-02-28 05:00:00+00:00,2022-03-07 04:45:00+00:00,23,11,12,0.018390000000000274
10,2022-03-07 05:00:00+00:00,2022-03-14 04:45:00+00:00,23,9,14,0.0029200000000004014
11,2022-03-14 05:00:00+00:00,2022-03-21 04:45:00+00:00,19,7,12,-0.0022799999999997787
12,2022-03-21 05:00:00+00:00,2022-03-28 04:45:00+00:00,11,5,6,0.005640000000000422
13,2022-03-28 05:00:00+00:00,2022-04-04 04:45:00+00:00,13,6,7,0.011319999999999926
14,2022-04-04 05:00:00+00:00,2022-04-11 04:45:00+00:00,18,9,9,0.020770000000000104
15,2022-04-11 05:00:00+00:00,2022-04-18 04:45:00+00:00,14,4,10,-0.004279999999999996
16,2022-04-18 05:00:00+00:00,2022-04-25 04:45:00+00:00,13,5,8,-0.0003000000000000294
17,2022-04-25 05:00:00+00:00,2022-05-02 04:45:00+00:00,25,10,15,0.006240000000000655
18,2022-05-02 05:00:00+00:00,2022-05-09 04:45:00+00:00,18,8,10,0.013710000000000486
19,2022-05-09 05:00:00+00:00,2022-05-16 04:45:00+00:00,15,8,7,0.02202000000000013
20,2022-05-16 05:00:00+00:00,2022-05-23 04:45:00+00:00,19,3,16,-0.03035000000000048
21,2022-05-23 05:00:00+00:00,2022-05-30 04:45:00+00:00,16,4,12,-0.014080000000000426
22,2022-05-30 05:00:00+00:00,2022-06-06 04:45:00+00:00,16,4,12,-0.008230000000000296
23,2022-06-06 05:00:00+00:00,2022-06-13 04:45:00+00:00,18,8,10,0.012449999999999992
24,2022-06-13 05:00:00+00:00,2022-06-20 04:45:00+00:00,26,9,17,-0.008609999999999247
25,2022-06-20 05:00:00+00:00,2022-06-27 04:45:00+00:00,16,5,11,-0.0047599999999999865
26,2022-06-27 05:00:00+00:00,2022-07-04 04:45:00+00:00,15,8,7,0.020850000000000455
27,2022-07-04 05:00:00+00:00,2022-07-11 04:45:00+00:00,21,9,12,0.008170000000000115
28,2022-07-11 05:00:00+00:00,2022-07-18 04:45:00+00:00,19,9,10,0.016050000000000154
29,2022-07-18 05:00:00+00:00,2022-07-25 04:45:00+00:00,22,9,13,0.011830000000000021
30,2022-07-25 05:00:00+00:00,2022-08-01 04:45:00+00:00,23,5,17,-0.01725999999999963
31,2022-08-01 05:00:00+00:00,2022-08-08 04:45:00+00:00,17,5,12,-0.00370000000000046
32,2022-08-08 05:00:00+00:00,2022-08-15 04:45:00+00:00,12,2,10,-0.023909999999999848
33,2022-08-15 05:00:00+00:00,2022-08-22 04:45:00+00:00,8,5,3,0.016720000000000013
34,2022-08-22 05:00:00+00:00,2022-08-29 04:45:00+00:00,18,6,12,-0.010200000000000167
35,2022-08-29 05:00:00+00:00,2022-09-05 04:45:00+00:00,20,8,12,0.005750000000000116
36,2022-09-05 05:00:00+00:00,2022-09-12 04:45:00+00:00,25,7,18,-0.01993000000000015
37,2022-09-12 05:00:00+00:00,2022-09-19 04:45:00+00:00,16,6,10,0.013070000000000352
38,2022-09-19 05:00:00+00:00,2022-09-26 04:45:00+00:00,26,10,16,0.008820000000000036
39,2022-09-26 05:00:00+00:00,2022-10-03 04:45:00+00:00,28,8,20,-0.015249999999999736
40,2022-10-03 05:00:00+00:00,2022-10-10 04:45:00+00:00,23,8,15,-0.007090000000000018
41,2022-10-10 05:00:00+00:00,2022-10-17 04:45:00+00:00,22,5,17,-0.018539999999999883
42,2022-10-17 05:00:00+00:00,2022-10-24 04:45:00+00:00,21,3,18,-0.03543000000000019
43,2022-10-24 05:00:00+00:00,2022-10-31 04:45:00+00:00,18,2,15,-0.03799000000000011
44,2022-10-31 05:00:00+00:00,2022-11-07 04:45:00+00:00,20,9,11,0.017749999999999815
45,2022-11-07 05:00:00+00:00,2022-11-14 04:45:00+00:00,24,8,16,0.006950000000000241
46,2022-11-14 05:00:00+00:00,2022-11-21 04:45:00+00:00,28,10,18,-0.007270000000000283
47,2022-11-21 05:00:00+00:00,2022-11-28 04:45:00+00:00,17,3,14,-0.020989999999999905
48,2022-11-28 05:00:00+00:00,2022-11-29 23:45:00+00:00,7,5,2,0.017579999999999693
